Date,Open,High,Low,Close,Adj Close,Volume
2021-10-11,75.000000,75.500000,73.349998,73.730003,73.730003,997100
2021-10-12,73.589996,76.540001,73.150002,75.860001,75.860001,625400
2021-10-13,76.320000,83.080002,75.370003,79.209999,79.209999,1205900
2021-10-14,81.279999,82.683998,79.860001,81.230003,81.230003,964600
2021-10-15,81.500000,84.445999,80.121002,83.099998,83.099998,865800
2021-10-18,83.080002,86.199997,82.370003,85.790001,85.790001,540000
2021-10-19,86.250000,87.989998,84.889999,84.989998,84.989998,483500
2021-10-20,84.889999,86.019997,84.889999,85.610001,85.610001,429200
2021-10-21,85.449997,86.210999,83.160004,85.750000,85.750000,460600
2021-10-22,86.019997,87.110001,85.559998,85.720001,85.720001,363900
2021-10-25,85.500000,86.550003,84.870003,86.220001,86.220001,345700
2021-10-26,87.199997,91.610001,87.199997,88.290001,88.290001,1105000
2021-10-27,89.449997,91.099998,86.199997,86.320000,86.320000,976600
2021-10-28,86.410004,88.870003,86.250000,88.849998,88.849998,423700
2021-10-29,88.800003,91.089996,87.889999,88.800003,88.800003,558700
2021-11-01,90.010002,92.230003,89.510002,90.820000,90.820000,983700
2021-11-02,92.709999,95.790001,88.980003,94.839996,94.839996,1032000
2021-11-03,95.669998,99.000000,93.210999,98.790001,98.790001,594600
2021-11-04,99.800003,100.639999,96.129997,96.779999,96.779999,543400
2021-11-05,98.110001,98.142998,92.230003,93.489998,93.489998,643600
2021-11-08,94.300003,96.000000,93.570000,94.680000,94.680000,529800
2021-11-09,94.790001,96.360001,93.010002,96.029999,96.029999,427700
2021-11-10,95.290001,95.650002,91.889999,93.239998,93.239998,332500
2021-11-11,93.580002,97.300003,92.900002,95.709999,95.709999,421200
2021-11-12,96.169998,100.089996,95.449997,98.559998,98.559998,409600
2021-11-15,98.220001,98.849998,96.180000,98.629997,98.629997,316900
2021-11-16,98.040001,101.889999,98.040001,101.320000,101.320000,520700
2021-11-17,102.000000,105.379997,100.620003,103.510002,103.510002,801100
2021-11-18,105.680000,105.919998,102.000000,103.570000,103.570000,808100
2021-11-19,102.510002,103.875000,99.459999,101.040001,101.040001,762000
2021-11-22,101.089996,105.070000,101.008003,103.029999,103.029999,569400
2021-11-23,99.029999,101.540001,93.800003,96.489998,96.489998,924800
2021-11-24,96.220001,98.730003,95.692001,98.620003,98.620003,368400
2021-11-26,97.040001,98.120003,95.260002,97.360001,97.360001,273000
2021-11-29,99.000000,102.570000,97.940002,100.760002,100.760002,669800
2021-11-30,100.160004,100.709999,93.324997,96.050003,96.050003,2008500
2021-12-01,96.970001,97.889999,91.599998,92.019997,92.019997,653000
2021-12-02,92.050003,94.150002,90.349998,92.099998,92.099998,877600
2021-12-03,92.570000,94.040001,85.720001,88.019997,88.019997,1195300
2021-12-06,88.650002,93.000000,86.835999,92.800003,92.800003,914000
2021-12-07,94.550003,96.820000,92.419998,94.370003,94.370003,687500
2021-12-08,94.559998,94.559998,90.650002,91.129997,91.129997,733900
2021-12-09,91.019997,93.699997,90.059998,92.849998,92.849998,488000
2021-12-10,88.739998,89.459999,83.610001,85.779999,85.779999,2313300
2021-12-13,87.000000,87.160004,83.695000,86.510002,86.510002,1439400
2021-12-14,85.269997,87.589996,83.500000,85.059998,85.059998,1135000
2021-12-15,84.320000,88.500000,82.849998,87.940002,87.940002,1578900
2021-12-16,88.940002,89.320000,83.290001,85.000000,85.000000,1198200
2021-12-17,84.629997,87.919998,83.260002,86.389999,86.389999,2336200
2021-12-20,85.250000,86.070000,82.620003,83.830002,83.830002,790300
2021-12-21,85.250000,89.070000,85.250000,88.540001,88.540001,950300
2021-12-22,88.769997,91.779999,88.400002,90.110001,90.110001,666500
2021-12-23,90.250000,92.730003,90.250000,91.830002,91.830002,478900
2021-12-27,92.500000,92.546997,90.519997,91.400002,91.400002,411100
2021-12-28,91.580002,92.870003,91.070000,91.570000,91.570000,412700
2021-12-29,91.970001,92.279999,89.430000,90.540001,90.540001,274500
2021-12-30,90.389999,92.510002,89.769997,91.220001,91.220001,552500
2021-12-31,91.449997,92.489998,90.309998,90.830002,90.830002,344000
2022-01-03,91.019997,92.040001,88.779999,89.400002,89.400002,566400
2022-01-04,89.250000,89.959999,87.139999,89.839996,89.839996,639200
2022-01-05,89.620003,89.750000,84.690002,85.040001,85.040001,887900
2022-01-06,84.309998,85.367996,82.470001,84.330002,84.330002,611400
2022-01-07,83.459999,85.459999,82.639999,83.430000,83.430000,701200
2022-01-10,82.599998,86.610001,82.040001,85.910004,85.910004,1100200
2022-01-11,85.779999,87.599998,85.042000,86.900002,86.900002,657600
2022-01-12,87.269997,90.970001,86.565002,88.480003,88.480003,798700
2022-01-13,88.699997,91.050003,88.570000,90.139999,90.139999,1110900
2022-01-14,88.570000,91.894997,87.884003,91.300003,91.300003,742900
2022-01-18,89.470001,89.959999,85.419998,86.050003,86.050003,894400
2022-01-19,87.589996,89.044998,84.339996,86.339996,86.339996,794700
2022-01-20,87.120003,90.930000,87.120003,87.889999,87.889999,953600
2022-01-21,86.620003,88.339996,84.480003,84.620003,84.620003,703000
2022-01-24,82.500000,82.500000,75.160004,81.830002,81.830002,1403700
2022-01-25,79.559998,80.879997,77.779999,79.430000,79.430000,757000
2022-01-26,80.589996,82.790001,76.019997,77.010002,77.010002,1090900
2022-01-27,77.790001,78.059998,71.660004,71.860001,71.860001,1665400
2022-01-28,71.889999,78.330002,70.510002,78.239998,78.239998,1103600
2022-01-31,78.250000,81.279999,77.529999,81.209999,81.209999,548100
2022-02-01,82.089996,83.879997,79.839996,81.690002,81.690002,439000
2022-02-02,82.580002,83.519997,80.699997,82.790001,82.790001,437200
2022-02-03,81.809998,82.550003,80.099998,80.349998,80.349998,377700
2022-02-04,79.370003,81.199997,78.300003,80.419998,80.419998,476600
2022-02-07,80.279999,83.540001,79.790001,83.400002,83.400002,591800
2022-02-08,82.650002,84.889999,82.419998,84.300003,84.300003,521900
2022-02-09,85.779999,87.940002,85.779999,86.989998,86.989998,744500
2022-02-10,85.699997,87.809998,85.000000,85.309998,85.309998,673900
2022-02-11,85.290001,86.805000,82.599998,83.330002,83.330002,520700
2022-02-14,82.839996,84.320000,81.379997,82.260002,82.260002,550100
2022-02-15,83.879997,84.870003,81.820000,84.050003,84.050003,713200
2022-02-16,88.019997,88.050003,84.720001,85.800003,85.800003,952600
2022-02-17,86.480003,86.650002,84.050003,84.220001,84.220001,698900
2022-02-18,83.550003,84.199997,81.012001,81.209999,81.209999,698700
2022-02-22,80.379997,83.160004,79.010002,81.360001,81.360001,890800
2022-02-23,82.199997,83.059998,79.580002,80.489998,80.489998,865200
2022-02-24,77.089996,83.769997,76.230003,83.470001,83.470001,954600
2022-02-25,83.379997,84.449997,82.410004,84.379997,84.379997,727200
2022-02-28,81.690002,84.050003,80.040001,83.930000,83.930000,761400
2022-03-01,83.099998,83.639999,78.220001,79.089996,79.089996,1085900
2022-03-02,79.519997,80.110001,77.930000,79.160004,79.160004,791600
2022-03-03,79.199997,79.889999,76.889999,77.639999,77.639999,526900
2022-03-04,76.940002,77.779999,73.925003,74.190002,74.190002,716000
2022-03-07,73.000000,73.199997,63.869999,64.279999,64.279999,1966800
2022-03-08,64.760002,69.660004,62.549999,68.000000,68.000000,1654600
2022-03-09,69.959999,72.379997,68.970001,71.580002,71.580002,948900
2022-03-10,69.989998,71.220001,67.309998,67.769997,67.769997,1072300
2022-03-11,68.839996,68.839996,65.470001,65.800003,65.800003,1174300
2022-03-14,66.110001,66.809998,64.580002,66.150002,66.150002,1288800
2022-03-15,66.959999,69.410004,66.300003,68.760002,68.760002,858100
2022-03-16,69.900002,74.580002,69.504997,73.970001,73.970001,1403800
2022-03-17,72.970001,75.620003,71.989998,74.900002,74.900002,800400
2022-03-18,74.809998,79.540001,74.589996,79.239998,79.239998,1750800
2022-03-21,78.239998,78.970001,75.808998,76.750000,76.750000,680600
2022-03-22,77.300003,78.629997,76.790001,77.570000,77.570000,830400
