Date,Open,High,Low,Close,Adj Close,Volume
2021-10-11,241.059998,241.500000,229.990005,230.380005,228.339951,55300
2021-10-12,231.809998,233.830002,230.009995,233.059998,230.996216,57400
2021-10-13,233.710007,233.880005,231.179993,233.130005,231.065582,35600
2021-10-14,235.740005,240.440002,235.740005,239.100006,236.982742,39400
2021-10-15,241.990005,245.399994,240.979996,242.880005,240.729248,53300
2021-10-18,242.619995,244.100006,241.009995,243.179993,241.026596,58100
2021-10-19,244.279999,246.179993,242.029999,244.729996,242.562881,38100
2021-10-20,245.169998,247.649994,244.320007,245.679993,243.504440,66800
2021-10-21,242.000000,242.389999,230.100006,231.729996,229.677979,173600
2021-10-22,232.990005,238.570007,231.339996,231.639999,229.588806,99700
2021-10-25,231.289993,234.600006,231.000000,232.850006,230.788086,99400
2021-10-26,233.809998,233.809998,225.190002,225.399994,223.404037,117100
2021-10-27,225.429993,230.220001,224.240005,224.369995,222.383163,113600
2021-10-28,226.029999,232.809998,226.029999,232.660004,230.599777,146800
2021-10-29,232.440002,239.789993,232.440002,238.960007,236.843964,148600
2021-11-01,239.990005,247.610001,238.220001,247.380005,245.189423,110200
2021-11-02,247.240005,248.190002,243.169998,243.949997,241.789764,54700
2021-11-03,243.220001,244.809998,240.360001,243.940002,241.779892,56400
2021-11-04,245.520004,247.470001,243.309998,246.860001,244.674026,92300
2021-11-05,248.990005,253.949997,247.179993,253.000000,250.759644,83300
2021-11-08,255.970001,259.760010,254.470001,258.630005,256.339813,83100
2021-11-09,259.279999,262.700012,259.279999,262.250000,259.927734,94500
2021-11-10,261.790009,262.790009,256.959991,258.720001,256.428986,75500
2021-11-11,259.279999,259.679993,254.860001,255.399994,253.138397,37200
2021-11-12,255.289993,256.809998,253.339996,254.300003,252.048141,43700
2021-11-15,256.690002,256.690002,251.240005,252.000000,249.768494,80400
2021-11-16,251.289993,253.089996,250.029999,250.229996,248.014175,89100
2021-11-17,249.500000,250.970001,246.720001,250.809998,248.589035,101900
2021-11-18,251.460007,253.500000,249.220001,251.169998,248.945847,55600
2021-11-19,249.789993,256.519989,249.789993,255.839996,253.574493,85500
2021-11-22,257.070007,259.619995,254.350006,254.589996,252.335556,51700
2021-11-23,254.440002,256.910004,250.339996,255.679993,253.415894,74000
2021-11-24,256.089996,256.089996,252.899994,253.869995,251.621933,41900
