Date,Open,High,Low,Close,Adj Close,Volume
2021-10-11,49.060001,49.180000,48.419998,49.090000,47.325321,559500
2021-10-12,49.509998,50.669998,49.279999,50.580002,48.761761,867300
2021-10-13,50.570000,51.930000,50.349998,51.799999,49.937901,1065000
2021-10-14,51.910000,52.459999,51.810001,52.430000,50.545258,591700
2021-10-15,52.619999,52.619999,51.660000,52.099998,50.227116,769400
2021-10-18,51.830002,52.889999,51.419998,52.599998,50.709145,544100
2021-10-19,52.639999,52.740002,52.070000,52.139999,50.265682,365500
2021-10-20,52.139999,52.750000,52.139999,52.740002,50.844112,339500
2021-10-21,52.950001,53.049999,52.459999,52.700001,50.805553,588100
2021-10-22,52.910000,53.520000,52.759998,53.150002,51.239376,1036200
2021-10-25,53.540001,53.700001,53.110001,53.570000,51.644279,871000
2021-10-26,53.650002,53.779999,52.959999,53.520000,51.596073,476800
2021-10-27,53.689999,53.779999,52.740002,52.880001,50.979080,1074000
2021-10-28,53.150002,54.990002,53.150002,54.900002,52.926468,1203900
2021-10-29,54.790001,55.400002,54.650002,55.009998,53.032509,1530900
2021-11-01,55.070000,55.500000,53.410000,54.790001,52.820419,900000
2021-11-02,54.959999,55.849998,54.869999,55.790001,53.784470,1063400
2021-11-03,56.130001,56.639999,54.779999,55.189999,53.206036,1240200
2021-11-04,55.270000,55.849998,54.939999,55.290001,53.302448,610400
2021-11-05,54.529999,55.599998,52.959999,53.529999,51.605713,1063600
2021-11-08,53.880001,54.169998,53.029999,54.139999,52.193787,962800
2021-11-09,54.529999,54.799999,53.889999,54.090000,52.145584,710500
2021-11-10,53.880001,54.490002,53.880001,54.099998,52.155220,571100
2021-11-11,54.180000,54.400002,53.889999,54.400002,52.444439,415500
2021-11-12,54.279999,54.750000,53.840000,54.599998,52.637245,657400
2021-11-15,54.740002,55.060001,54.130001,55.040001,53.061432,474900
2021-11-16,52.500000,53.980000,52.290001,53.320000,51.403263,2136400
2021-11-17,52.330002,53.759998,51.980000,53.720001,51.788887,9278600
2021-11-18,54.020000,54.730000,53.410000,54.470001,52.511925,3324500
2021-11-19,54.250000,54.990002,53.919998,54.820000,52.849342,3106700
2021-11-22,56.099998,56.180000,53.590000,53.709999,51.779240,1890900
2021-11-23,53.770000,54.250000,53.459999,53.869999,51.933491,1686400
2021-11-24,54.049999,55.139999,53.799999,55.060001,53.080711,1237400
2021-11-26,54.599998,54.750000,53.369999,53.750000,51.817802,700500
2021-11-29,54.419998,55.290001,53.779999,54.950001,52.974667,1892200
2021-11-30,54.860001,55.110001,53.680000,53.919998,51.981693,1937100
2021-12-01,54.279999,54.919998,53.040001,53.099998,51.191170,2612000
2021-12-02,53.779999,55.130001,53.560001,54.779999,52.810776,2099100
2021-12-03,55.000000,55.169998,53.369999,54.340000,52.386597,1584600
2021-12-06,54.500000,55.000000,53.430000,54.400002,52.444439,1927900
2021-12-07,54.950001,55.720001,54.450001,54.970001,52.993950,2606400
2021-12-08,55.169998,56.049999,55.090000,55.580002,53.582024,1680600
2021-12-09,55.369999,55.410000,54.360001,54.480000,52.521561,1057600
2021-12-10,54.400002,54.520000,53.700001,54.310001,52.357674,2295500
2021-12-13,54.130001,55.160000,54.130001,54.939999,52.965031,1781100
2021-12-14,54.990002,55.139999,53.400002,54.150002,52.203426,2686800
2021-12-15,54.160000,54.950001,54.160000,54.650002,52.685455,2855000
2021-12-16,54.950001,54.970001,54.020000,54.520000,52.560127,1964300
2021-12-17,54.959999,56.090000,54.700001,55.790001,53.784470,3486900
2021-12-20,55.419998,56.459999,54.950001,55.900002,53.890522,1946300
2021-12-21,56.490002,57.290001,55.349998,55.790001,53.784470,1910100
2021-12-22,55.790001,56.580002,55.790001,56.430000,54.401463,1417700
2021-12-23,56.549999,56.549999,55.549999,55.799999,53.794113,1121900
2021-12-27,54.939999,56.299999,54.709999,56.299999,54.276138,5515500
2021-12-28,56.410000,56.740002,55.849998,56.500000,54.468952,1976700
