Date,Open,High,Low,Close,Adj Close,Volume
2021-10-11,80.000000,80.190002,77.769997,77.800003,74.683197,4028900
2021-10-12,77.790001,79.680000,77.680000,78.919998,75.758324,2567900
2021-10-13,78.169998,78.680000,76.919998,78.139999,75.009575,3072800
2021-10-14,79.529999,79.980003,78.910004,79.169998,75.998306,2532900
2021-10-15,80.000000,80.330002,78.599998,78.660004,75.508751,2568300
2021-10-18,79.120003,79.760002,77.559998,78.129997,74.999969,3525200
2021-10-19,78.879997,80.300003,78.430000,80.150002,76.939056,3560500
2021-10-20,79.519997,81.320000,79.330002,81.040001,77.793396,3897400
2021-10-21,81.150002,83.150002,80.300003,82.000000,78.714935,4558500
2021-10-22,82.000000,82.449997,79.440002,80.989998,77.745392,3923700
2021-10-25,82.000000,83.120003,81.510002,82.690002,79.377304,2730600
2021-10-26,82.699997,82.870003,81.610001,81.879997,78.599747,2363100
2021-10-27,80.750000,81.250000,78.250000,78.669998,75.518341,3180200
2021-10-28,78.410004,79.720001,77.660004,78.459999,75.316750,3366000
2021-10-29,78.559998,78.620003,76.660004,77.330002,74.232025,4784000
2021-11-01,77.989998,78.919998,77.449997,78.019997,74.894379,3375300
2021-11-02,77.610001,78.050003,75.639999,75.860001,72.820908,3913100
2021-11-03,74.889999,77.120003,74.400002,75.879997,72.840118,4436200
2021-11-04,76.900002,77.400002,75.070000,76.349998,73.291283,3475100
2021-11-05,77.750000,78.080002,76.180000,77.919998,74.798393,3492600
2021-11-08,78.910004,79.089996,77.269997,77.779999,74.664001,2701900
2021-11-09,77.589996,78.440002,77.000000,78.250000,75.115166,3519900
2021-11-10,77.550003,78.790001,76.629997,76.860001,73.780853,3523600
2021-11-11,76.849998,78.050003,76.400002,77.220001,74.126434,2710300
2021-11-12,76.580002,77.690002,75.860001,76.580002,73.512077,2846900
2021-11-15,76.910004,77.919998,76.080002,77.349998,74.251213,4343100
2021-11-16,77.940002,79.010002,77.220001,77.940002,74.817589,4544200
2021-11-17,76.900002,77.010002,73.290001,73.449997,71.405296,4190400
2021-11-18,73.320000,73.930000,72.029999,72.959999,70.928940,3983600
2021-11-19,72.190002,72.190002,68.620003,69.070000,67.147224,5475600
2021-11-22,68.839996,72.120003,68.820000,70.650002,68.683250,3631700
2021-11-23,71.430000,73.190002,71.279999,72.550003,70.530357,3416800
2021-11-24,72.080002,73.550003,71.940002,72.949997,70.919212,3637000
2021-11-26,68.279999,68.989998,66.260002,68.010002,66.116745,5674400
2021-11-29,69.629997,70.540001,68.000000,68.169998,66.272285,3889600
2021-11-30,66.699997,67.550003,65.699997,66.940002,65.076530,9927700
2021-12-01,68.989998,70.959999,67.050003,67.309998,65.436226,5872500
2021-12-02,67.180000,71.639999,66.699997,71.169998,69.188766,5242800
2021-12-03,72.250000,72.510002,69.150002,69.709999,67.769409,4134200
2021-12-06,70.750000,71.459999,69.599998,70.410004,68.449928,2575700
2021-12-07,71.730003,73.680000,71.330002,71.629997,69.635963,3383900
2021-12-08,71.800003,72.269997,70.489998,70.720001,68.751297,2674300
2021-12-09,69.669998,70.910004,69.669998,70.309998,68.352707,3247000
2021-12-10,71.169998,71.400002,69.540001,70.849998,68.877678,2194200
2021-12-13,70.019997,70.279999,67.940002,68.220001,66.320900,2859700
2021-12-14,67.690002,70.290001,67.660004,68.190002,66.291733,2694000
2021-12-15,68.150002,68.669998,66.349998,68.239998,66.340332,3136400
2021-12-16,69.050003,70.550003,68.519997,68.750000,66.836136,3030700
2021-12-17,68.540001,69.580002,67.080002,68.690002,66.777809,5212100
2021-12-20,66.500000,68.879997,65.129997,68.690002,66.777809,4400800
2021-12-21,69.379997,71.400002,69.379997,71.320000,69.334595,4585000
2021-12-22,71.370003,72.099998,70.720001,71.300003,69.315155,1856900
2021-12-23,72.669998,73.370003,71.730003,71.730003,69.733192,3644200
2021-12-27,71.330002,73.150002,70.500000,73.129997,71.094200,2217800
2021-12-28,73.589996,75.169998,73.529999,74.500000,72.426064,2784800
2021-12-29,74.320000,74.889999,73.470001,74.650002,72.571892,2777800
2021-12-30,74.720001,75.389999,73.989998,74.279999,72.212189,2202000
2021-12-31,74.089996,75.639999,73.910004,75.110001,73.019096,2478100
2022-01-03,75.800003,78.209999,75.570000,77.139999,74.992584,3568200
2022-01-04,78.169998,79.389999,77.870003,78.510002,76.324440,4171700
2022-01-05,79.250000,79.839996,77.839996,78.199997,76.023064,3999800
2022-01-06,80.000000,80.470001,78.959999,80.160004,77.928505,4248200
2022-01-07,80.580002,81.430000,79.949997,81.000000,78.745125,3723200
2022-01-10,80.989998,81.570000,80.389999,81.029999,78.774284,3975900
2022-01-11,81.800003,84.089996,81.199997,83.849998,81.515785,4174000
2022-01-12,84.720001,85.150002,83.620003,84.370003,82.021317,3192500
2022-01-13,84.370003,84.930000,83.070000,83.360001,81.039429,3033100
2022-01-14,83.120003,85.330002,82.970001,85.199997,82.828201,3121300
2022-01-18,86.070000,86.400002,84.160004,85.639999,83.255951,3513200
2022-01-19,86.510002,86.580002,83.669998,84.209999,81.865761,2786800
2022-01-20,83.309998,84.660004,81.389999,81.410004,79.143715,3868800
2022-01-21,80.650002,80.750000,78.540001,79.290001,77.082726,5994900
2022-01-24,77.120003,78.870003,75.040001,78.589996,76.402206,5075700
2022-01-25,78.089996,81.599998,76.599998,81.160004,78.900665,4948100
2022-01-26,82.440002,83.959999,80.290001,81.300003,79.036781,4132200
2022-01-27,83.559998,84.529999,80.050003,81.980003,79.697845,5821200
2022-01-28,81.470001,83.269997,79.330002,81.410004,79.143715,4647900
2022-01-31,81.300003,83.019997,79.910004,82.970001,80.660278,4649400
2022-02-01,82.629997,86.830002,82.029999,86.550003,84.140625,6046800
2022-02-02,85.300003,86.800003,84.309998,86.610001,85.163246,4797100
2022-02-03,86.639999,86.639999,84.510002,85.089996,83.668633,3121900
2022-02-04,85.940002,87.599998,85.250000,86.699997,85.251740,3717500
2022-02-07,86.449997,90.339996,85.660004,89.629997,88.132805,5173800
2022-02-08,89.629997,89.750000,87.180000,88.489998,87.011841,3128500
2022-02-09,88.510002,89.550003,88.129997,88.839996,87.355988,2464600
2022-02-10,88.639999,90.760002,88.330002,89.889999,88.388458,5166500
2022-02-11,90.250000,93.769997,89.510002,92.000000,90.463211,6433600
2022-02-14,91.500000,91.500000,88.779999,89.720001,88.221298,4349100
2022-02-15,87.739998,89.239998,87.010002,88.529999,87.051178,3627000
2022-02-16,89.769997,90.750000,87.730003,88.040001,86.569359,4920000
2022-02-17,87.660004,88.379997,86.720001,87.040001,85.586067,3024400
2022-02-18,86.010002,87.629997,85.910004,86.720001,85.271416,2655500
2022-02-22,88.760002,88.980003,84.790001,85.839996,84.406105,3638800
2022-02-23,86.449997,86.940002,85.370003,86.349998,84.907585,3544200
2022-02-24,87.169998,87.169998,82.309998,83.839996,82.439514,5802200
2022-02-25,84.480003,85.690002,83.830002,84.870003,83.452316,3275400
2022-02-28,83.809998,84.769997,81.900002,83.510002,82.115036,6226900
2022-03-01,84.599998,85.800003,79.650002,80.629997,79.283134,5799200
2022-03-02,82.410004,84.150002,81.269997,83.620003,82.223198,4917700
2022-03-03,83.190002,84.970001,82.599998,84.190002,82.783676,3359000
2022-03-04,83.389999,86.400002,82.949997,85.980003,84.543770,5877000
2022-03-07,87.260002,87.690002,83.580002,84.010002,82.606682,5611700
2022-03-08,86.570000,92.620003,86.129997,90.540001,89.027596,10814300
2022-03-09,87.500000,90.730003,86.449997,87.139999,85.684395,7787100
2022-03-10,88.290001,89.949997,86.290001,89.580002,88.083641,4537400
2022-03-11,88.760002,93.620003,88.510002,91.669998,90.138725,6776800
2022-03-14,90.919998,92.199997,88.870003,90.550003,89.037437,4747000
2022-03-15,88.239998,88.400002,83.129997,84.410004,83.000000,6187600
2022-03-16,84.949997,86.790001,84.220001,84.940002,83.521149,3399900
2022-03-17,86.099998,89.099998,86.010002,89.089996,87.601814,4175700
2022-03-18,89.309998,90.919998,88.160004,90.430000,88.919434,7593200
2022-03-21,91.989998,94.959999,91.750000,94.260002,92.685463,4735700
2022-03-22,93.699997,94.440002,91.620003,93.589996,92.026649,3529700
2022-03-23,95.160004,96.919998,94.860001,95.519997,93.924408,3968100
2022-03-24,95.690002,97.519997,94.910004,96.440002,94.829048,3398800
2022-03-25,95.550003,97.650002,95.500000,97.250000,95.625511,3210700
2022-03-28,96.099998,97.110001,95.309998,96.370003,94.760216,3087500
2022-03-29,94.650002,96.970001,93.650002,96.680000,95.065041,2898500
