Date,Open,High,Low,Close,Adj Close,Volume
2021-10-11,57.250000,57.490002,56.480000,56.680000,52.484623,1060600
2021-10-12,56.779999,57.430000,56.540001,57.220001,52.984657,1075000
2021-10-13,57.299999,57.410000,56.380001,57.049999,52.827232,1344300
2021-10-14,57.709999,58.320000,57.099998,58.090000,53.790253,948200
2021-10-15,58.799999,59.610001,58.490002,59.070000,54.697716,971300
2021-10-18,58.689999,59.900002,58.270000,59.169998,54.790310,1762700
2021-10-19,59.380001,59.650002,58.950001,59.230000,54.845871,1044300
2021-10-20,58.900002,60.380001,58.349998,60.290001,55.827412,1726600
2021-10-21,59.000000,59.500000,54.680000,55.349998,51.253063,4347100
2021-10-22,55.680000,56.709999,53.410000,53.669998,49.697414,2762800
2021-10-25,53.950001,54.860001,53.799999,54.130001,50.123367,1337300
2021-10-26,55.970001,56.500000,54.830002,55.470001,51.364185,6761900
2021-10-27,55.000000,55.270000,52.139999,52.500000,48.614017,3975200
2021-10-28,53.020000,53.490002,52.230000,52.700001,48.799217,3064900
2021-10-29,53.240002,53.730000,52.660000,52.810001,48.901073,2016200
2021-11-01,52.610001,53.630001,52.610001,53.250000,49.970871,2373300
2021-11-02,53.080002,53.180000,52.200001,52.500000,49.267056,1416100
2021-11-03,52.259998,53.950001,52.259998,53.580002,50.280552,1134000
2021-11-04,53.430000,53.930000,52.369999,52.720001,49.473511,758600
2021-11-05,53.500000,54.000000,53.230000,53.250000,49.970871,1211100
2021-11-08,53.590000,54.049999,53.029999,53.500000,50.205479,1050700
2021-11-09,53.130001,53.650002,52.709999,53.500000,50.205479,944400
2021-11-10,53.430000,54.630001,53.430000,53.959999,50.637150,887200
2021-11-11,53.970001,54.619999,53.970001,54.349998,51.003128,690600
2021-11-12,54.349998,54.500000,53.369999,53.700001,50.393162,1102500
2021-11-15,53.619999,53.889999,52.619999,52.759998,49.511044,1391800
2021-11-16,52.750000,52.799999,51.209999,51.230000,48.075260,1825200
2021-11-17,51.099998,51.470001,50.619999,51.020000,47.878193,1577400
2021-11-18,50.889999,51.139999,49.580002,50.430000,47.324528,1645400
2021-11-19,50.220001,50.250000,48.939999,49.360001,46.320415,2084000
2021-11-22,50.040001,50.160000,49.180000,49.750000,46.686401,1229900
2021-11-23,49.910000,51.270000,49.770000,51.060001,47.915733,1432300
2021-11-24,50.889999,51.860001,50.619999,51.110001,47.962650,925600
2021-11-26,49.790001,50.320000,48.950001,50.060001,46.977314,945800
2021-11-29,50.630001,50.799999,49.590000,50.580002,47.465290,1992500
2021-11-30,49.930000,50.660000,49.119999,49.790001,46.723938,2826600
2021-12-01,50.840000,51.570000,50.259998,50.860001,47.728046,4185100
2021-12-02,50.490002,52.330002,50.220001,51.700001,48.516323,1853100
2021-12-03,51.820000,51.919998,50.200001,50.799999,47.671741,1448000
2021-12-06,51.250000,52.700001,51.000000,51.310001,48.150337,1585100
2021-12-07,51.900002,53.049999,51.220001,51.529999,48.356785,1335900
2021-12-08,51.500000,51.820000,51.090000,51.430000,48.262947,1051200
2021-12-09,51.060001,51.320000,50.599998,50.630001,47.512211,993700
2021-12-10,50.849998,51.080002,50.250000,50.849998,47.718662,784300
2021-12-13,50.549999,51.029999,49.740002,49.750000,46.686401,953900
2021-12-14,50.279999,51.540001,50.160000,50.290001,47.193153,1840100
2021-12-15,50.340000,51.139999,49.369999,50.900002,47.765587,1275700
2021-12-16,51.200001,51.580002,49.700001,50.070000,46.986698,1324100
2021-12-17,49.570000,49.740002,48.619999,49.560001,46.508102,2080300
2021-12-20,48.779999,48.779999,47.009998,47.889999,44.940941,1879900
2021-12-21,48.320000,49.639999,48.250000,49.590000,46.536251,1169500
2021-12-22,49.709999,50.500000,49.549999,50.250000,47.155609,1113300
2021-12-23,50.500000,50.860001,50.049999,50.169998,47.080536,703500
2021-12-27,50.189999,50.349998,49.470001,50.200001,47.108692,1380800
2021-12-28,49.980000,50.830002,49.980000,50.330002,47.230686,790700
2021-12-29,50.419998,50.669998,50.040001,50.270000,47.174381,572000
2021-12-30,50.450001,51.000000,50.240002,50.250000,47.155609,488900
2021-12-31,50.000000,50.470001,49.910000,50.040001,46.958546,519600
2022-01-03,50.450001,51.389999,50.340000,50.520000,47.408985,764600
2022-01-04,51.070000,52.500000,50.900002,52.270000,49.051220,1298700
2022-01-05,52.360001,52.790001,51.299999,51.470001,48.300488,1574400
2022-01-06,52.169998,52.799999,51.720001,52.480000,49.248287,825900
2022-01-07,52.500000,53.669998,52.480000,53.130001,49.858265,1528200
2022-01-10,53.810001,54.590000,53.080002,53.990002,50.665306,1707800
2022-01-11,54.349998,54.790001,54.020000,54.639999,51.275276,1248300
2022-01-12,54.790001,55.340000,54.279999,54.490002,51.134514,1203400
2022-01-13,54.630001,55.500000,54.480000,54.650002,51.284660,879300
2022-01-14,53.689999,54.790001,53.230000,54.740002,51.369122,1545300
2022-01-18,54.810001,55.139999,53.299999,53.779999,50.468235,1363400
2022-01-19,53.700001,54.110001,51.529999,51.580002,48.403713,1227100
2022-01-20,51.500000,53.020000,50.980000,51.599998,48.422474,844000
2022-01-21,51.029999,51.500000,50.470001,50.919998,47.784351,1526300
2022-01-24,50.000000,50.939999,48.930000,50.860001,47.728046,1878500
2022-01-25,50.340000,53.160000,50.200001,52.410000,49.182594,1535500
2022-01-26,53.020000,53.139999,51.450001,51.930000,48.732159,1167100
2022-01-27,52.450001,52.759998,49.820000,50.340000,47.240070,1276000
2022-01-28,50.200001,50.990002,49.669998,50.630001,47.512211,1537800
