Date,Open,High,Low,Close,Adj Close,Volume
2021-10-11,11.420000,11.790000,11.330000,11.670000,11.670000,2323900
2021-10-12,11.690000,11.980000,11.600000,11.840000,11.840000,2434500
2021-10-13,11.840000,11.860000,11.360000,11.420000,11.420000,1298300
2021-10-14,11.550000,11.600000,11.240000,11.490000,11.490000,1693600
2021-10-15,11.700000,11.700000,11.080000,11.080000,11.080000,2761400
2021-10-18,10.990000,11.160000,10.680000,10.700000,10.700000,1795300
2021-10-19,10.710000,10.980000,10.690000,10.850000,10.850000,1106600
2021-10-20,10.860000,11.050000,10.710000,10.760000,10.760000,1232400
2021-10-21,10.760000,10.870000,10.510000,10.520000,10.520000,2170900
2021-10-22,10.500000,10.590000,10.240000,10.500000,10.500000,3245300
2021-10-25,10.460000,10.610000,10.270000,10.520000,10.520000,1431100
2021-10-26,10.560000,10.760000,10.290000,10.350000,10.350000,2700200
2021-10-27,10.300000,10.580000,10.080000,10.160000,10.160000,2005600
2021-10-28,10.190000,10.590000,10.170000,10.570000,10.570000,2091100
2021-10-29,10.600000,10.740000,10.460000,10.500000,10.500000,2185000
2021-11-01,10.490000,11.600000,10.460000,11.520000,11.520000,3273700
2021-11-02,11.570000,11.920000,11.250000,11.910000,11.910000,2001300
2021-11-03,11.900000,12.370000,11.720000,12.360000,12.360000,2351300
2021-11-04,12.440000,12.530000,12.220000,12.440000,12.440000,1546800
2021-11-05,12.400000,12.410000,11.800000,12.050000,12.050000,3558400
2021-11-08,12.070000,12.210000,11.860000,11.930000,11.930000,1485400
2021-11-09,11.740000,11.940000,11.200000,11.320000,11.320000,2432400
2021-11-10,10.920000,11.810000,10.910000,11.480000,11.480000,3630400
2021-11-11,11.490000,11.850000,11.440000,11.680000,11.680000,2436500
2021-11-12,11.750000,11.750000,11.050000,11.340000,11.340000,1741400
2021-11-15,11.850000,12.220000,11.460000,11.510000,11.510000,3915000
2021-11-16,11.460000,12.140000,11.240000,12.000000,12.000000,2538600
2021-11-17,11.950000,11.960000,11.470000,11.590000,11.590000,1815900
2021-11-18,11.640000,11.800000,11.400000,11.420000,11.420000,2119700
2021-11-19,11.380000,11.520000,11.070000,11.340000,11.340000,1833300
2021-11-22,11.220000,11.480000,11.030000,11.240000,11.240000,2223600
2021-11-23,11.260000,11.410000,10.800000,11.330000,11.330000,1719500
2021-11-24,11.240000,11.480000,11.050000,11.340000,11.340000,1045800
2021-11-26,11.110000,11.270000,10.630000,10.800000,10.800000,1270700
2021-11-29,10.880000,11.130000,10.760000,10.790000,10.790000,1696900
2021-11-30,10.760000,11.140000,10.670000,10.710000,10.710000,3508400
2021-12-01,10.930000,11.380000,10.730000,10.740000,10.740000,2363500
2021-12-02,10.660000,11.160000,10.660000,11.130000,11.130000,1357200
2021-12-03,11.170000,11.210000,10.320000,10.450000,10.450000,1747200
2021-12-06,10.500000,10.690000,10.180000,10.620000,10.620000,1689100
2021-12-07,10.870000,11.280000,10.850000,11.210000,11.210000,2183600
2021-12-08,11.230000,11.490000,11.080000,11.250000,11.250000,3493100
2021-12-09,11.090000,11.290000,10.420000,10.430000,10.430000,1466200
2021-12-10,10.440000,10.830000,10.230000,10.280000,10.280000,1823300
2021-12-13,10.220000,10.590000,10.160000,10.460000,10.460000,1624700
2021-12-14,10.390000,10.580000,10.150000,10.390000,10.390000,1614400
2021-12-15,10.410000,10.660000,9.930000,10.650000,10.650000,2344000
2021-12-16,10.720000,10.800000,9.860000,10.100000,10.100000,2311100
2021-12-17,10.010000,10.930000,9.980000,10.840000,10.840000,3944300
2021-12-20,10.740000,11.320000,10.490000,11.230000,11.230000,2577300
2021-12-21,11.320000,11.790000,11.010000,11.670000,11.670000,1862000
2021-12-22,11.600000,11.960000,11.480000,11.720000,11.720000,1431500
2021-12-23,11.570000,12.220000,11.570000,12.180000,12.180000,3647700
