Date,Open,High,Low,Close,Adj Close,Volume
2021-10-11,7.980000,7.980000,7.710000,7.720000,7.720000,9070100
2021-10-12,7.700000,7.790000,7.570000,7.690000,7.690000,7359800
2021-10-13,7.750000,7.770000,7.530000,7.540000,7.540000,6038400
2021-10-14,7.520000,8.100000,7.500000,7.860000,7.860000,13473000
2021-10-15,7.960000,8.120000,7.810000,7.830000,7.830000,5897700
2021-10-18,7.780000,7.870000,7.710000,7.710000,7.710000,4751000
2021-10-19,7.710000,7.740000,7.460000,7.470000,7.470000,10703900
2021-10-20,7.460000,7.810000,7.460000,7.730000,7.730000,10736800
2021-10-21,7.700000,7.940000,7.670000,7.910000,7.910000,8750300
2021-10-22,7.860000,8.140000,7.860000,8.080000,8.080000,7823400
2021-10-25,8.120000,8.120000,7.900000,8.000000,8.000000,5230500
2021-10-26,8.360000,8.690000,8.240000,8.580000,8.580000,14374900
2021-10-27,8.520000,8.590000,8.240000,8.240000,8.240000,6013900
2021-10-28,8.250000,8.500000,8.160000,8.480000,8.480000,4387300
2021-10-29,8.470000,8.600000,8.320000,8.480000,8.480000,4747200
2021-11-01,8.510000,8.730000,8.490000,8.710000,8.710000,5546700
2021-11-02,8.660000,8.730000,8.450000,8.690000,8.690000,5177000
2021-11-03,8.740000,9.180000,8.690000,9.100000,9.100000,8876800
2021-11-04,9.140000,9.220000,8.880000,9.000000,9.000000,9302300
2021-11-05,9.100000,9.320000,9.060000,9.290000,9.290000,9155000
2021-11-08,10.090000,10.710000,9.990000,10.690000,10.690000,34286600
2021-11-09,10.820000,10.850000,10.330000,10.810000,10.810000,16499600
2021-11-10,10.350000,10.800000,10.280000,10.470000,10.470000,29575000
2021-11-11,10.560000,10.800000,10.460000,10.790000,10.790000,9505700
2021-11-12,10.900000,11.000000,10.740000,10.810000,10.810000,7891000
2021-11-15,10.900000,11.020000,10.790000,10.960000,10.960000,8075100
2021-11-16,10.960000,10.970000,10.690000,10.700000,10.700000,7272700
2021-11-17,11.080000,11.120000,10.640000,10.810000,10.810000,11368000
2021-11-18,10.800000,11.000000,10.530000,10.770000,10.770000,16415300
2021-11-19,10.680000,10.850000,10.340000,10.350000,10.350000,9776800
2021-11-22,10.520000,10.520000,10.020000,10.270000,10.270000,8277600
2021-11-23,10.180000,10.360000,10.090000,10.250000,10.250000,5860500
2021-11-24,10.140000,10.380000,10.010000,10.300000,10.300000,4080000
2021-11-26,9.580000,9.850000,9.480000,9.640000,9.640000,8194800
2021-11-29,9.920000,10.030000,9.650000,9.970000,9.970000,7239400
2021-11-30,9.820000,9.950000,9.430000,9.730000,9.730000,10390200
2021-12-01,9.910000,9.950000,9.300000,9.310000,9.310000,9483300
2021-12-02,9.470000,9.690000,9.290000,9.670000,9.670000,7643500
2021-12-03,9.670000,9.820000,9.280000,9.400000,9.400000,7370800
2021-12-06,9.590000,9.930000,9.470000,9.800000,9.800000,5521900
2021-12-07,10.030000,10.170000,9.970000,10.030000,10.030000,4803100
2021-12-08,9.980000,10.350000,9.880000,10.270000,10.270000,5656000
2021-12-09,10.170000,10.440000,10.120000,10.130000,10.130000,3778100
2021-12-10,10.220000,10.350000,10.050000,10.150000,10.150000,5229200
2021-12-13,9.960000,10.050000,9.520000,9.660000,9.660000,5091600
2021-12-14,9.740000,9.990000,9.670000,9.820000,9.820000,6173800
2021-12-15,9.820000,9.980000,9.580000,9.970000,9.970000,5293200
2021-12-16,9.970000,10.030000,9.630000,9.700000,9.700000,4804400
2021-12-17,9.590000,9.860000,9.500000,9.730000,9.730000,7812400
2021-12-20,9.580000,9.640000,9.330000,9.490000,9.490000,5104700
2021-12-21,9.640000,10.220000,9.610000,10.120000,10.120000,6638400
2021-12-22,10.160000,10.400000,10.090000,10.370000,10.370000,5048900
2021-12-23,10.410000,10.580000,10.390000,10.520000,10.520000,3356800
2021-12-27,10.400000,10.580000,10.380000,10.490000,10.490000,2970100
2021-12-28,10.450000,10.630000,10.420000,10.480000,10.480000,2330400
2021-12-29,10.500000,10.550000,10.340000,10.430000,10.430000,3146100
2021-12-30,10.310000,10.560000,10.310000,10.390000,10.390000,3547700
2021-12-31,10.370000,10.540000,10.340000,10.500000,10.500000,4844300
2022-01-03,10.500000,10.820000,10.500000,10.660000,10.660000,4900900
2022-01-04,10.770000,10.790000,10.460000,10.600000,10.600000,4031700
2022-01-05,10.620000,10.640000,10.250000,10.270000,10.270000,5513100
2022-01-06,10.310000,10.500000,10.160000,10.210000,10.210000,3864300
2022-01-07,10.240000,10.380000,10.020000,10.040000,10.040000,4689500
2022-01-10,10.020000,10.040000,9.320000,9.480000,9.480000,9964400
2022-01-11,9.480000,9.810000,9.380000,9.650000,9.650000,11228100
2022-01-12,9.670000,9.730000,9.350000,9.440000,9.440000,20399600
2022-01-13,9.400000,9.520000,9.170000,9.290000,9.290000,17746600
2022-01-14,9.200000,9.250000,8.740000,8.930000,8.930000,7295800
2022-01-18,8.900000,8.930000,8.550000,8.640000,8.640000,9613500
2022-01-19,8.820000,8.940000,8.570000,8.590000,8.590000,8266500
2022-01-20,8.700000,9.070000,8.440000,8.640000,8.640000,15811400
2022-01-21,8.770000,8.790000,8.330000,8.390000,8.390000,8989200
2022-01-24,8.140000,8.490000,7.750000,8.430000,8.430000,15908300
2022-01-25,8.280000,8.550000,8.230000,8.390000,8.390000,7725300
2022-01-26,8.560000,8.760000,8.180000,8.320000,8.320000,7410100
2022-01-27,8.450000,8.550000,8.030000,8.070000,8.070000,6005000
2022-01-28,7.850000,8.140000,7.680000,8.130000,8.130000,11584100
2022-01-31,8.120000,8.480000,8.120000,8.480000,8.480000,8969100
2022-02-01,8.550000,8.670000,8.390000,8.570000,8.570000,5859700
2022-02-02,8.680000,8.680000,8.320000,8.510000,8.510000,8501500
2022-02-03,8.400000,8.730000,8.350000,8.400000,8.400000,19074500
2022-02-04,8.410000,8.550000,8.260000,8.470000,8.470000,13120000
2022-02-07,8.560000,8.680000,8.490000,8.580000,8.580000,21352100
2022-02-08,8.800000,9.330000,8.500000,9.270000,9.270000,34113300
2022-02-09,9.410000,9.650000,9.350000,9.630000,9.630000,18481200
2022-02-10,9.400000,10.020000,9.380000,9.640000,9.640000,15396800
2022-02-11,9.660000,9.760000,9.240000,9.320000,9.320000,9856400
2022-02-14,9.300000,9.340000,9.070000,9.200000,9.200000,7341300
2022-02-15,9.210000,9.500000,9.210000,9.460000,9.460000,5278700
2022-02-16,9.350000,9.510000,9.330000,9.480000,9.480000,3431700
2022-02-17,9.440000,9.510000,9.240000,9.280000,9.280000,3600200
2022-02-18,9.320000,9.490000,9.070000,9.170000,9.170000,7892100
2022-02-22,9.050000,9.170000,8.750000,8.860000,8.860000,7875100
2022-02-23,8.960000,9.080000,8.660000,8.680000,8.680000,7275400
2022-02-24,8.230000,8.840000,8.090000,8.810000,8.810000,10286300
2022-02-25,8.850000,9.180000,8.740000,9.130000,9.130000,5535800
2022-02-28,8.910000,9.220000,8.900000,9.170000,9.170000,6860900
2022-03-01,9.120000,9.310000,8.920000,8.990000,8.990000,7937800
2022-03-02,9.130000,9.220000,8.970000,9.170000,9.170000,9722800
2022-03-03,9.320000,9.400000,8.750000,8.770000,8.770000,7813300
2022-03-04,8.660000,8.670000,7.980000,8.120000,8.120000,17635600
2022-03-07,8.170000,8.230000,7.330000,7.350000,7.350000,20032600
2022-03-08,7.480000,8.030000,7.240000,7.660000,7.660000,17351700
2022-03-09,7.920000,8.290000,7.890000,8.070000,8.070000,10752300
2022-03-10,7.870000,8.190000,7.770000,8.100000,8.100000,7736000
2022-03-11,8.330000,8.490000,8.190000,8.210000,8.210000,8090600
2022-03-14,8.270000,8.300000,7.820000,7.980000,7.980000,9384600
2022-03-15,8.240000,8.540000,8.180000,8.460000,8.460000,7755500
2022-03-16,8.580000,8.950000,8.570000,8.930000,8.930000,8848400
2022-03-17,8.810000,9.010000,8.790000,8.910000,8.910000,7045200
2022-03-18,8.850000,9.140000,8.740000,9.060000,9.060000,12758800
2022-03-21,9.030000,9.030000,8.760000,8.880000,8.880000,9216800
2022-03-22,8.940000,9.170000,8.920000,8.980000,8.980000,4922500
2022-03-23,8.840000,8.900000,8.710000,8.750000,8.750000,3900700
2022-03-24,8.740000,8.850000,8.710000,8.820000,8.820000,2337700
2022-03-25,8.760000,8.970000,8.760000,8.920000,8.920000,6554300
