Date,Open,High,Low,Close,Adj Close,Volume
2021-10-11,143.460007,146.089996,143.350006,144.020004,141.427643,302300
2021-10-12,144.179993,145.649994,143.750000,144.080002,141.486557,222800
2021-10-13,144.500000,145.410004,142.479996,144.770004,142.164139,237300
2021-10-14,147.979996,149.369995,145.979996,146.259995,143.627304,371600
2021-10-15,147.089996,149.470001,147.029999,147.580002,144.923553,318100
2021-10-18,146.119995,149.289993,144.869995,148.570007,145.895752,428100
2021-10-19,148.679993,149.300003,146.970001,147.570007,144.913742,300200
2021-10-20,146.800003,150.429993,146.020004,149.360001,146.671509,266600
2021-10-21,146.910004,148.419998,145.360001,148.360001,145.689529,320400
2021-10-22,149.600006,150.820007,148.949997,149.289993,146.602753,210900
2021-10-25,150.160004,153.630005,149.679993,152.850006,150.098709,276000
2021-10-26,152.509995,153.490005,150.729996,151.139999,148.419479,231400
2021-10-27,149.449997,150.800003,143.929993,143.979996,141.388367,415800
2021-10-28,143.119995,146.990005,142.740005,144.289993,141.692764,453300
2021-10-29,144.889999,147.880005,144.889999,146.160004,143.529129,421900
2021-11-01,148.250000,149.550003,144.740005,149.220001,146.534042,436400
2021-11-02,148.500000,150.639999,148.500000,150.460007,147.751709,440800
2021-11-03,150.660004,155.990005,150.199997,155.419998,152.622437,506500
2021-11-04,158.779999,161.679993,158.779999,160.809998,157.915421,569500
2021-11-05,161.410004,163.460007,161.410004,163.289993,160.350769,437700
2021-11-08,165.729996,167.800003,164.399994,164.940002,161.971085,423500
2021-11-09,164.199997,166.039993,164.130005,165.979996,162.992355,383900
2021-11-10,165.020004,166.389999,163.710007,163.910004,160.959610,387100
2021-11-11,165.009995,166.839996,164.860001,166.419998,163.424438,272100
2021-11-12,166.410004,167.830002,165.800003,166.830002,163.827057,236200
2021-11-15,166.380005,166.929993,164.720001,165.059998,162.088913,259400
2021-11-16,165.520004,166.479996,164.570007,165.570007,162.589722,356400
2021-11-17,163.500000,165.210007,159.070007,159.259995,156.393295,487700
2021-11-18,158.889999,161.270004,158.009995,160.389999,158.186340,220500
2021-11-19,160.179993,163.589996,159.789993,161.699997,159.478333,246900
2021-11-22,161.649994,166.940002,161.550003,164.000000,161.746735,341200
2021-11-23,164.940002,166.770004,162.910004,163.979996,161.726990,233800
2021-11-24,164.100006,164.990005,161.380005,161.779999,159.557236,192100
2021-11-26,155.720001,159.619995,154.779999,158.199997,156.026428,148800
2021-11-29,159.809998,159.979996,156.339996,156.830002,154.675247,306200
2021-11-30,156.169998,156.830002,148.110001,148.630005,146.587921,621900
2021-12-01,150.880005,155.169998,149.380005,149.460007,147.406509,401000
2021-12-02,150.940002,156.050003,150.270004,153.399994,151.292358,324700
2021-12-03,153.710007,155.339996,149.820007,151.389999,149.309982,334500
2021-12-06,152.149994,154.889999,150.779999,153.960007,151.844681,405300
2021-12-07,156.160004,159.630005,156.160004,157.149994,154.990860,286000
2021-12-08,158.210007,158.610001,156.210007,157.000000,154.842911,204100
2021-12-09,155.649994,158.029999,154.050003,156.860001,154.704849,243200
2021-12-10,158.960007,158.960007,156.250000,158.169998,155.996841,233000
2021-12-13,159.490005,159.490005,155.850006,156.490005,154.339920,438800
2021-12-14,157.000000,159.960007,156.429993,156.910004,154.754150,367000
2021-12-15,155.529999,155.800003,152.199997,155.360001,153.225449,282700
2021-12-16,157.320007,161.619995,155.589996,157.880005,155.710831,333300
2021-12-17,157.169998,160.389999,155.899994,159.240005,157.052139,706900
2021-12-20,157.839996,157.850006,151.589996,153.440002,151.331833,295200
2021-12-21,154.380005,156.029999,154.029999,155.419998,153.284622,196800
2021-12-22,155.800003,158.130005,154.600006,157.750000,155.582611,196500
2021-12-23,158.130005,159.259995,157.119995,158.669998,156.489960,197500
2021-12-27,158.190002,161.330002,156.429993,161.139999,158.926025,193200
2021-12-28,160.350006,161.729996,159.970001,161.369995,159.152863,135100
2021-12-29,160.669998,163.089996,160.399994,162.600006,160.365982,104600
2021-12-30,163.649994,164.330002,161.020004,161.470001,159.251495,137800
2021-12-31,161.580002,163.119995,159.690002,162.220001,159.991180,152700
2022-01-03,162.850006,164.240005,160.899994,161.279999,159.064102,173600
2022-01-04,162.699997,165.800003,162.380005,163.570007,161.322662,212100
2022-01-05,165.110001,170.740005,164.000000,166.750000,164.458954,295800
2022-01-06,168.070007,168.070007,163.850006,165.490005,163.216263,230300
2022-01-07,166.850006,167.270004,164.190002,166.529999,164.241974,216200
2022-01-10,166.070007,168.110001,161.639999,162.399994,160.168701,400800
2022-01-11,161.369995,164.289993,158.660004,164.179993,161.924255,222500
2022-01-12,166.770004,168.529999,165.919998,167.720001,165.415634,353800
2022-01-13,168.059998,169.880005,164.889999,165.589996,163.314880,254700
2022-01-14,163.929993,166.649994,163.889999,166.330002,164.044724,169400
2022-01-18,164.789993,164.789993,161.979996,163.899994,161.648102,190100
2022-01-19,168.100006,168.100006,162.660004,163.699997,161.450851,269700
2022-01-20,163.110001,166.509995,160.539993,160.729996,158.521652,358000
2022-01-21,159.880005,159.880005,150.410004,150.839996,148.767532,445000
2022-01-24,148.059998,153.039993,146.240005,152.210007,150.118729,451500
2022-01-25,149.779999,152.300003,145.789993,151.520004,149.438202,413400
2022-01-26,153.179993,154.789993,147.750000,149.059998,147.011993,476200
2022-01-27,150.949997,154.000000,148.990005,150.600006,148.530853,421900
2022-01-28,152.589996,152.589996,147.800003,151.589996,149.507248,398300
2022-01-31,151.940002,153.070007,150.630005,152.880005,150.779526,539200
2022-02-01,155.110001,159.240005,154.229996,158.460007,156.282867,277600
2022-02-02,158.160004,161.210007,157.270004,160.050003,157.851013,325800
2022-02-03,159.770004,162.460007,157.970001,159.750000,157.555130,160400
2022-02-04,158.779999,161.240005,156.059998,156.139999,153.994720,299800
2022-02-07,157.250000,157.250000,153.039993,154.039993,151.923569,428900
