Date,Open,High,Low,Close,Adj Close,Volume
2021-10-11,48.060001,48.250000,47.389999,47.419998,47.000839,1104500
2021-10-12,47.430000,48.360001,47.169998,47.759998,47.337833,1656700
2021-10-13,47.910000,48.259998,47.349998,47.430000,47.010757,1268200
2021-10-14,47.910000,48.990002,47.650002,48.549999,48.120853,2107800
2021-10-15,49.099998,49.820000,48.869999,49.459999,49.022812,1782400
2021-10-18,49.290001,50.610001,49.220001,50.439999,49.994148,1904100
2021-10-19,51.000000,51.099998,50.139999,50.750000,50.301411,1707400
2021-10-20,54.270000,54.410000,51.900002,54.320000,53.839855,3774500
2021-10-21,54.860001,56.790001,54.270000,56.750000,56.248371,3123600
2021-10-22,56.880001,57.169998,55.660000,56.279999,55.782528,2146200
2021-10-25,57.610001,57.669998,55.330002,55.480000,54.989597,2403600
2021-10-26,55.799999,56.349998,54.950001,55.180000,54.692253,1454400
2021-10-27,54.939999,55.490002,54.430000,54.720001,54.236320,1289300
2021-10-28,55.020000,56.860001,55.000000,56.549999,56.050140,1377900
2021-10-29,55.959999,56.930000,55.500000,56.689999,56.188904,1989900
2021-11-01,56.759998,57.700001,56.360001,57.560001,57.051216,1207600
2021-11-02,57.700001,58.169998,57.099998,57.410000,56.902538,1584100
2021-11-03,57.040001,59.349998,57.020000,59.230000,58.706451,1822400
2021-11-04,59.230000,59.639999,58.410000,59.130001,58.607338,1605600
2021-11-05,59.380001,60.090000,57.599998,57.639999,57.130508,2122000
2021-11-08,57.759998,58.380001,57.380001,58.180000,57.665737,1323600
2021-11-09,58.160000,59.400002,58.090000,59.380001,58.855125,1162900
2021-11-10,59.230000,59.250000,57.720001,59.000000,58.478489,1050300
2021-11-11,59.130001,59.480000,58.740002,59.169998,58.646980,732600
2021-11-12,59.320000,60.470001,59.060001,60.270000,59.737263,1018800
2021-11-15,60.279999,60.599998,59.360001,59.480000,58.954243,1085500
2021-11-16,59.709999,60.259998,59.060001,59.080002,58.557781,1415000
2021-11-17,59.060001,59.110001,58.119999,58.669998,58.151402,1143500
2021-11-18,58.669998,58.910000,56.910000,57.740002,57.229626,1293900
2021-11-19,57.540001,57.759998,56.869999,57.000000,56.496166,1464100
2021-11-22,57.240002,58.799999,56.790001,58.000000,57.487324,1188500
2021-11-23,58.180000,58.959999,57.459999,58.400002,57.883793,1230400
2021-11-24,58.130001,58.439999,57.419998,58.090000,57.576530,843500
2021-11-26,56.959999,57.910000,56.500000,57.389999,56.882721,844400
2021-11-29,57.619999,58.450001,57.299999,57.830002,57.318829,1377100
