Date,Open,High,Low,Close,Adj Close,Volume
2021-10-11,24.430000,24.530001,24.270000,24.340000,23.554119,2184000
2021-10-12,24.299999,24.510000,24.240000,24.360001,23.573471,3914800
2021-10-13,24.600000,24.809999,24.500000,24.690001,23.892817,4792100
2021-10-14,24.760000,25.059999,24.719999,24.900000,24.096035,4533300
2021-10-15,24.900000,25.010000,24.750000,24.879999,24.076681,2991600
2021-10-18,24.760000,24.790001,24.440001,24.510000,23.718626,3059500
2021-10-19,24.610001,24.660000,24.469999,24.639999,23.844429,2061200
2021-10-20,24.730000,25.040001,24.690001,24.910000,24.105713,2976000
2021-10-21,24.900000,25.010000,24.820000,24.900000,24.096035,3952700
2021-10-22,24.910000,25.139999,24.870001,25.049999,24.241192,3149900
2021-10-25,25.000000,25.090000,24.830000,24.969999,24.163773,2233600
2021-10-26,25.000000,25.139999,24.900000,24.959999,24.154097,3200300
2021-10-27,25.000000,25.040001,24.770000,24.840000,24.037971,2931000
2021-10-28,24.670000,24.700001,24.549999,24.680000,24.096554,3112300
2021-10-29,24.590000,24.799999,24.540001,24.670000,24.086790,3494400
2021-11-01,24.650000,24.900000,24.600000,24.830000,24.243008,3017500
2021-11-02,24.930000,24.940001,24.620001,24.740000,24.155136,4268600
2021-11-03,24.910000,25.610001,24.830000,25.290001,24.692133,6673200
2021-11-04,25.360001,25.370001,24.770000,25.070000,24.477333,5797300
2021-11-05,25.230000,25.459999,25.120001,25.309999,24.711660,4811800
2021-11-08,25.360001,25.379999,24.860001,25.070000,24.477333,3434500
2021-11-09,25.120001,25.209999,24.980000,25.030001,24.438278,6084500
2021-11-10,25.139999,25.389999,25.100000,25.309999,24.711660,3497600
2021-11-11,25.299999,25.299999,24.940001,25.090000,24.496861,2749000
2021-11-12,25.049999,25.209999,24.980000,25.080000,24.487097,4483700
2021-11-15,25.270000,25.570000,25.180000,25.540001,24.936224,3636000
2021-11-16,25.650000,25.680000,25.260000,25.280001,24.682371,2327300
2021-11-17,25.150000,25.330000,25.110001,25.290001,24.692133,4132700
2021-11-18,25.309999,25.410000,25.049999,25.120001,24.526152,2404000
2021-11-19,25.080000,25.240000,24.950001,25.219999,24.623787,10134400
2021-11-22,25.250000,25.590000,25.090000,25.469999,24.867878,5689700
2021-11-23,25.570000,25.860001,25.410000,25.540001,24.936224,2697200
2021-11-24,25.580000,25.620001,25.410000,25.469999,24.867878,2289100
2021-11-26,25.230000,25.340000,24.940001,24.990000,24.399223,1713200
