Date,Open,High,Low,Close,Adj Close,Volume
2021-10-11,87.860001,88.209999,85.519997,85.690002,85.690002,584100
2021-10-12,85.580002,87.000000,85.339996,85.889999,85.889999,494300
2021-10-13,86.059998,86.290001,83.900002,85.070000,85.070000,692700
2021-10-14,86.169998,87.449997,85.610001,86.709999,86.709999,416300
2021-10-15,88.129997,88.129997,86.230003,86.260002,86.260002,366600
2021-10-18,85.260002,86.779999,85.050003,86.440002,86.440002,335400
2021-10-19,86.900002,87.739998,86.239998,86.870003,86.870003,379500
2021-10-20,87.019997,88.010002,86.279999,87.459999,87.459999,427000
2021-10-21,87.300003,88.959999,86.839996,88.820000,88.820000,435400
2021-10-22,89.040001,90.440002,88.449997,88.540001,88.540001,564100
2021-10-25,88.730003,89.580002,87.639999,89.209999,89.209999,851000
2021-10-26,89.709999,90.870003,88.970001,89.010002,89.010002,665800
2021-10-27,89.050003,89.050003,86.339996,86.610001,86.610001,771400
2021-10-28,87.239998,89.709999,86.879997,89.660004,89.660004,545600
2021-10-29,89.440002,91.610001,88.699997,89.129997,89.129997,575100
2021-11-01,89.989998,91.989998,89.610001,91.000000,91.000000,764000
2021-11-02,90.919998,90.919998,88.570000,89.839996,89.839996,791200
2021-11-03,89.160004,89.849998,87.889999,89.830002,89.830002,641600
2021-11-04,90.739998,91.070000,88.699997,89.540001,89.540001,690000
2021-11-05,89.709999,95.260002,85.440002,93.839996,93.839996,1336800
2021-11-08,96.739998,104.209999,95.750000,99.599998,99.599998,2051400
2021-11-09,99.180000,100.540001,96.180000,96.510002,96.510002,733900
2021-11-10,95.870003,97.550003,94.400002,95.250000,95.250000,565500
2021-11-11,95.260002,96.529999,94.370003,95.709999,95.709999,476300
2021-11-12,96.410004,96.660004,94.419998,95.660004,95.660004,318400
2021-11-15,96.500000,96.500000,93.589996,93.739998,93.739998,483300
2021-11-16,94.370003,97.360001,94.370003,95.669998,95.669998,637500
2021-11-17,95.809998,96.660004,94.300003,94.699997,94.699997,473900
2021-11-18,94.730003,97.230003,93.330002,96.779999,96.779999,926100
