Date,Open,High,Low,Close,Adj Close,Volume
2021-10-11,55.700001,56.000000,54.160000,54.200001,52.720390,208900
2021-10-12,53.990002,54.380001,53.340000,53.950001,52.477219,220300
2021-10-13,53.459999,53.869999,52.619999,53.040001,51.592064,267400
2021-10-14,53.720001,54.209999,53.180000,54.150002,52.671757,250900
2021-10-15,55.189999,55.189999,53.900002,53.930000,52.457760,358500
2021-10-18,54.310001,54.599998,53.549999,54.270000,52.788483,279600
2021-10-19,54.369999,54.430000,53.450001,53.900002,52.428581,252600
2021-10-20,53.910000,55.740002,52.759998,55.669998,54.150261,280600
2021-10-21,55.860001,56.060001,55.180000,56.049999,54.519894,316100
2021-10-22,56.400002,57.180000,53.549999,57.070000,55.512043,269300
2021-10-25,56.869999,57.610001,55.759998,55.810001,54.286442,343500
2021-10-26,55.779999,56.009998,55.290001,55.520000,54.004356,225700
2021-10-27,55.599998,55.599998,53.459999,53.520000,52.058952,257600
2021-10-28,53.740002,54.980000,53.740002,54.910000,53.411015,226400
2021-10-29,54.869999,55.820000,54.790001,55.290001,53.780640,273500
2021-11-01,55.790001,57.090000,55.660000,56.950001,55.395321,322600
2021-11-02,56.950001,57.400002,56.279999,56.459999,54.918697,274400
2021-11-03,56.279999,58.270000,56.009998,57.869999,56.290203,457600
2021-11-04,57.570000,58.130001,56.490002,57.509998,55.940033,256400
2021-11-05,57.529999,59.630001,57.320000,59.470001,57.846535,382900
2021-11-08,59.480000,60.130001,59.009998,59.230000,57.613079,390500
2021-11-09,58.720001,58.939999,58.000000,58.669998,57.068363,229500
2021-11-10,58.689999,59.349998,58.529999,59.160000,57.544991,231300
2021-11-11,59.250000,60.060001,58.950001,59.560001,57.934071,177400
2021-11-12,59.730000,59.740002,58.669998,59.310001,57.690895,199000
2021-11-15,59.619999,60.009998,59.150002,59.849998,58.216152,302000
2021-11-16,59.779999,60.540001,59.380001,59.840000,58.206425,319000
2021-11-17,59.570000,59.919998,58.520000,59.430000,57.807621,293600
2021-11-18,56.680000,59.939999,56.680000,59.419998,57.797894,311400
2021-11-19,59.009998,59.009998,58.000000,58.660000,57.058640,265600
2021-11-22,59.529999,60.480000,58.790001,58.980000,57.369904,298300
2021-11-23,59.330002,59.779999,58.889999,59.689999,58.060520,173200
2021-11-24,59.200001,59.570000,58.750000,59.049999,57.437992,132100
2021-11-26,57.189999,57.660000,54.529999,55.619999,54.101624,320800
2021-11-29,56.470001,56.799999,55.310001,55.490002,53.975182,318900
2021-11-30,55.160000,55.389999,53.930000,54.299999,52.817665,321400
2021-12-01,55.779999,56.599998,53.910000,53.910000,52.438309,329900
