Date,Open,High,Low,Close,Adj Close,Volume
2021-10-11,83.519997,83.580002,82.220001,82.510002,79.775116,2221100
2021-10-12,82.559998,82.940002,82.139999,82.550003,79.813797,2898800
2021-10-13,82.739998,83.519997,81.849998,83.459999,80.693634,2131300
2021-10-14,83.910004,84.269997,83.519997,84.050003,81.264076,2252200
2021-10-15,84.000000,84.400002,83.209999,83.489998,80.722633,1849000
2021-10-18,83.250000,83.309998,82.339996,82.989998,80.239212,2002000
2021-10-19,83.419998,83.989998,83.190002,83.800003,81.022362,2224000
2021-10-20,84.199997,85.320000,84.120003,84.900002,82.085907,2330900
2021-10-21,84.790001,85.300003,84.589996,85.199997,82.375954,1736700
2021-10-22,85.519997,85.849998,85.150002,85.580002,82.743362,1770500
2021-10-25,85.570000,85.660004,84.580002,84.669998,81.863525,1814100
2021-10-26,84.809998,85.339996,84.400002,84.419998,81.621811,2829300
2021-10-27,85.739998,85.739998,84.080002,84.300003,81.505791,3768600
2021-10-28,84.300003,85.000000,83.519997,84.709999,81.902199,2523700
2021-10-29,84.709999,85.250000,84.129997,84.709999,81.902199,2897600
2021-11-01,84.699997,85.320000,84.410004,85.129997,82.308281,2079500
2021-11-02,85.209999,85.540001,84.309998,85.300003,82.472649,2071400
2021-11-03,85.300003,85.870003,84.360001,84.930000,82.114906,2067900
2021-11-04,84.930000,85.199997,82.800003,83.889999,81.109375,2690200
2021-11-05,84.349998,85.570000,84.199997,85.040001,82.221260,1940100
2021-11-08,85.160004,85.190002,83.550003,83.900002,81.119049,4155000
2021-11-09,83.389999,83.940002,82.959999,83.040001,81.040977,3267300
2021-11-10,83.550003,84.320000,83.480003,84.180000,82.153526,4234900
2021-11-11,84.180000,84.180000,82.120003,82.610001,80.621330,2882700
2021-11-12,82.440002,82.580002,81.900002,82.019997,80.045525,2061000
2021-11-15,82.250000,82.900002,81.809998,82.879997,80.884819,2099100
2021-11-16,82.900002,83.180000,82.400002,82.559998,80.572517,1881200
2021-11-17,82.410004,83.309998,82.120003,83.239998,81.236153,2146900
2021-11-18,83.230003,83.360001,82.489998,82.820000,80.826263,2123000
2021-11-19,83.019997,83.680000,82.629997,83.379997,81.372787,2477700
2021-11-22,83.309998,85.059998,82.959999,84.300003,82.270645,3014900
2021-11-23,84.449997,84.870003,83.589996,84.309998,82.280396,2166000
2021-11-24,84.760002,84.760002,83.699997,83.820000,81.802200,2539200
2021-11-26,83.519997,83.949997,82.290001,82.550003,80.562775,1636800
2021-11-29,82.709999,83.760002,82.190002,83.309998,81.304474,2899200
2021-11-30,83.209999,83.209999,80.680000,81.050003,79.098885,4122300
2021-12-01,81.570000,82.529999,80.220001,80.279999,78.347412,3494100
2021-12-02,80.860001,82.199997,80.489998,81.309998,79.352615,3442200
2021-12-03,81.989998,82.570000,81.029999,82.339996,80.357819,2809100
2021-12-06,82.970001,84.669998,82.839996,83.489998,81.480141,3864700
2021-12-07,83.190002,84.019997,82.669998,83.910004,81.890030,3601900
2021-12-08,83.790001,84.580002,83.459999,84.019997,81.997375,2343100
2021-12-09,83.970001,84.120003,83.160004,83.519997,81.509407,2441400
2021-12-10,84.110001,84.250000,83.589996,83.989998,81.968102,1955900
2021-12-13,83.919998,85.480003,83.900002,84.980003,82.934273,3664800
2021-12-14,85.239998,85.550003,84.589996,85.129997,83.080658,2341100
2021-12-15,85.330002,87.419998,85.230003,87.230003,85.130112,3894500
2021-12-16,87.139999,88.389999,87.019997,88.000000,85.881577,3521600
2021-12-17,87.589996,88.239998,86.400002,86.540001,84.456718,5325600
2021-12-20,85.860001,87.330002,85.540001,87.230003,85.130112,3349500
2021-12-21,87.639999,87.760002,86.269997,86.750000,84.661659,2813500
2021-12-22,86.300003,87.050003,86.220001,86.620003,84.534798,1776400
2021-12-23,86.519997,86.989998,86.330002,86.519997,84.437195,1553100
2021-12-27,86.500000,87.190002,86.269997,87.080002,84.983719,1609800
2021-12-28,87.250000,88.300003,87.250000,88.209999,86.086510,1507500
2021-12-29,88.370003,88.680000,88.099998,88.580002,86.447601,1170700
2021-12-30,88.639999,88.760002,87.989998,88.690002,86.554962,1288900
2021-12-31,88.639999,89.220001,88.300003,88.970001,86.828217,1520800
2022-01-03,88.629997,88.769997,87.529999,88.610001,86.476891,2661600
2022-01-04,88.500000,89.940002,88.500000,88.650002,86.515923,2349200
2022-01-05,88.660004,90.290001,88.660004,89.470001,87.316177,3343300
2022-01-06,89.500000,90.309998,88.910004,89.180000,87.033165,3296300
2022-01-07,88.989998,91.269997,88.559998,90.800003,88.614166,3109600
2022-01-10,90.910004,91.430000,90.339996,90.500000,88.321388,3206500
2022-01-11,90.269997,90.629997,89.180000,89.769997,87.608963,2231600
2022-01-12,89.699997,90.410004,88.959999,90.290001,88.116447,2244200
2022-01-13,90.260002,91.580002,89.910004,90.860001,88.672714,2937700
2022-01-14,91.129997,91.309998,90.279999,90.980003,88.789833,4088400
2022-01-18,90.510002,90.820000,89.199997,90.320000,88.145721,2558800
2022-01-19,90.449997,91.070000,89.639999,90.300003,88.126198,2535000
2022-01-20,90.459999,91.029999,89.820000,89.919998,87.755348,2361500
2022-01-21,90.660004,91.660004,89.730003,89.970001,87.804138,3969900
2022-01-24,90.400002,91.180000,87.080002,89.120003,86.974617,4777200
2022-01-25,88.269997,89.660004,88.050003,88.959999,86.818459,2837900
2022-01-26,88.760002,89.800003,88.320000,88.830002,86.691589,3561600
2022-01-27,89.080002,90.519997,89.000000,89.400002,87.247871,3239000
2022-01-28,89.150002,90.290001,88.470001,90.129997,87.960297,4460800
2022-01-31,89.339996,90.489998,89.110001,90.400002,88.223801,5909000
2022-02-01,89.910004,90.129997,87.910004,88.349998,86.223137,4817000
2022-02-02,88.440002,89.989998,87.809998,89.879997,87.716309,3518800
2022-02-03,90.000000,90.599998,89.610001,90.190002,88.018852,2529800
2022-02-04,89.269997,90.290001,88.419998,89.169998,87.023407,3439600
2022-02-07,88.779999,90.379997,88.779999,89.809998,87.647995,3011400
2022-02-08,90.070000,90.540001,89.709999,90.199997,88.028603,2415300
2022-02-09,90.019997,90.120003,89.059998,89.379997,87.989227,2828700
2022-02-10,88.589996,89.000000,87.190002,87.389999,86.030197,3065100
2022-02-11,87.559998,88.650002,87.519997,87.650002,86.286148,3340500
2022-02-14,87.930000,88.050003,85.430000,86.180000,84.839020,2659100
2022-02-15,86.400002,86.809998,84.959999,85.440002,84.110542,3790700
2022-02-16,85.629997,85.930000,84.370003,85.410004,84.081009,2622900
2022-02-17,85.070000,85.879997,84.199997,85.489998,84.159760,3155000
2022-02-18,85.300003,86.370003,85.010002,85.709999,84.376335,3909500
2022-02-22,85.709999,86.650002,85.150002,85.989998,84.651978,2481200
