Date,Open,High,Low,Close,Adj Close,Volume
2021-10-11,62.320000,62.650002,61.400002,61.459999,61.459999,3067400
2021-10-12,61.730000,63.560001,60.450001,62.869999,62.869999,4674800
2021-10-13,62.950001,63.395000,61.310001,62.730000,62.730000,2933300
2021-10-14,63.490002,63.869999,62.369999,62.610001,62.610001,3355900
2021-10-15,62.770000,64.089996,61.900002,63.529999,63.529999,2879200
2021-10-18,63.779999,65.959999,62.750000,65.910004,65.910004,4079800
2021-10-19,65.870003,67.029999,64.760002,66.339996,66.339996,3170100
2021-10-20,67.000000,67.099998,65.400002,65.900002,65.900002,2031800
2021-10-21,65.900002,66.610001,65.389999,65.500000,65.500000,2093700
2021-10-22,65.300003,66.220001,64.919998,65.470001,65.470001,2002200
2021-10-25,64.980003,68.199997,64.809998,67.949997,67.949997,2953600
2021-10-26,68.199997,69.940002,67.505997,67.989998,67.989998,5345400
2021-10-27,68.110001,69.889999,67.010002,67.290001,67.290001,2405200
2021-10-28,67.290001,74.730003,66.919998,72.629997,72.629997,7486000
2021-10-29,71.709999,76.349998,71.029999,75.800003,75.800003,4983700
2021-11-01,75.800003,77.169998,74.230003,74.709999,74.709999,2935500
2021-11-02,74.910004,74.910004,72.629997,73.389999,73.389999,2217500
2021-11-03,73.800003,74.430000,72.709999,73.160004,73.160004,3347200
2021-11-04,73.150002,80.574997,73.099998,79.620003,79.620003,6206300
2021-11-05,78.349998,79.160004,73.919998,74.400002,74.400002,3867800
2021-11-08,74.489998,76.540001,74.489998,75.580002,75.580002,2793900
2021-11-09,76.099998,77.440002,75.400002,76.620003,76.620003,2186300
2021-11-10,76.050003,76.055000,71.529999,72.150002,72.150002,3012900
2021-11-11,73.250000,73.800003,71.169998,71.300003,71.300003,2624700
2021-11-12,71.809998,77.080002,70.849998,76.910004,76.910004,3432300
2021-11-15,77.029999,77.589996,74.401001,74.760002,74.760002,2107300
2021-11-16,74.250000,76.580002,73.879997,75.980003,75.980003,2147200
2021-11-17,75.550003,76.199997,73.269997,73.349998,73.349998,2804000
2021-11-18,73.000000,74.550003,72.660004,72.919998,72.919998,2165800
2021-11-19,73.599998,75.680000,72.900002,72.919998,72.919998,2731100
2021-11-22,72.500000,73.117996,65.570000,66.040001,66.040001,5079600
2021-11-23,65.599998,65.599998,62.279999,64.529999,64.529999,4083400
2021-11-24,64.169998,67.390999,63.630001,67.099998,67.099998,3128300
2021-11-26,69.360001,70.050003,67.599998,69.389999,69.389999,2726400
2021-11-29,68.500000,69.480003,66.209999,68.660004,68.660004,3008000
2021-11-30,68.699997,69.089996,65.849998,68.260002,68.260002,4887700
2021-12-01,68.620003,69.379997,65.320000,66.500000,66.500000,6923000
2021-12-02,64.949997,66.349998,62.820000,66.000000,66.000000,4534800
2021-12-03,65.160004,66.400002,60.250000,62.689999,62.689999,5996600
2021-12-06,59.009998,60.660000,57.520000,59.540001,59.540001,6599900
2021-12-07,60.930000,62.540001,60.310001,60.770000,60.770000,4256200
2021-12-08,60.799999,61.240002,58.520000,60.099998,60.099998,4404500
2021-12-09,60.310001,60.401001,55.950001,56.299999,56.299999,9763400
2021-12-10,50.299999,53.430000,50.049999,51.759998,51.759998,17830900
2021-12-13,51.439999,55.369999,51.430000,55.259998,55.259998,8007100
2021-12-14,54.630001,56.220001,53.520000,54.869999,54.869999,5989900
2021-12-15,54.660000,56.990002,52.860001,56.369999,56.369999,6101200
2021-12-16,56.250000,56.619999,52.520000,53.400002,53.400002,5554400
2021-12-17,52.820000,54.990002,51.599998,54.759998,54.759998,4499200
2021-12-20,53.980000,57.042000,53.306999,56.520000,56.520000,5283400
2021-12-21,57.360001,57.660000,54.450001,55.220001,55.220001,3624600
2021-12-22,55.029999,56.430000,53.939999,55.759998,55.759998,3180600
2021-12-23,56.689999,60.110001,56.500000,59.259998,59.259998,4918000
2021-12-27,58.680000,60.790001,58.230000,60.270000,60.270000,2277100
2021-12-28,60.389999,61.470001,59.919998,60.000000,60.000000,2371900
2021-12-29,59.709999,59.709999,57.070000,57.810001,57.810001,2566200
2021-12-30,58.240002,60.330002,57.590000,59.430000,59.430000,2233900
2021-12-31,59.439999,61.200001,58.900002,58.970001,58.970001,2578800
2022-01-03,59.389999,60.509998,57.259998,57.480000,57.480000,3126000
2022-01-04,57.395000,57.395000,52.869999,54.400002,54.400002,4496400
2022-01-05,53.830002,55.200001,51.529999,52.009998,52.009998,3554100
2022-01-06,51.560001,54.279999,50.049999,52.889999,52.889999,3174800
2022-01-07,50.790001,51.250000,48.029999,48.520000,48.520000,8171900
2022-01-10,47.950001,49.919998,46.450001,49.910000,49.910000,4190500
2022-01-11,49.160000,51.990002,49.020000,50.930000,50.930000,2635500
2022-01-12,50.900002,51.889999,48.189999,48.580002,48.580002,3204800
2022-01-13,49.360001,49.360001,46.029999,46.090000,46.090000,3598500
2022-01-14,45.689999,46.490002,43.119999,44.860001,44.860001,5343800
2022-01-18,43.560001,46.259998,42.980000,43.250000,43.250000,5615500
2022-01-19,43.000000,44.200001,41.919998,42.189999,42.189999,3258600
2022-01-20,42.669998,44.209999,40.619999,40.680000,40.680000,3944400
2022-01-21,40.000000,40.490002,37.680000,38.049999,38.049999,5377000
2022-01-24,37.020000,43.299999,36.700001,43.270000,43.270000,11428200
2022-01-25,42.119999,44.299999,41.709999,42.439999,42.439999,8506700
2022-01-26,43.630001,45.860001,42.150002,43.439999,43.439999,6788500
2022-01-27,43.099998,44.869999,42.480000,42.709999,42.709999,5383500
2022-01-28,43.689999,44.320000,41.348999,43.950001,43.950001,3711100
2022-01-31,44.490002,47.759998,44.410000,47.610001,47.610001,4258900
2022-02-01,47.540001,48.320000,45.980000,47.860001,47.860001,2914300
2022-02-02,47.810001,48.025002,43.820000,43.950001,43.950001,4258300
2022-02-03,43.230000,44.147999,41.310001,43.689999,43.689999,6128200
2022-02-04,44.970001,50.500000,44.650002,49.290001,49.290001,7853500
2022-02-07,48.490002,49.480000,45.610001,45.820000,45.820000,4915500
