Date,Open,High,Low,Close,Adj Close,Volume
2021-10-11,137.880005,139.460007,135.619995,135.850006,135.850006,288800
2021-10-12,136.000000,138.809998,134.309998,134.779999,134.779999,366000
2021-10-13,134.850006,138.639999,134.649994,138.300003,138.300003,204100
2021-10-14,138.880005,140.300003,134.520004,135.009995,135.009995,282900
2021-10-15,134.570007,135.839996,128.070007,128.240005,128.240005,698500
2021-10-18,128.410004,130.600006,126.540001,127.220001,127.220001,621500
2021-10-19,129.059998,132.910004,127.800003,130.020004,130.020004,1021100
2021-10-20,132.589996,132.699997,128.550003,131.100006,131.100006,599900
2021-10-21,131.830002,134.970001,131.619995,133.979996,133.979996,242700
2021-10-22,133.820007,135.979996,133.020004,134.880005,134.880005,178600
2021-10-25,134.869995,135.720001,132.309998,134.160004,134.160004,227000
2021-10-26,134.619995,134.619995,131.759995,133.889999,133.889999,199800
2021-10-27,134.029999,134.410004,128.699997,132.289993,132.289993,254500
2021-10-28,132.899994,136.000000,131.699997,132.660004,132.660004,273500
2021-10-29,131.919998,134.669998,131.720001,132.770004,132.770004,260100
2021-11-01,132.770004,137.990005,132.149994,137.500000,137.500000,457100
2021-11-02,138.039993,138.679993,132.250000,133.100006,133.100006,272400
2021-11-03,133.360001,139.009995,132.759995,138.389999,138.389999,376000
2021-11-04,138.500000,138.639999,133.929993,136.139999,136.139999,495400
2021-11-05,133.750000,133.990005,120.099998,121.099998,121.099998,1107800
2021-11-08,122.010002,126.330002,120.889999,125.940002,125.940002,465000
2021-11-09,126.580002,127.889999,121.360001,122.190002,122.190002,412900
2021-11-10,121.529999,126.849998,121.349998,125.769997,125.769997,317100
2021-11-11,126.010002,134.470001,126.010002,134.059998,134.059998,725200
2021-11-12,134.460007,144.669998,134.300003,143.679993,143.679993,995300
2021-11-15,143.889999,146.660004,142.309998,146.330002,146.330002,571800
2021-11-16,146.740005,150.729996,145.339996,149.259995,149.259995,623000
2021-11-17,149.210007,149.850006,146.949997,149.020004,149.020004,543300
2021-11-18,148.339996,148.550003,140.190002,144.710007,144.710007,632500
2021-11-19,146.490005,152.690002,145.940002,152.500000,152.500000,697300
2021-11-22,152.500000,152.500000,142.529999,144.759995,144.759995,446800
2021-11-23,142.610001,142.610001,130.910004,135.160004,135.160004,780500
2021-11-24,133.669998,135.240005,130.000000,131.660004,131.660004,413900
2021-11-26,144.229996,152.580002,140.399994,144.809998,144.809998,765200
2021-11-29,143.800003,150.190002,138.520004,149.800003,149.800003,724100
2021-11-30,150.910004,153.990005,146.610001,147.559998,147.559998,645200
2021-12-01,145.869995,147.729996,139.570007,144.690002,144.690002,488500
2021-12-02,144.690002,151.729996,143.630005,146.500000,146.500000,491200
2021-12-03,147.000000,150.190002,143.009995,147.949997,147.949997,474800
2021-12-06,145.149994,146.000000,137.289993,139.699997,139.699997,548800
2021-12-07,141.899994,145.000000,141.020004,143.210007,143.210007,355600
2021-12-08,142.800003,144.509995,140.070007,142.649994,142.649994,286200
2021-12-09,142.500000,144.759995,137.809998,138.479996,138.479996,310900
2021-12-10,137.740005,138.979996,133.740005,134.059998,134.059998,338500
2021-12-13,134.009995,143.869995,133.539993,141.399994,141.399994,457800
2021-12-14,140.509995,142.289993,137.809998,141.110001,141.110001,320100
2021-12-15,139.979996,150.300003,139.509995,150.110001,150.110001,491600
2021-12-16,151.000000,157.000000,147.440002,152.389999,152.389999,799300
2021-12-17,152.149994,164.520004,150.149994,161.750000,161.750000,1023100
2021-12-20,167.949997,179.490005,167.559998,174.589996,174.589996,2400500
2021-12-21,180.000000,180.059998,160.970001,166.940002,166.940002,1287000
2021-12-22,168.009995,170.779999,162.050003,166.240005,166.240005,594300
2021-12-23,140.300003,144.399994,135.149994,137.389999,137.389999,5419000
2021-12-27,137.360001,138.460007,131.100006,131.940002,131.940002,1594300
2021-12-28,131.990005,133.000000,125.379997,126.970001,126.970001,1507300
2021-12-29,127.750000,128.399994,124.589996,128.000000,128.000000,944500
2021-12-30,128.990005,133.789993,128.000000,133.100006,133.100006,848900
2021-12-31,132.809998,136.960007,132.500000,134.990005,134.990005,688800
2022-01-03,135.479996,135.899994,130.919998,134.289993,134.289993,810000
2022-01-04,132.470001,134.160004,123.500000,126.160004,126.160004,1232700
2022-01-05,125.550003,130.440002,123.720001,126.800003,126.800003,813600
2022-01-06,125.180000,130.110001,122.470001,126.889999,126.889999,662200
2022-01-07,130.160004,130.250000,122.739998,124.099998,124.099998,1161800
2022-01-10,123.000000,130.679993,122.220001,130.289993,130.289993,887500
2022-01-11,130.199997,131.880005,125.980003,127.620003,127.620003,820200
2022-01-12,127.620003,129.000000,124.489998,124.760002,124.760002,699000
2022-01-13,125.669998,125.669998,117.190002,117.500000,117.500000,1136000
