Date,Open,High,Low,Close,Adj Close,Volume
2021-10-11,85.050003,85.580002,84.400002,84.940002,83.133293,689700
2021-10-12,84.430000,85.129997,84.129997,84.470001,82.673286,619600
2021-10-13,84.610001,84.750000,83.029999,84.059998,82.271996,844200
2021-10-14,84.669998,86.000000,84.199997,85.870003,84.043503,862900
2021-10-15,86.449997,86.629997,85.580002,85.620003,83.798820,625500
2021-10-18,85.120003,86.120003,84.790001,85.680000,83.857544,483200
2021-10-19,86.230003,86.739998,85.629997,86.470001,84.630730,538100
2021-10-20,86.500000,88.029999,86.129997,87.580002,85.717133,996800
2021-10-21,87.599998,88.169998,86.870003,87.690002,85.824791,683600
2021-10-22,87.599998,88.610001,87.449997,88.330002,86.451180,665500
2021-10-25,88.589996,89.190002,87.739998,88.320000,86.441383,773200
2021-10-26,88.820000,89.120003,87.050003,87.250000,85.394150,1050500
2021-10-27,90.000000,91.150002,89.029999,90.620003,88.692467,2073000
2021-10-28,91.290001,92.930000,90.000000,92.910004,90.933762,2044100
2021-10-29,92.940002,93.680000,91.959999,92.639999,90.669510,1302600
2021-11-01,93.279999,94.099998,91.790001,92.120003,90.160568,1447900
2021-11-02,91.760002,91.989998,90.370003,91.129997,89.191620,910100
2021-11-03,90.519997,91.639999,89.089996,91.459999,89.514595,1451800
2021-11-04,91.699997,92.809998,91.540001,92.570000,90.600990,958800
2021-11-05,93.000000,93.199997,91.949997,92.919998,90.943542,887100
2021-11-08,93.370003,94.089996,92.339996,92.489998,90.522697,550600
2021-11-09,92.500000,93.699997,91.570000,92.889999,90.914185,769900
2021-11-10,92.629997,93.279999,91.930000,92.300003,90.336731,1076400
2021-11-11,92.529999,94.309998,92.120003,93.959999,91.961433,828300
2021-11-12,94.000000,95.320000,93.500000,95.129997,93.106537,981600
2021-11-15,95.370003,96.230003,94.760002,96.150002,94.104843,977400
2021-11-16,96.150002,96.989998,95.290001,95.730003,93.693787,1114900
2021-11-17,94.760002,95.790001,93.750000,95.629997,94.112022,1272700
2021-11-18,95.099998,96.110001,94.519997,96.019997,94.495834,848400
2021-11-19,95.160004,96.080002,93.839996,94.110001,92.616158,878200
2021-11-22,94.360001,95.480003,93.639999,94.209999,92.714569,973400
2021-11-23,94.059998,94.830002,93.550003,94.300003,92.803139,640900
2021-11-24,94.230003,94.410004,92.599998,92.839996,91.366310,841600
2021-11-26,90.839996,90.940002,89.389999,90.480003,89.043777,902400
2021-11-29,91.750000,92.000000,89.879997,90.580002,89.142197,944100
2021-11-30,89.900002,89.900002,86.000000,86.570000,85.195847,2229700
2021-12-01,88.300003,88.930000,84.449997,84.489998,83.148857,1022600
2021-12-02,85.010002,87.029999,84.379997,86.050003,84.684097,1328000
2021-12-03,86.790001,88.269997,86.040001,86.620003,85.245049,1486800
2021-12-06,87.720001,88.389999,86.269997,86.559998,85.186005,1043700
2021-12-07,87.430000,88.660004,86.629997,87.779999,86.386627,743300
2021-12-08,87.730003,88.739998,86.949997,87.019997,85.638695,630100
2021-12-09,86.889999,86.889999,84.860001,85.480003,84.123154,934900
2021-12-10,86.250000,87.029999,85.779999,86.910004,85.530441,942000
2021-12-13,86.790001,88.419998,86.519997,87.860001,86.465370,962600
2021-12-14,87.889999,88.839996,87.029999,87.080002,85.697746,729800
2021-12-15,86.949997,88.059998,85.699997,87.779999,86.386627,611100
2021-12-16,88.650002,89.290001,88.000000,88.269997,86.868851,810000
2021-12-17,88.250000,88.809998,87.139999,88.080002,86.681870,1070100
2021-12-20,86.800003,87.370003,84.120003,85.820000,84.457741,818400
2021-12-21,87.050003,88.910004,86.769997,88.269997,86.868851,1015000
2021-12-22,88.050003,89.000000,87.900002,89.000000,87.587265,938700
2021-12-23,89.010002,90.400002,88.800003,90.160004,88.728859,481200
2021-12-27,90.269997,91.290001,89.559998,91.059998,89.614563,366800
2021-12-28,90.839996,91.760002,90.550003,91.730003,90.273941,456000
2021-12-29,91.800003,92.449997,91.419998,92.209999,90.746315,482500
2021-12-30,92.510002,93.230003,91.849998,92.059998,90.598694,411300
2021-12-31,91.669998,93.870003,91.510002,93.360001,91.878067,480600
2022-01-03,93.519997,94.330002,92.610001,93.709999,92.222496,577700
2022-01-04,95.000000,95.629997,94.290001,94.529999,93.029488,1003900
2022-01-05,94.860001,95.570000,93.849998,93.970001,92.478386,975100
2022-01-06,94.989998,96.559998,93.970001,96.120003,94.594254,1065200
2022-01-07,95.830002,97.300003,94.699997,97.019997,95.479965,797400
2022-01-10,97.000000,97.879997,94.910004,96.110001,94.584412,978300
2022-01-11,96.160004,97.769997,95.370003,97.760002,96.208221,1158800
2022-01-12,98.000000,99.620003,97.290001,98.570000,97.005356,1250200
2022-01-13,99.260002,99.930000,98.349998,98.779999,97.212021,583700
2022-01-14,98.290001,99.480003,97.129997,98.709999,97.143135,733300
2022-01-18,97.930000,98.379997,96.809998,98.089996,96.532974,733300
2022-01-19,98.239998,98.279999,96.349998,96.760002,95.224091,814800
2022-01-20,96.779999,97.949997,94.529999,94.760002,93.255836,1207500
2022-01-21,93.860001,95.480003,92.169998,94.330002,92.832664,1205500
2022-01-24,91.809998,94.099998,89.620003,93.690002,92.202827,1733900
2022-01-25,92.989998,95.000000,90.430000,94.690002,93.186951,1282500
2022-01-26,95.000000,98.239998,94.910004,96.290001,94.761551,1061200
2022-01-27,97.379997,99.629997,96.300003,96.589996,95.056786,1192600
2022-01-28,96.410004,98.709999,96.180000,98.190002,96.631393,913700
2022-01-31,97.790001,98.970001,97.019997,98.860001,97.290756,1072700
2022-02-01,98.860001,100.059998,98.199997,99.989998,98.402817,1648200
2022-02-02,100.050003,101.129997,98.629997,100.660004,99.062195,1383600
2022-02-03,99.500000,100.779999,98.529999,98.790001,97.221870,956200
2022-02-04,98.669998,99.470001,96.860001,98.099998,96.542816,788800
2022-02-07,98.220001,99.389999,97.669998,98.919998,97.349808,666600
2022-02-08,99.500000,101.220001,99.120003,100.959999,99.357422,1329700
2022-02-09,100.500000,103.589996,99.010002,99.599998,98.019012,1832100
2022-02-10,99.599998,102.940002,98.370003,99.059998,97.487579,1453000
2022-02-11,102.029999,102.410004,100.279999,101.690002,100.075844,1540800
2022-02-14,102.000000,102.050003,99.870003,100.830002,99.229485,1801600
2022-02-15,100.489998,102.099998,100.010002,101.620003,100.530388,1407100
2022-02-16,101.540001,103.029999,101.139999,102.760002,101.658165,1488100
2022-02-17,101.339996,101.449997,99.800003,100.000000,98.927757,1964300
2022-02-18,99.910004,100.800003,98.720001,99.300003,98.235268,1183700
2022-02-22,98.989998,100.330002,97.839996,99.129997,98.067085,975000
2022-02-23,99.860001,100.889999,99.500000,99.680000,98.611191,1647500
2022-02-24,97.860001,102.269997,96.889999,101.910004,100.817284,2242600
2022-02-25,101.139999,105.290001,99.989998,105.190002,104.062103,2033300
2022-02-28,104.199997,105.699997,103.330002,104.550003,103.428970,2819600
2022-03-01,104.860001,107.040001,103.940002,105.870003,104.734818,2292300
2022-03-02,106.800003,108.400002,106.339996,107.769997,106.614441,2145800
2022-03-03,108.750000,109.830002,107.540001,109.209999,108.038994,2106100
2022-03-04,109.050003,109.050003,106.739998,108.320000,107.158546,2074400
2022-03-07,109.500000,112.629997,107.470001,108.750000,107.583931,3034100
2022-03-08,108.889999,109.839996,105.500000,106.309998,105.170097,2568700
2022-03-09,107.000000,108.400002,105.050003,107.480003,106.327553,1671500
2022-03-10,106.660004,110.230003,106.519997,109.750000,108.573204,1932900
2022-03-11,109.639999,111.160004,109.139999,109.930000,108.751282,1370900
2022-03-14,110.160004,110.500000,106.440002,108.150002,106.990372,1631300
2022-03-15,108.610001,109.489998,106.070000,108.059998,106.901329,1474800
2022-03-16,107.860001,108.239998,102.959999,104.059998,102.944221,3064100
2022-03-17,104.559998,106.790001,104.300003,105.389999,104.259964,1965300
2022-03-18,104.739998,105.449997,103.169998,104.910004,103.785110,2290900
2022-03-21,106.459999,110.129997,106.010002,110.080002,108.899673,2967100
2022-03-22,110.989998,111.180000,109.180000,110.330002,109.146996,2017700
2022-03-23,110.790001,112.290001,110.449997,111.959999,110.759514,1256900
2022-03-24,112.599998,114.199997,112.300003,113.989998,112.767746,1680800
2022-03-25,114.089996,117.449997,114.089996,117.209999,115.953217,2243400
2022-03-28,116.540001,116.540001,112.970001,113.860001,112.639145,1355000
2022-03-29,110.000000,110.000000,104.010002,108.080002,106.921120,2750200
2022-03-30,108.870003,111.250000,108.870003,109.709999,108.533638,1147900
2022-03-31,109.339996,112.139999,108.550003,110.809998,109.621841,1234400
2022-04-01,111.540001,113.599998,111.139999,112.779999,111.570724,1005100
2022-04-04,113.400002,113.400002,110.580002,111.449997,110.254974,817600
2022-04-05,111.860001,112.809998,111.400002,111.889999,110.690262,1102900
2022-04-06,112.029999,114.970001,111.900002,113.160004,111.946655,1943500
2022-04-07,113.820000,117.669998,113.750000,116.739998,115.488258,2038600
2022-04-08,118.000000,119.870003,116.989998,118.250000,116.982071,1344800
2022-04-11,119.900002,119.940002,116.620003,117.669998,116.408287,1734500
2022-04-12,118.900002,121.480003,118.500000,119.300003,118.020813,1436100
2022-04-13,119.480003,121.430000,119.120003,120.959999,119.663010,1378700
2022-04-14,122.000000,124.370003,121.989998,123.959999,122.630844,1375500
2022-04-18,123.870003,127.970001,123.510002,126.760002,125.400826,2507900
