Date,Open,High,Low,Close,Adj Close,Volume
2021-10-11,49.439999,49.660000,48.310001,48.330002,46.581287,3547800
2021-10-12,48.130001,48.639999,47.855000,48.270000,46.523460,3195000
2021-10-13,47.980000,48.099998,46.740002,47.459999,45.742767,3773800
2021-10-14,48.040001,48.180000,47.400002,47.919998,46.186123,3700400
2021-10-15,48.490002,48.660000,47.700001,48.090000,46.349972,4266900
2021-10-18,48.005001,48.880001,47.900002,48.380001,46.629478,3473200
2021-10-19,48.680000,49.139999,48.360001,49.099998,47.323425,3610000
2021-10-20,48.509998,50.990002,48.250000,50.880001,49.039021,5016700
2021-10-21,50.930000,50.959999,48.889999,49.459999,47.670403,5634300
2021-10-22,49.730000,50.389999,49.599998,50.279999,48.460732,3362300
2021-10-25,50.639999,50.770000,49.990002,50.310001,48.489651,3379700
2021-10-26,50.380001,50.410000,49.459999,49.619999,47.824608,4078100
2021-10-27,49.400002,49.400002,47.590000,47.610001,45.887341,4707300
2021-10-28,47.610001,47.930000,47.200001,47.900002,46.548153,3715600
2021-10-29,47.980000,48.060001,47.084999,47.380001,46.042824,4948600
2021-11-01,47.930000,48.279999,47.759998,47.980000,46.625893,3047000
2021-11-02,47.799999,47.930000,47.009998,47.220001,45.887341,4394200
2021-11-03,46.970001,48.740002,46.770000,48.470001,47.102066,3666700
2021-11-04,48.240002,48.320000,47.070000,47.830002,46.480129,3025600
2021-11-05,48.410000,48.720001,47.445000,47.790001,46.441254,3694100
2021-11-08,48.150002,48.669998,47.619999,47.910000,46.557869,2662600
2021-11-09,47.470001,47.939999,47.145000,47.830002,46.480129,2841400
2021-11-10,47.939999,48.275002,47.720001,48.020000,46.664761,3256000
2021-11-11,48.220001,49.139999,47.950001,49.119999,47.733719,3857300
2021-11-12,49.180000,49.790001,48.709999,49.360001,47.966946,5628300
2021-11-15,49.540001,50.040001,49.230000,49.950001,48.540295,5330600
2021-11-16,50.020000,50.419998,49.650002,50.220001,48.802677,4131400
2021-11-17,50.000000,50.200001,49.564999,50.049999,48.637470,4451200
2021-11-18,50.029999,50.419998,49.660000,50.139999,48.724930,4173000
2021-11-19,49.349998,49.875000,48.660000,49.610001,48.209892,5837600
2021-11-22,50.529999,50.930000,49.840000,50.270000,48.851261,4113700
2021-11-23,50.639999,50.930000,50.310001,50.840000,49.405178,3525900
2021-11-24,50.889999,51.540001,50.605000,51.040001,49.599533,3815900
2021-11-26,48.810001,48.919998,47.514999,48.560001,47.189526,3456600
2021-11-29,49.259998,49.709999,48.279999,48.779999,47.403313,4300800
2021-11-30,47.900002,48.226002,47.060001,47.270000,45.935928,8891200
2021-12-01,48.529999,49.070000,46.509998,46.520000,45.207096,5437100
2021-12-02,47.080002,48.340000,46.610001,48.070000,46.713352,4403500
2021-12-03,47.970001,48.189999,46.020000,46.349998,45.041897,5025300
2021-12-06,47.330002,48.189999,46.910000,47.560001,46.217747,5457600
2021-12-07,47.849998,48.869999,47.700001,48.330002,46.966015,4564900
2021-12-08,48.290001,48.549999,47.529999,47.599998,46.256615,4430700
2021-12-09,47.230000,47.764999,47.009998,47.369999,46.033108,2973200
2021-12-10,47.709999,47.939999,46.680000,47.400002,46.062263,2876100
2021-12-13,47.180000,47.230000,46.119999,46.290001,44.983589,3229300
2021-12-14,46.709999,47.669998,46.450001,47.080002,45.751293,4937500
2021-12-15,47.279999,47.490002,46.490002,47.150002,45.819321,3983600
2021-12-16,47.799999,48.270000,46.900002,47.119999,45.790165,4421600
2021-12-17,46.959999,47.080002,45.419998,45.459999,44.177013,7549200
2021-12-20,44.680000,44.680000,43.560001,44.490002,43.234390,4842700
2021-12-21,45.119999,45.950001,45.049999,45.830002,44.536572,3757600
2021-12-22,45.610001,46.349998,45.419998,46.139999,44.837822,3658700
2021-12-23,46.680000,47.240002,46.490002,46.630001,45.313995,3605200
2021-12-27,46.730000,47.215000,46.400002,47.200001,45.867905,2022100
2021-12-28,46.990002,47.610001,46.959999,47.299999,45.965084,1907000
2021-12-29,47.439999,47.669998,47.099998,47.299999,45.965084,1957400
2021-12-30,47.349998,47.840000,47.209999,47.270000,45.935928,1737800
2021-12-31,47.060001,47.610001,47.009998,47.250000,45.916492,1972100
2022-01-03,48.360001,49.549999,48.020000,49.139999,47.753155,4770500
2022-01-04,49.930000,51.759998,49.900002,51.369999,49.920216,6104500
2022-01-05,51.799999,52.224998,50.880001,50.980000,49.541225,4119300
2022-01-06,52.230000,53.980000,51.900002,53.799999,52.281635,6120200
2022-01-07,53.930000,54.459999,53.419998,54.220001,52.689785,4214000
2022-01-10,54.990002,55.070000,53.130001,53.919998,52.398251,4950900
2022-01-11,54.439999,54.730000,53.560001,54.540001,53.000751,5471900
2022-01-12,54.860001,55.529999,54.570000,55.209999,53.651848,6024400
2022-01-13,55.279999,56.075001,55.110001,55.700001,54.128017,6217800
2022-01-14,54.590000,56.400002,54.495998,56.349998,54.759666,6281500
2022-01-18,56.380001,57.000000,55.362999,55.669998,54.098862,7385500
2022-01-19,56.070000,56.150002,53.935001,54.360001,52.825832,7090200
2022-01-20,54.250000,54.480000,52.070000,52.160000,50.687923,7638100
2022-01-21,51.810001,51.810001,50.380001,50.619999,49.191387,6136300
2022-01-24,49.570000,51.220001,48.860001,51.099998,49.657833,6589800
2022-01-25,50.520000,52.035000,49.355000,51.610001,50.153446,6679500
2022-01-26,52.360001,53.240002,51.310001,52.130001,50.658772,6728700
2022-01-27,53.220001,53.520000,51.389999,51.799999,50.338081,6317000
2022-01-28,51.180000,51.724998,50.410000,51.700001,50.622036,5145900
2022-01-31,51.090000,51.700001,50.200001,51.470001,50.396832,7200900
2022-02-01,51.700001,53.060001,51.320000,52.950001,51.845974,6745100
2022-02-02,52.900002,53.380001,52.410000,53.139999,52.032013,5846100
2022-02-03,54.150002,54.240002,52.855000,52.970001,51.865559,4627500
2022-02-04,53.090000,54.500000,53.020000,54.049999,52.923038,4123600
2022-02-07,54.080002,54.650002,53.680000,54.230000,53.099281,3403800
2022-02-08,55.150002,55.580002,54.779999,55.369999,54.215511,4185800
2022-02-09,55.430000,55.674999,55.020000,55.310001,54.156769,3655700
2022-02-10,55.240002,56.110001,54.740002,55.000000,53.853230,4169700
2022-02-11,54.419998,55.994999,54.060001,54.470001,53.334282,4407100
2022-02-14,54.639999,55.070000,53.259998,53.660000,52.541172,4276400
2022-02-15,54.275002,55.209999,54.240002,55.150002,54.000103,3479500
2022-02-16,54.400002,55.669998,54.320000,55.230000,54.078434,3221600
2022-02-17,54.430000,54.669998,52.845001,53.090000,51.983055,3690100
2022-02-18,53.000000,53.830002,52.889999,53.250000,52.139717,3803800
2022-02-22,53.470001,53.740002,52.560001,53.130001,52.022221,3560400
2022-02-23,53.500000,53.779999,51.619999,51.849998,50.768906,3486200
2022-02-24,49.980000,50.639999,48.630001,50.480000,49.427471,5760400
2022-02-25,51.160000,53.090000,50.880001,52.980000,51.875347,4297100
2022-02-28,51.099998,52.660000,51.099998,52.419998,51.327023,4510000
2022-03-01,51.650002,51.965000,48.075001,48.560001,47.547508,6732300
2022-03-02,49.270000,51.290001,49.270000,50.700001,49.642887,4999000
2022-03-03,50.779999,51.080002,49.805000,50.189999,49.143520,4866200
2022-03-04,48.599998,48.980000,47.305000,48.169998,47.165634,4990700
2022-03-07,47.700001,48.000000,45.419998,45.430000,44.482769,6619700
2022-03-08,46.389999,47.150002,45.099998,45.630001,44.678600,5535800
2022-03-09,47.790001,48.349998,47.340000,47.849998,46.852306,5649500
2022-03-10,46.950001,47.980000,46.680000,47.279999,46.294197,5558000
2022-03-11,47.840000,48.560001,46.840000,46.880001,45.902534,4996700
2022-03-14,48.110001,49.455002,47.709999,48.770000,47.753128,6143300
2022-03-15,49.209999,49.759998,48.150002,48.689999,47.674793,4708300
2022-03-16,49.320000,50.939999,49.143002,50.340000,49.290390,5226400
2022-03-17,49.360001,49.790001,48.439999,49.740002,48.702904,4743100
2022-03-18,49.689999,49.740002,48.369999,49.250000,48.223122,12258500
2022-03-21,49.490002,49.959999,48.575001,49.080002,48.056667,4394900
2022-03-22,50.049999,50.799999,49.560001,49.959999,48.918312,4667100
2022-03-23,49.450001,49.849998,47.980000,48.130001,47.126472,4726000
2022-03-24,48.709999,48.970001,47.980000,48.639999,47.625839,4625700
2022-03-25,48.540001,49.205002,48.369999,48.700001,47.684589,6003500
2022-03-28,48.189999,48.639999,46.910000,47.689999,46.695644,5769200
2022-03-29,48.650002,48.980000,47.980000,48.639999,47.625839,5044000
2022-03-30,48.459999,48.610001,46.430000,46.799999,45.824203,5538000
2022-03-31,46.520000,47.029999,45.330002,45.330002,44.384853,4670100
2022-04-01,45.790001,46.099998,43.845001,44.189999,43.268623,7549900
2022-04-04,43.790001,43.980000,42.830002,43.549999,42.641964,6811200
2022-04-05,42.889999,43.990002,42.529999,43.040001,42.142601,10930200
2022-04-06,42.580002,42.919998,41.580002,42.080002,41.202621,35936500
2022-04-07,42.060001,42.389999,40.880001,41.650002,40.781582,11504500
2022-04-08,41.880001,42.169998,41.430000,41.830002,40.957829,7917200
2022-04-11,41.639999,42.654999,41.349998,41.820000,40.948036,7766400
2022-04-12,41.570000,42.009998,40.345001,40.900002,40.047222,9963600
2022-04-13,40.400002,41.250000,40.240002,41.230000,40.370338,5783500
2022-04-14,41.180000,41.520000,40.529999,40.869999,40.017841,5478600
2022-04-18,40.680000,41.340000,40.599998,41.230000,40.370338,7482100
2022-04-19,43.750000,44.930000,43.410000,44.040001,43.121750,8730400
2022-04-20,44.709999,45.340000,44.264999,44.320000,43.395912,6872200
2022-04-21,44.889999,45.169998,42.830002,43.029999,42.132809,6600200
2022-04-22,43.000000,43.180000,41.790001,41.840000,40.967621,6988100
2022-04-25,41.500000,41.860001,40.415001,41.680000,40.810959,7412600
2022-04-26,40.810001,41.400002,39.970001,39.970001,39.136612,8904400
2022-04-27,39.930000,40.240002,39.509998,39.709999,38.882030,10561500
2022-04-28,40.270000,40.650002,39.349998,40.299999,39.459728,6822500
2022-04-29,40.330002,40.634998,39.310001,39.400002,38.578499,7054300
2022-05-02,39.549999,39.730000,38.419998,39.400002,38.964184,6186900
2022-05-03,39.750000,40.525002,39.439999,40.169998,39.725662,5830000
2022-05-04,40.029999,41.555000,39.799999,41.490002,41.031067,8011500
2022-05-05,40.759998,41.180000,39.709999,40.590000,40.141018,6161100
2022-05-06,40.619999,40.720001,39.259998,40.009998,39.567432,6960800
2022-05-09,39.490002,39.779999,38.759998,39.419998,38.983959,7839100
2022-05-10,39.820000,40.189999,38.040001,39.040001,38.608166,6612600
2022-05-11,39.189999,39.904999,37.974998,38.029999,37.609333,5713100
2022-05-12,37.720001,38.240002,36.830002,37.790001,37.371990,6076700
2022-05-13,38.230000,38.611000,37.630001,37.939999,37.520329,4843400
2022-05-16,38.669998,39.020000,37.849998,37.990002,37.569778,6559700
2022-05-17,38.799999,39.544998,38.650002,39.410000,38.974072,4708700
2022-05-18,38.880001,39.000000,37.590000,38.000000,37.579666,6143100
2022-05-19,37.430000,38.099998,37.349998,37.700001,37.282986,5379900
2022-05-20,38.259998,38.555000,36.759998,37.750000,37.332432,5551800
2022-05-23,38.860001,39.435001,38.290001,39.049999,38.618053,5378700
2022-05-24,38.849998,39.029999,37.770000,38.709999,38.281815,5420800
2022-05-25,38.639999,39.880001,38.634998,39.599998,39.161968,5310200
2022-05-26,39.970001,40.599998,39.915001,40.299999,39.854225,4997000
2022-05-27,40.299999,41.040001,40.230000,40.869999,40.417919,3577600
2022-05-31,40.340000,41.665001,40.220001,41.380001,40.922283,9257900
2022-06-01,41.340000,41.500000,39.630001,40.040001,39.597103,5284800
2022-06-02,40.020000,41.110001,39.910000,41.090000,40.635487,3804000
2022-06-03,40.650002,40.889999,40.279999,40.470001,40.022346,3142800
2022-06-06,40.900002,41.389999,40.529999,40.610001,40.160797,3087700
2022-06-07,40.110001,41.099998,39.950001,41.060001,40.605820,3724700
2022-06-08,40.700001,40.750000,40.060001,40.380001,39.933342,3914600
2022-06-09,40.270000,40.340000,38.860001,38.869999,38.440044,3950500
2022-06-10,37.799999,38.105000,36.500000,36.590000,36.185265,5222000
2022-06-13,35.509998,36.040001,35.110001,35.419998,35.028206,7045600
2022-06-14,35.660000,36.240002,35.169998,35.660000,35.265553,6833400
2022-06-15,36.130001,36.840000,35.700001,36.290001,35.888584,6990700
2022-06-16,35.480000,35.576000,34.500000,35.040001,34.652409,6169000
2022-06-17,35.099998,35.869999,34.830002,35.619999,35.225994,11754500
2022-06-21,36.590000,36.860001,35.709999,36.169998,35.769909,5090400
2022-06-22,35.790001,36.514999,35.669998,36.349998,35.947918,5361800
2022-06-23,36.130001,36.270000,34.790001,35.150002,34.761196,6535600
2022-06-24,35.270000,37.095001,35.110001,37.029999,36.620396,6903300
2022-06-27,37.279999,37.430000,36.169998,36.389999,35.987476,4973300
2022-06-28,37.419998,38.077999,36.625000,36.740002,36.333607,4750300
2022-06-29,36.830002,36.900002,35.945000,36.130001,35.730354,3085200
2022-06-30,35.290001,36.255001,34.810001,35.689999,35.295219,4394700
2022-07-01,35.509998,36.279999,34.955002,36.119999,35.720463,4016200
2022-07-05,35.230000,35.900002,34.560001,35.880001,35.483120,3858900
2022-07-06,35.470001,35.915001,35.154999,35.560001,35.166660,4330100
2022-07-07,36.049999,36.549999,35.939999,36.450001,36.046814,3068400
2022-07-08,36.700001,36.810001,35.970001,36.310001,35.908363,2549800
2022-07-11,35.930000,36.380001,35.599998,36.200001,35.799580,2625700
