Date,Open,High,Low,Close,Adj Close,Volume
2021-10-11,100.180000,100.730003,99.349998,99.709999,96.008331,1659700
2021-10-12,99.849998,100.559998,99.580002,99.820000,96.114250,2426000
2021-10-13,99.839996,100.750000,99.050003,100.699997,96.961571,1798800
2021-10-14,101.110001,101.889999,100.760002,101.650002,97.876312,3045600
2021-10-15,101.750000,101.989998,100.099998,100.349998,96.624573,2593400
2021-10-18,99.849998,100.180000,99.150002,99.860001,96.152763,2057600
2021-10-19,100.349998,101.220001,100.129997,101.129997,97.375618,1759000
2021-10-20,101.250000,102.570000,101.250000,102.230003,98.434776,1892700
2021-10-21,102.389999,103.029999,102.169998,103.000000,99.176186,2057800
2021-10-22,103.209999,104.940002,102.970001,103.779999,99.927231,2430300
2021-10-25,103.690002,103.699997,102.620003,102.839996,99.022133,1681600
2021-10-26,102.790001,104.139999,102.639999,103.290001,99.455421,2298300
2021-10-27,103.650002,103.820000,102.650002,102.760002,98.945107,1519200
2021-10-28,102.419998,102.849998,101.769997,102.489998,98.685120,1973600
2021-10-29,102.239998,102.959999,101.599998,102.010002,98.222946,2301300
2021-11-01,102.129997,102.680000,101.459999,102.309998,98.511810,1606500
2021-11-02,102.629997,102.809998,101.500000,102.449997,98.646614,2701100
2021-11-03,102.250000,102.949997,101.449997,102.540001,98.733269,2062000
2021-11-04,102.389999,102.849998,99.870003,101.019997,97.269691,3054500
2021-11-05,101.190002,102.669998,101.050003,101.680000,97.905197,2127800
2021-11-08,101.879997,101.989998,100.510002,101.419998,97.654846,3686700
2021-11-09,101.790001,102.250000,101.230003,101.959999,98.174805,2876300
2021-11-10,101.279999,101.910004,100.690002,101.620003,98.801918,1876700
2021-11-11,101.360001,101.559998,99.959999,100.250000,97.469910,2002600
2021-11-12,100.250000,100.500000,99.580002,99.879997,97.110161,2504100
2021-11-15,100.239998,101.010002,99.730003,100.599998,97.810196,2362900
2021-11-16,100.529999,100.769997,98.959999,99.080002,96.332352,3758800
2021-11-17,99.000000,99.250000,98.410004,98.989998,96.244850,2368600
2021-11-18,98.580002,98.660004,97.980003,98.370003,95.642044,2809800
2021-11-19,98.449997,98.760002,97.959999,98.419998,95.690659,2986300
2021-11-22,98.500000,100.550003,98.320000,100.250000,97.469910,3913900
2021-11-23,100.489998,101.070000,99.379997,100.739998,97.946320,3174100
2021-11-24,100.989998,101.190002,99.919998,100.180000,97.401848,2236800
2021-11-26,99.180000,100.660004,99.150002,99.279999,96.526810,1805400
2021-11-29,99.919998,100.489998,99.110001,100.220001,97.440735,2128900
2021-11-30,99.650002,99.720001,96.750000,97.010002,94.319763,3873200
2021-12-01,97.440002,99.000000,96.580002,96.620003,93.940575,2825600
2021-12-02,97.099998,98.680000,96.930000,97.650002,94.942017,2956200
2021-12-03,98.099998,99.949997,97.309998,99.879997,97.110161,3106800
2021-12-06,100.519997,102.699997,100.260002,101.209999,98.403282,2972500
2021-12-07,100.879997,101.550003,100.500000,101.169998,98.364403,4402500
2021-12-08,100.989998,101.639999,100.199997,100.849998,98.053268,4819400
2021-12-09,101.040001,101.120003,99.260002,100.279999,97.499069,4020800
2021-12-10,100.809998,102.050003,100.360001,101.510002,98.694969,3039900
2021-12-13,101.500000,103.629997,101.449997,103.040001,100.182541,3932500
2021-12-14,103.050003,103.500000,102.320000,102.769997,99.920021,2825100
2021-12-15,102.809998,104.110001,102.809998,103.820000,100.940903,3378800
2021-12-16,104.000000,105.110001,103.639999,104.540001,101.640938,3066600
2021-12-17,104.449997,105.169998,102.320000,103.040001,100.182541,7150200
2021-12-20,102.519997,103.830002,101.879997,103.669998,100.795067,3678600
2021-12-21,104.000000,104.489998,102.680000,103.019997,100.163086,2054600
2021-12-22,102.910004,103.529999,102.669998,103.160004,100.299210,1588700
2021-12-23,103.279999,103.889999,102.930000,102.970001,100.114471,1435100
2021-12-27,102.970001,103.440002,102.680000,103.290001,100.425598,1269600
2021-12-28,103.459999,104.599998,103.459999,104.570000,101.670097,1197400
2021-12-29,104.760002,105.029999,104.230003,104.760002,101.854836,1176300
2021-12-30,104.800003,105.040001,104.120003,104.790001,101.884010,1690700
2021-12-31,104.720001,105.230003,104.000000,104.900002,101.990952,1945700
2022-01-03,104.910004,104.910004,103.019997,103.489998,100.620056,3272700
2022-01-04,103.360001,104.940002,103.279999,103.410004,100.542274,2558300
2022-01-05,103.500000,104.919998,103.470001,103.639999,100.765900,2446600
2022-01-06,103.510002,104.769997,103.330002,103.470001,100.600616,3944100
2022-01-07,102.809998,104.970001,102.260002,104.500000,101.602043,2990100
2022-01-10,104.650002,105.320000,104.070000,104.559998,101.660378,2683500
2022-01-11,104.580002,104.699997,102.529999,103.230003,100.367271,2937300
2022-01-12,102.680000,103.820000,102.199997,103.620003,100.746452,2226300
2022-01-13,103.540001,104.500000,103.199997,104.150002,101.261749,2591200
2022-01-14,104.440002,104.680000,103.269997,104.040001,101.154808,3425900
2022-01-18,103.330002,103.750000,101.739998,101.870003,99.044983,3082000
2022-01-19,101.879997,102.830002,101.309998,102.169998,99.336662,2460800
2022-01-20,102.050003,103.529999,101.989998,102.309998,99.472786,2426800
2022-01-21,103.019997,104.209999,102.669998,102.980003,100.124207,3453800
2022-01-24,103.620003,103.980003,100.250000,102.580002,99.735298,5654600
2022-01-25,101.709999,103.150002,101.559998,102.320000,99.482506,3336300
2022-01-26,102.180000,103.300003,101.199997,101.949997,99.122765,3111000
2022-01-27,102.510002,104.379997,102.470001,103.250000,100.386719,3384900
2022-01-28,103.190002,104.769997,102.800003,104.730003,101.825676,2874200
2022-01-31,103.870003,105.239998,103.459999,105.059998,102.146523,4306700
2022-02-01,104.550003,105.080002,102.389999,103.449997,100.581169,3036300
2022-02-02,103.349998,105.220001,103.050003,105.000000,102.088188,3391100
2022-02-03,105.220001,105.760002,104.699997,105.430000,102.506256,2238900
2022-02-04,104.559998,105.339996,103.629997,104.250000,101.358986,2217100
2022-02-07,104.139999,104.820000,103.349998,104.339996,101.446480,3046600
2022-02-08,105.269997,105.360001,104.059998,104.410004,101.514549,2298800
2022-02-09,104.750000,105.209999,104.220001,104.709999,101.806229,2259800
2022-02-10,104.190002,104.330002,99.580002,99.790001,97.022667,5918200
2022-02-11,100.099998,100.860001,99.559998,99.750000,96.983772,3953500
2022-02-14,100.550003,101.010002,98.629997,99.949997,97.178223,5284400
