Date,Open,High,Low,Close,Adj Close,Volume
2021-10-11,4806.069824,4875.950195,4806.069824,4840.859863,4840.859863,10700
2021-10-12,4852.609863,4877.000000,4812.759766,4856.250000,4856.250000,9500
2021-10-13,4864.220215,4891.000000,4836.009766,4873.720215,4873.720215,10000
2021-10-14,4895.720215,5007.709961,4895.720215,4998.370117,4998.370117,9900
2021-10-15,5058.740234,5058.740234,4950.009766,4966.529785,4966.529785,9900
2021-10-18,4951.850098,5024.520020,4951.850098,5010.790039,5010.790039,8800
2021-10-19,5035.000000,5068.529785,4984.339844,5034.700195,5034.700195,7300
2021-10-20,5028.390137,5094.000000,5023.000000,5051.089844,5051.089844,18900
2021-10-21,5021.890137,5021.890137,4838.000000,4900.000000,4900.000000,23600
2021-10-22,4929.189941,4934.160156,4875.209961,4875.500000,4875.500000,14700
2021-10-25,4855.720215,4920.319824,4840.000000,4878.419922,4878.419922,16000
2021-10-26,4894.609863,4907.500000,4855.500000,4870.979980,4870.979980,15800
2021-10-27,4899.810059,4923.950195,4803.910156,4815.000000,4815.000000,20500
2021-10-28,4835.189941,4919.970215,4825.000000,4900.000000,4900.000000,13800
2021-10-29,4878.100098,4916.040039,4867.910156,4894.799805,4894.799805,14800
2021-11-01,4877.000000,4942.799805,4844.000000,4927.669922,4927.669922,13100
2021-11-02,4920.000000,4929.930176,4875.020020,4908.310059,4908.310059,13900
2021-11-03,4910.000000,5049.979980,4910.000000,5020.020020,5020.020020,14600
2021-11-04,5055.990234,5173.750000,5028.500000,5052.379883,5052.379883,15900
2021-11-05,5071.250000,5125.939941,5059.009766,5089.240234,5089.240234,10600
2021-11-08,5097.700195,5113.759766,5040.000000,5087.930176,5087.930176,11700
2021-11-09,5104.819824,5224.000000,5058.589844,5200.270020,5200.270020,13300
2021-11-10,5202.000000,5249.430176,5101.450195,5114.950195,5114.950195,15000
2021-11-11,5114.950195,5179.500000,5055.000000,5149.529785,5149.529785,12800
2021-11-12,5170.000000,5265.979980,5131.330078,5253.810059,5253.810059,10900
2021-11-15,5254.979980,5295.000000,5216.339844,5277.979980,5277.979980,16600
2021-11-16,5289.000000,5289.000000,5150.000000,5166.000000,5166.000000,30300
2021-11-17,5165.759766,5196.799805,5050.000000,5160.000000,5160.000000,64400
2021-11-18,5178.100098,5178.100098,5080.549805,5109.990234,5109.990234,16300
2021-11-19,5165.899902,5260.089844,5116.799805,5216.009766,5216.009766,27600
2021-11-22,5248.000000,5280.009766,5187.379883,5210.819824,5210.819824,24100
2021-11-23,5222.000000,5324.600098,5190.850098,5320.000000,5320.000000,19900
2021-11-24,5327.109863,5364.040039,5286.109863,5351.399902,5351.399902,12700
2021-11-26,5263.950195,5325.180176,5222.790039,5291.100098,5291.100098,15000
2021-11-29,5320.000000,5343.459961,5260.540039,5281.729980,5281.729980,18500
2021-11-30,5252.580078,5301.149902,5170.279785,5225.339844,5225.339844,54000
2021-12-01,5268.520020,5410.000000,5193.689941,5404.560059,5404.560059,60900
2021-12-02,5429.479980,5583.720215,5350.100098,5549.180176,5549.180176,26600
2021-12-03,5589.000000,5620.529785,5465.500000,5480.859863,5480.859863,24600
2021-12-06,5522.899902,5666.029785,5480.000000,5626.140137,5626.140137,16000
2021-12-07,5673.000000,5717.759766,5647.669922,5671.379883,5671.379883,15000
2021-12-08,5705.140137,5908.160156,5660.899902,5892.580078,5892.580078,42400
2021-12-09,5890.209961,5982.450195,5852.399902,5863.520020,5863.520020,23000
2021-12-10,5874.549805,5948.279785,5821.950195,5935.720215,5935.720215,12800
2021-12-13,5935.000000,5939.910156,5775.979980,5785.899902,5785.899902,19500
2021-12-14,5744.990234,5907.500000,5744.990234,5832.049805,5832.049805,32900
2021-12-15,5839.299805,5917.700195,5802.549805,5907.370117,5907.370117,19700
2021-12-16,5890.500000,5894.979980,5752.500000,5760.350098,5760.350098,17400
2021-12-17,5752.270020,5752.270020,5609.290039,5636.779785,5636.779785,43900
2021-12-20,5578.819824,5628.149902,5537.939941,5602.740234,5602.740234,22200
2021-12-21,5642.830078,5756.379883,5600.620117,5747.049805,5747.049805,17200
2021-12-22,5755.100098,5827.330078,5718.000000,5813.379883,5813.379883,10000
2021-12-23,5826.669922,5847.799805,5779.890137,5784.629883,5784.629883,7400
2021-12-27,5817.000000,5830.970215,5763.479980,5820.069824,5820.069824,12600
2021-12-28,5820.500000,5893.500000,5820.500000,5869.470215,5869.470215,7900
2021-12-29,5880.479980,5962.430176,5861.790039,5959.330078,5959.330078,7800
2021-12-30,5977.609863,5978.160156,5884.060059,5906.029785,5906.029785,8300
2021-12-31,5884.100098,5917.700195,5850.500000,5908.870117,5908.870117,6300
2022-01-03,5870.000000,5874.950195,5715.970215,5757.009766,5757.009766,24400
2022-01-04,5748.100098,5837.140137,5739.950195,5819.680176,5819.680176,19600
2022-01-05,5839.990234,5885.000000,5719.299805,5729.109863,5729.109863,18300
2022-01-06,5727.299805,5744.959961,5641.339844,5690.839844,5690.839844,21600
2022-01-07,5670.750000,5683.149902,5427.319824,5438.879883,5438.879883,33600
2022-01-10,5418.750000,5528.200195,5250.629883,5515.359863,5515.359863,19300
2022-01-11,5506.220215,5620.000000,5400.000000,5567.490234,5567.490234,21900
2022-01-12,5570.049805,5645.899902,5456.000000,5566.990234,5566.990234,22200
2022-01-13,5655.000000,5822.290039,5615.220215,5692.029785,5692.029785,31300
2022-01-14,5662.700195,5750.000000,5597.890137,5718.000000,5718.000000,22200
2022-01-18,5624.259766,5669.000000,5488.669922,5496.830078,5496.830078,25400
2022-01-19,5475.000000,5516.000000,5350.819824,5355.000000,5355.000000,31900
2022-01-20,5342.009766,5380.350098,5179.939941,5187.720215,5187.720215,35100
2022-01-21,5219.609863,5280.509766,5151.229980,5154.979980,5154.979980,27400
2022-01-24,5094.779785,5296.879883,5033.080078,5287.169922,5287.169922,30600
2022-01-25,5214.049805,5222.089844,5132.020020,5150.080078,5150.080078,32400
2022-01-26,5213.419922,5297.439941,5001.009766,5051.560059,5051.560059,27700
2022-01-27,5019.660156,5140.000000,5015.000000,5056.240234,5056.240234,25100
2022-01-28,5078.000000,5227.799805,5018.609863,5206.970215,5206.970215,27000
2022-01-31,5176.000000,5356.299805,5176.000000,5327.220215,5327.220215,31900
2022-02-01,5271.209961,5384.859863,5134.419922,5365.270020,5365.270020,29700
2022-02-02,5400.000000,5512.930176,5366.100098,5493.750000,5493.750000,23100
2022-02-03,5488.000000,5569.799805,5420.009766,5431.379883,5431.379883,39800
2022-02-04,5390.810059,5395.450195,5268.029785,5275.029785,5275.029785,31300
2022-02-07,5311.459961,5352.270020,5233.620117,5287.319824,5287.319824,29200
2022-02-08,5282.569824,5344.979980,5264.109863,5299.549805,5299.549805,31000
2022-02-09,5336.000000,5430.549805,5305.009766,5348.930176,5348.930176,15100
2022-02-10,5220.180176,5376.399902,5141.189941,5166.470215,5166.470215,29900
2022-02-11,5197.750000,5247.939941,4984.479980,5037.500000,5037.500000,33200
2022-02-14,5055.509766,5090.009766,4931.709961,4977.939941,4977.939941,46700
2022-02-15,5049.450195,5097.000000,4980.689941,5062.180176,5062.180176,54500
2022-02-16,5039.580078,5134.000000,5031.500000,5113.009766,5113.009766,15800
2022-02-17,5085.520020,5100.000000,4986.779785,5001.330078,5001.330078,22700
2022-02-18,5001.399902,5058.009766,4933.660156,4996.040039,4996.040039,20800
2022-02-22,4948.020020,4987.049805,4745.040039,4792.790039,4792.790039,33800
2022-02-23,4810.149902,4847.939941,4634.660156,4636.580078,4636.580078,28200
2022-02-24,4526.939941,4801.660156,4518.319824,4775.439941,4775.439941,29000
2022-02-25,4766.290039,4948.709961,4722.040039,4917.490234,4917.490234,18800
2022-02-28,4875.000000,4958.830078,4830.009766,4958.439941,4958.439941,25100
2022-03-01,4982.299805,5001.000000,4881.339844,4906.680176,4906.680176,17400
2022-03-02,4926.229980,5060.089844,4922.040039,5012.419922,5012.419922,16800
2022-03-03,5021.029785,5063.779785,4912.000000,4929.379883,4929.379883,19800
2022-03-04,4889.649902,4932.870117,4820.560059,4919.810059,4919.810059,24200
2022-03-07,4905.470215,4913.160156,4700.000000,4706.879883,4706.879883,32300
2022-03-08,4700.000000,4891.879883,4633.000000,4648.430176,4648.430176,37600
2022-03-09,4720.399902,4885.419922,4671.049805,4814.160156,4814.160156,23500
2022-03-10,4721.910156,4818.399902,4721.859863,4776.560059,4776.560059,21900
2022-03-11,4814.000000,4830.000000,4743.109863,4752.540039,4752.540039,16800
2022-03-14,4747.990234,4770.000000,4554.450195,4622.000000,4622.000000,30900
2022-03-15,4675.069824,4838.399902,4596.370117,4813.609863,4813.609863,16700
2022-03-16,4838.549805,4878.000000,4680.100098,4854.430176,4854.430176,24700
2022-03-17,4854.430176,4952.770020,4815.299805,4924.930176,4924.930176,14600
2022-03-18,4978.669922,4999.990234,4852.000000,4988.729980,4988.729980,52600
2022-03-21,4957.470215,4964.959961,4838.660156,4892.759766,4892.759766,26200
2022-03-22,4910.000000,4949.990234,4836.229980,4902.290039,4902.290039,20900
2022-03-23,4885.000000,4906.000000,4775.060059,4793.169922,4793.169922,21900
2022-03-24,4777.970215,4803.189941,4690.399902,4739.649902,4739.649902,24000
2022-03-25,4770.000000,4777.000000,4621.299805,4668.040039,4668.040039,27200
2022-03-28,4665.169922,4718.500000,4617.950195,4638.439941,4638.439941,36800
2022-03-29,4733.450195,4830.000000,4690.200195,4748.810059,4748.810059,29500
2022-03-30,4730.000000,4736.600098,4643.390137,4672.049805,4672.049805,21600
2022-03-31,4640.129883,4710.819824,4466.069824,4467.270020,4467.270020,48000
2022-04-01,4519.580078,4557.600098,4480.040039,4531.410156,4531.410156,25100
2022-04-04,4535.950195,4585.299805,4509.990234,4548.419922,4548.419922,24400
2022-04-05,4469.770020,4530.000000,4378.279785,4390.859863,4390.859863,38000
2022-04-06,4326.000000,4401.870117,4310.450195,4358.640137,4358.640137,26200
2022-04-07,4340.000000,4361.140137,4250.009766,4324.299805,4324.299805,35900
2022-04-08,4349.970215,4426.870117,4284.200195,4293.890137,4293.890137,18400
2022-04-11,4268.520020,4375.000000,4255.959961,4324.680176,4324.680176,20400
2022-04-12,4400.000000,4499.939941,4332.850098,4352.020020,4352.020020,29100
2022-04-13,4354.029785,4449.970215,4311.000000,4419.990234,4419.990234,20800
2022-04-14,4453.160156,4480.000000,4312.009766,4335.450195,4335.450195,18800
2022-04-18,4308.979980,4374.959961,4293.580078,4320.620117,4320.620117,13800
2022-04-19,4356.979980,4461.439941,4356.979980,4444.640137,4444.640137,17500
2022-04-20,4488.000000,4570.000000,4461.000000,4468.000000,4468.000000,21200
2022-04-21,4493.629883,4525.740234,4394.100098,4411.740234,4411.740234,21300
2022-04-22,4395.939941,4395.939941,4269.640137,4282.879883,4282.879883,20600
2022-04-25,4271.390137,4356.759766,4224.649902,4353.279785,4353.279785,27500
2022-04-26,4427.000000,4562.939941,4368.040039,4415.180176,4415.180176,36100
2022-04-27,4437.399902,4494.529785,4326.990234,4360.370117,4360.370117,19000
2022-04-28,4409.680176,4529.799805,4345.000000,4492.810059,4492.810059,20300
2022-04-29,4496.600098,4526.529785,4355.350098,4376.209961,4376.209961,15500
2022-05-02,4397.430176,4469.370117,4318.490234,4432.649902,4432.649902,27800
2022-05-03,4400.200195,4514.850098,4369.020020,4475.529785,4475.529785,23000
2022-05-04,4442.620117,4692.600098,4360.350098,4685.089844,4685.089844,31100
2022-05-05,4595.680176,4629.000000,4402.040039,4446.000000,4446.000000,32500
2022-05-06,4403.799805,4450.899902,4310.640137,4415.620117,4415.620117,21300
2022-05-09,4344.000000,4467.959961,4325.009766,4370.160156,4370.160156,20400
2022-05-10,4450.629883,4450.629883,4259.080078,4274.209961,4274.209961,21000
2022-05-11,4249.950195,4298.430176,4100.720215,4110.990234,4110.990234,22100
2022-05-12,4100.000000,4295.049805,4087.169922,4247.750000,4247.750000,23100
2022-05-13,4285.200195,4329.129883,4213.870117,4293.569824,4293.569824,21100
2022-05-16,4262.319824,4290.000000,4160.000000,4231.790039,4231.790039,17600
2022-05-17,4306.850098,4380.560059,4241.000000,4368.390137,4368.390137,16800
2022-05-18,4306.109863,4306.109863,4122.009766,4136.520020,4136.520020,15000
2022-05-19,4110.000000,4227.020020,4100.009766,4155.680176,4155.680176,23200
2022-05-20,4207.740234,4267.290039,4122.479980,4262.410156,4262.410156,17700
2022-05-23,4288.750000,4334.060059,4166.149902,4211.330078,4211.330078,18600
2022-05-24,4172.910156,4177.919922,3998.000000,4061.000000,4061.000000,20600
