Date,Open,High,Low,Close,Adj Close,Volume
2021-10-11,161.639999,170.889999,159.550003,165.389999,165.389999,2675200
2021-10-12,166.020004,167.550003,160.600006,163.220001,163.220001,2233600
2021-10-13,164.089996,173.240005,163.710007,166.389999,166.389999,4450300
2021-10-14,170.009995,174.639999,168.500000,169.740005,169.740005,2589800
2021-10-15,170.000000,170.740005,160.309998,161.949997,161.949997,3147200
2021-10-18,161.610001,167.889999,160.559998,166.250000,166.250000,2634500
2021-10-19,167.419998,173.449997,160.199997,160.550003,160.550003,3314800
2021-10-20,122.940002,147.440002,121.349998,136.860001,136.860001,30517000
2021-10-21,138.000000,143.880005,136.529999,138.789993,138.789993,5634500
2021-10-22,138.460007,138.600006,130.630005,134.559998,134.559998,3145700
2021-10-25,133.320007,135.990005,130.800003,135.350006,135.350006,3068700
2021-10-26,135.050003,135.619995,130.089996,134.990005,134.990005,2372000
2021-10-27,150.750000,156.320007,140.229996,141.550003,141.550003,7972400
2021-10-28,143.270004,152.169998,141.300003,150.619995,150.619995,3570700
2021-10-29,152.179993,152.550003,144.699997,148.830002,148.830002,3012500
2021-11-01,159.559998,173.800003,153.500000,172.449997,172.449997,10195000
2021-11-02,181.500000,199.389999,175.350006,195.300003,195.300003,9954200
2021-11-03,198.149994,201.479996,185.369995,195.199997,195.199997,6786300
2021-11-04,183.550003,188.000000,175.300003,179.410004,179.410004,6363800
2021-11-05,160.009995,166.000000,146.110001,159.190002,159.190002,12461100
2021-11-08,162.570007,173.330002,160.500000,173.020004,173.020004,5027500
2021-11-09,167.240005,171.990005,163.289993,169.300003,169.300003,3288700
2021-11-10,164.929993,173.869995,161.660004,164.190002,164.190002,2683200
2021-11-11,165.339996,172.960007,165.000000,169.380005,169.380005,2582000
2021-11-12,169.589996,175.419998,168.009995,169.889999,169.889999,2594700
2021-11-15,171.830002,174.720001,168.309998,172.449997,172.449997,2512000
2021-11-16,167.710007,171.990005,165.289993,170.490005,170.490005,3108500
2021-11-17,172.889999,190.100006,171.449997,183.990005,183.990005,6198700
2021-11-18,188.009995,192.570007,183.779999,191.050003,191.050003,4228900
2021-11-19,192.589996,196.850006,187.520004,192.339996,192.339996,3468100
2021-11-22,199.309998,211.179993,195.080002,207.990005,207.990005,5647600
2021-11-23,202.949997,204.169998,195.070007,200.710007,200.710007,3313100
2021-11-24,197.229996,201.699997,185.529999,200.070007,200.070007,2916300
2021-11-26,214.669998,221.720001,213.500000,217.970001,217.970001,6157700
2021-11-29,228.759995,229.000000,188.029999,193.960007,193.960007,10005300
2021-11-30,196.179993,212.000000,189.000000,208.630005,208.630005,6052600
2021-12-01,196.500000,203.800003,191.080002,192.649994,192.649994,3810800
2021-12-02,183.000000,188.910004,156.720001,161.970001,161.970001,11912300
2021-12-03,168.389999,169.000000,156.000000,160.479996,160.479996,4509500
2021-12-06,151.589996,151.960007,138.250000,141.860001,141.860001,5891700
