Date,Open,High,Low,Close,Adj Close,Volume
2021-10-11,233.600006,236.740005,232.929993,235.369995,231.036316,958300
2021-10-12,235.360001,238.399994,234.779999,237.119995,232.754120,1284300
2021-10-13,236.369995,236.470001,232.470001,234.580002,230.260895,1436600
2021-10-14,235.889999,237.880005,234.800003,236.669998,232.312408,918200
2021-10-15,238.089996,240.940002,237.679993,239.070007,234.668228,1014000
2021-10-18,237.699997,239.360001,236.649994,238.779999,234.383545,865800
2021-10-19,239.779999,242.330002,239.080002,241.929993,237.475555,848500
2021-10-20,241.820007,245.070007,241.490005,243.169998,238.692719,994100
2021-10-21,242.690002,243.839996,240.240005,241.750000,237.298859,740600
2021-10-22,242.770004,246.080002,241.240005,244.729996,240.223999,769800
2021-10-25,244.639999,245.720001,244.029999,244.270004,239.772461,969800
2021-10-26,237.009995,240.410004,232.380005,233.389999,229.092804,1678100
2021-10-27,233.330002,233.699997,228.270004,228.490005,224.283020,1320600
2021-10-28,228.300003,228.710007,221.449997,224.029999,219.905136,2145600
2021-10-29,225.179993,231.360001,223.929993,230.539993,226.295258,1982200
2021-11-01,229.919998,230.529999,221.050003,221.350006,217.274490,1418100
2021-11-02,222.419998,222.669998,216.440002,218.419998,214.398422,2639300
2021-11-03,217.729996,221.619995,217.160004,221.100006,217.029083,1674700
2021-11-04,220.240005,222.490005,219.410004,222.139999,218.049927,1216000
2021-11-05,224.470001,225.539993,222.789993,223.970001,219.846237,1084000
2021-11-08,222.610001,224.330002,220.619995,223.839996,219.718628,969000
2021-11-09,223.940002,225.399994,222.679993,224.720001,220.582443,508900
2021-11-10,224.130005,225.820007,223.289993,223.460007,219.345642,663900
2021-11-11,223.029999,223.179993,218.839996,218.979996,214.948120,838400
2021-11-12,218.710007,220.860001,218.210007,220.300003,216.243805,1813900
2021-11-15,221.020004,221.649994,219.850006,221.229996,217.156677,1024100
2021-11-16,222.100006,223.279999,219.559998,220.000000,215.949326,1261900
2021-11-17,219.669998,222.410004,219.169998,221.190002,217.117432,840000
2021-11-18,220.009995,220.830002,218.000000,220.000000,216.949783,1321600
2021-11-19,220.500000,220.850006,218.699997,220.000000,216.949783,1028900
2021-11-22,220.050003,224.330002,220.050003,222.130005,219.050262,989200
2021-11-23,222.380005,224.410004,221.050003,221.509995,218.438843,640000
2021-11-24,221.149994,221.820007,218.009995,218.740005,215.707245,732000
2021-11-26,215.000000,217.270004,213.000000,215.119995,212.137421,833600
