Date,Open,High,Low,Close,Adj Close,Volume
2021-10-11,311.940002,314.709991,309.410004,309.959991,307.288605,775100
2021-10-12,310.619995,313.679993,307.820007,309.079987,306.416199,845200
2021-10-13,310.390015,316.170013,309.679993,315.010010,312.295135,1008700
2021-10-14,317.709991,321.950012,317.559998,319.540009,316.786072,946300
2021-10-15,321.950012,322.540009,318.779999,320.820007,318.055054,835000
2021-10-18,316.350006,318.820007,314.709991,318.359985,315.616211,851200
2021-10-19,317.709991,319.079987,310.510010,312.429993,309.737335,1228400
2021-10-20,314.890015,314.980011,303.989990,304.250000,301.627838,2832500
2021-10-21,305.989990,319.239990,305.230011,317.769989,315.031281,1956600
2021-10-22,318.380005,328.859985,318.309998,327.640015,324.816254,1447500
2021-10-25,327.519989,330.980011,323.239990,330.059998,327.215393,1412700
2021-10-26,331.000000,333.660004,329.429993,331.049988,328.196838,1201000
2021-10-27,332.230011,333.260010,325.170013,325.369995,322.565765,773000
2021-10-28,325.850006,327.299988,323.730011,325.500000,322.694733,942200
2021-10-29,323.739990,327.019989,322.649994,324.329987,321.534790,1135600
2021-11-01,326.500000,328.190002,320.359985,325.149994,322.347687,1256600
2021-11-02,316.170013,341.679993,313.410004,338.619995,335.701630,2683500
2021-11-03,335.000000,341.250000,331.059998,340.380005,337.446472,1500800
2021-11-04,342.000000,342.000000,336.989990,339.750000,336.821869,842400
2021-11-05,340.660004,350.369995,340.130005,349.500000,346.487854,1317800
2021-11-08,351.079987,353.450012,345.130005,349.390015,346.378815,795700
2021-11-09,349.029999,349.670013,345.570007,347.070007,344.078796,673500
2021-11-10,345.450012,350.980011,343.519989,345.109985,342.135681,1031300
2021-11-11,345.760010,347.589996,340.459991,344.410004,341.441742,863400
2021-11-12,346.250000,346.850006,343.529999,346.720001,343.731812,1065100
2021-11-15,347.109985,350.679993,346.609985,348.070007,345.070190,1045200
2021-11-16,347.950012,351.820007,347.190002,350.320007,347.300781,797800
2021-11-17,352.850006,356.510010,348.799988,354.459991,351.405090,1201800
2021-11-18,347.970001,348.500000,342.040009,347.200012,344.207703,1845500
2021-11-19,350.350006,354.929993,346.250000,352.850006,349.808960,1556800
2021-11-22,353.989990,357.820007,350.260010,350.470001,347.449493,1034300
2021-11-23,349.130005,351.109985,346.089996,349.760010,346.745605,1106700
2021-11-24,348.410004,350.579987,346.750000,349.209991,346.200348,1016500
2021-11-26,341.480011,345.839996,334.070007,334.350006,331.468414,1381400
2021-11-29,336.890015,342.399994,334.480011,340.049988,337.725342,1775700
2021-11-30,338.329987,338.480011,331.149994,332.070007,329.799896,3478700
2021-12-01,335.000000,337.089996,325.100006,325.329987,323.105957,1308100
2021-12-02,327.660004,336.510010,326.510010,334.670013,332.382172,1047100
2021-12-03,339.299988,347.350006,330.190002,335.299988,333.007813,1463700
2021-12-06,337.579987,343.709991,337.329987,341.549988,339.215057,1354900
2021-12-07,347.250000,357.739990,347.250000,353.640015,351.222443,1344200
2021-12-08,353.600006,357.000000,351.230011,356.149994,353.715271,944200
2021-12-09,355.380005,361.019989,355.170013,355.839996,353.407410,994000
2021-12-10,359.179993,362.700012,355.309998,361.390015,358.919495,841800
2021-12-13,360.190002,362.470001,357.940002,360.339996,357.876617,1116500
2021-12-14,358.000000,358.000000,352.869995,356.760010,354.321106,1139900
2021-12-15,356.250000,365.329987,355.049988,365.119995,362.623962,1040200
2021-12-16,366.720001,369.239990,360.220001,362.679993,360.200623,1389000
2021-12-17,360.160004,361.730011,343.450012,345.959991,343.594940,2557000
2021-12-20,342.200012,346.149994,340.140015,345.540009,343.177826,1125100
2021-12-21,348.980011,353.910004,347.299988,352.750000,350.338562,992000
2021-12-22,353.309998,361.910004,353.250000,361.700012,359.227325,1058500
2021-12-23,361.899994,367.950012,361.899994,365.989990,363.488007,898100
2021-12-27,366.000000,369.790009,366.000000,369.269989,366.745605,553000
2021-12-28,369.940002,370.829987,367.589996,367.799988,365.285645,539300
2021-12-29,367.799988,371.730011,367.399994,370.079987,367.550049,573400
2021-12-30,370.000000,372.359985,367.100006,367.339996,364.828796,505200
2021-12-31,367.660004,371.339996,367.450012,370.200012,367.669250,613000
2022-01-03,368.489990,374.200012,366.910004,370.290009,367.758606,1026700
2022-01-04,372.109985,373.980011,368.140015,371.859985,369.317871,1012700
2022-01-05,367.000000,368.660004,356.100006,356.109985,353.675537,2075000
2022-01-06,357.000000,357.570007,353.000000,355.390015,352.960510,1096200
2022-01-07,355.000000,357.459991,350.070007,354.929993,352.503632,936500
2022-01-10,349.500000,349.600006,333.359985,335.890015,333.593781,1863400
2022-01-11,336.000000,340.950012,331.570007,340.570007,338.241791,1029700
2022-01-12,343.970001,349.450012,342.350006,345.549988,343.187714,1589800
2022-01-13,345.549988,346.790009,331.989990,334.380005,332.094086,1255800
2022-01-14,330.390015,331.160004,318.640015,322.049988,319.848389,2548000
2022-01-18,314.700012,317.149994,309.420013,310.950012,308.824280,2446100
2022-01-19,314.890015,319.070007,309.010010,309.519989,307.404022,2036700
2022-01-20,311.369995,315.769989,300.059998,301.059998,299.001892,2036300
2022-01-21,300.000000,302.570007,296.760010,297.019989,294.989502,2239800
2022-01-24,294.000000,303.730011,283.540009,301.790009,299.726898,2642500
2022-01-25,297.850006,300.299988,292.940002,294.209991,292.198700,1816500
2022-01-26,298.429993,304.440002,289.140015,292.570007,290.569946,1834700
2022-01-27,298.140015,304.890015,294.239990,298.190002,296.151520,2220900
2022-01-28,294.899994,304.149994,292.010010,303.790009,301.713226,1938300
2022-01-31,302.579987,311.820007,302.579987,311.790009,309.658569,1514700
2022-02-01,312.040009,316.239990,308.790009,315.019989,312.866425,1726800
2022-02-02,317.269989,319.529999,312.200012,319.170013,316.988098,2246700
2022-02-03,304.820007,317.970001,299.950012,303.119995,301.047821,2395200
2022-02-04,309.880005,316.959991,305.019989,313.350006,311.207886,2579300
2022-02-07,315.529999,318.519989,311.420013,314.429993,312.280487,1341300
2022-02-08,311.140015,315.500000,310.109985,315.079987,312.926025,1247400
2022-02-09,319.679993,324.700012,317.040009,320.040009,317.852142,1321000
2022-02-10,313.570007,319.320007,310.820007,315.609985,313.452423,1418200
2022-02-11,313.309998,315.500000,300.100006,300.769989,298.713867,1982000
2022-02-14,300.769989,305.140015,299.649994,303.850006,301.772827,1352400
2022-02-15,309.730011,311.589996,306.119995,307.529999,305.427643,1327900
2022-02-16,306.000000,310.119995,302.929993,308.649994,306.539978,983900
2022-02-17,307.100006,309.989990,303.380005,304.290009,302.209839,1036200
2022-02-18,305.119995,307.119995,300.850006,302.989990,300.918701,1024800
2022-02-22,300.000000,301.760010,293.549988,295.679993,293.658661,1930800
2022-02-23,300.049988,300.119995,290.579987,290.929993,288.941132,1399700
2022-02-24,281.980011,293.670013,279.369995,293.130005,291.126099,1998400
2022-02-25,294.760010,300.739990,293.049988,300.329987,298.888672,926700
2022-02-28,295.519989,298.190002,292.519989,296.329987,294.907837,1517600
2022-03-01,294.989990,294.989990,282.369995,285.589996,284.219391,2020400
2022-03-02,289.470001,294.049988,287.750000,291.750000,290.349854,1062200
2022-03-03,294.399994,295.980011,286.019989,292.200012,290.797699,1559600
2022-03-04,286.779999,289.700012,283.850006,285.690002,284.318939,1612400
2022-03-07,285.079987,285.510010,262.809998,263.869995,262.603668,2455500
2022-03-08,262.549988,279.070007,262.230011,269.839996,268.545013,2624600
2022-03-09,282.980011,283.940002,276.100006,277.679993,276.347382,1435900
2022-03-10,274.829987,276.140015,269.950012,273.359985,272.048065,1513400
2022-03-11,278.119995,279.000000,264.070007,264.230011,262.961914,1857900
2022-03-14,266.070007,266.260010,248.419998,250.380005,249.178391,2877600
2022-03-15,255.070007,259.989990,252.770004,258.899994,257.657501,2174000
2022-03-16,264.369995,272.380005,263.000000,270.880005,269.580017,2006300
2022-03-17,269.519989,274.429993,268.459991,272.390015,271.082794,1687500
2022-03-18,273.670013,279.190002,271.260010,276.869995,275.541260,2017200
2022-03-21,275.660004,278.760010,270.459991,273.970001,272.655182,1261300
2022-03-22,278.679993,282.850006,276.869995,281.899994,280.547119,1642800
2022-03-23,279.309998,280.989990,273.250000,273.429993,272.117767,1029600
2022-03-24,275.869995,276.799988,273.070007,276.679993,275.352142,836000
2022-03-25,278.910004,280.529999,272.559998,274.890015,273.570801,982000
2022-03-28,276.670013,277.769989,271.880005,277.619995,276.287659,1071100
2022-03-29,288.329987,289.589996,281.679993,284.929993,283.562561,1210800
2022-03-30,283.130005,283.500000,277.209991,279.160004,277.820282,1194400
2022-03-31,278.579987,279.420013,272.320007,272.320007,271.013092,1437200
2022-04-01,275.209991,276.929993,272.119995,274.410004,273.093079,1190200
2022-04-04,274.320007,279.600006,272.230011,278.619995,277.282837,1293900
2022-04-05,274.089996,276.779999,271.549988,272.660004,271.351440,1016200
2022-04-06,268.609985,268.609985,261.040009,264.730011,263.459534,2039900
2022-04-07,267.869995,271.369995,262.940002,267.019989,265.738525,1789300
2022-04-08,267.640015,270.450012,266.250000,266.640015,265.360382,1078900
2022-04-11,264.000000,266.019989,260.549988,262.279999,261.021271,1314500
2022-04-12,265.190002,269.660004,261.209991,262.700012,261.439270,1286400
2022-04-13,263.850006,267.660004,262.429993,266.579987,265.300629,967500
2022-04-14,267.000000,270.700012,263.690002,263.869995,262.603668,1552800
2022-04-18,263.109985,266.290009,262.399994,264.119995,262.852448,1091500
2022-04-19,262.380005,276.220001,262.380005,274.559998,273.242340,1780800
2022-04-20,283.130005,285.790009,277.820007,278.260010,276.924622,1571800
2022-04-21,280.890015,283.609985,271.200012,271.950012,270.644867,948600
2022-04-22,273.459991,275.959991,263.540009,264.040009,262.772858,1495500
2022-04-25,263.040009,268.779999,257.760010,268.220001,266.932770,1404600
2022-04-26,265.950012,266.079987,254.770004,254.770004,253.547318,1352000
2022-04-27,255.389999,263.100006,255.190002,259.640015,258.393982,1442500
2022-04-28,262.299988,274.709991,262.119995,272.329987,271.023010,1482500
2022-04-29,268.410004,272.459991,262.829987,264.059998,262.792725,1512000
2022-05-02,261.109985,263.399994,253.360001,260.630005,259.379211,2710800
2022-05-03,227.500000,252.000000,227.490005,245.520004,244.341721,4803700
2022-05-04,246.740005,258.190002,243.050003,257.260010,256.025391,2196600
2022-05-05,250.820007,252.500000,238.289993,241.830002,240.669418,2590400
2022-05-06,239.570007,242.729996,234.259995,240.300003,239.146774,1833000
2022-05-09,235.100006,240.300003,232.000000,233.580002,232.459015,1977300
2022-05-10,237.350006,238.490005,227.199997,229.679993,228.577728,2240400
2022-05-11,232.520004,239.259995,228.669998,229.490005,228.388657,1724400
2022-05-12,227.070007,235.210007,225.389999,231.000000,229.891388,2166100
2022-05-13,234.520004,241.509995,234.160004,240.389999,239.236328,1792900
2022-05-16,238.869995,239.949997,234.649994,235.380005,234.250381,1559900
2022-05-17,240.979996,242.990005,234.759995,242.580002,241.415833,2159900
2022-05-18,238.000000,238.419998,228.429993,229.130005,228.030380,2140700
2022-05-19,228.470001,239.100006,227.710007,235.380005,234.250381,2183400
2022-05-20,237.149994,238.880005,229.490005,237.210007,236.071594,1791800
2022-05-23,240.190002,240.190002,231.309998,236.600006,235.464539,1499800
2022-05-24,235.279999,236.229996,227.789993,232.059998,230.946304,1662400
2022-05-25,230.169998,232.880005,225.699997,232.110001,230.996063,1350600
2022-05-26,235.479996,241.500000,233.789993,240.399994,239.246277,1188200
2022-05-27,246.479996,254.580002,243.089996,251.860001,251.278427,1820400
2022-05-31,253.679993,262.890015,251.639999,254.649994,254.061981,3734600
2022-06-01,257.359985,261.320007,250.199997,250.419998,249.841751,1555900
2022-06-02,253.119995,264.589996,251.929993,264.399994,263.789459,1938900
2022-06-03,259.429993,264.959991,259.230011,264.220001,263.609894,1813700
2022-06-06,267.880005,269.769989,264.480011,265.679993,265.066528,1345900
2022-06-07,260.809998,271.670013,260.809998,271.320007,270.693512,1500200
2022-06-08,267.519989,272.709991,266.239990,267.859985,267.241486,1502200
2022-06-09,266.450012,266.489990,258.700012,258.790009,258.192444,1626000
2022-06-10,253.740005,254.330002,248.720001,249.479996,248.903931,1319800
2022-06-13,240.869995,243.669998,236.050003,238.259995,237.709839,1653500
2022-06-14,238.020004,246.759995,238.000000,240.779999,240.224014,1309900
2022-06-15,241.539993,249.320007,238.009995,243.119995,242.558609,1606600
2022-06-16,236.949997,239.970001,230.190002,233.119995,232.581696,1585100
2022-06-17,233.000000,240.750000,232.899994,237.830002,237.280838,1940900
2022-06-21,241.919998,247.949997,237.600006,246.759995,246.190201,1725300
2022-06-22,244.750000,249.960007,243.550003,247.910004,247.337555,1231600
2022-06-23,250.169998,258.820007,250.169998,258.559998,257.962952,1767900
2022-06-24,261.940002,270.299988,260.670013,270.200012,269.576111,2114400
2022-06-27,268.640015,269.880005,261.450012,262.869995,262.263000,1412500
2022-06-28,261.089996,268.600006,256.309998,257.369995,256.775696,1703300
2022-06-29,256.600006,258.109985,253.160004,256.989990,256.396576,1035000
2022-06-30,253.089996,256.890015,248.639999,254.669998,254.081940,1313100
2022-07-01,254.449997,257.149994,250.720001,256.519989,255.927658,944600
2022-07-05,249.710007,259.329987,249.220001,259.029999,258.431885,1114100
2022-07-06,259.869995,261.950012,256.989990,257.239990,256.645996,1317100
2022-07-07,258.190002,260.000000,256.109985,259.339996,258.741150,1019000
2022-07-08,257.019989,257.269989,248.770004,251.479996,250.899307,1357300
2022-07-11,249.529999,251.300003,244.800003,245.589996,245.022903,1368400
2022-07-12,243.970001,247.300003,242.509995,244.300003,243.735901,1213300
2022-07-13,239.369995,248.809998,238.520004,245.440002,244.873260,1037200
2022-07-14,242.990005,244.669998,240.669998,243.979996,243.416626,906300
2022-07-15,246.770004,248.050003,244.570007,245.539993,244.973022,791700
2022-07-18,248.860001,254.330002,244.899994,245.770004,245.202499,889600
2022-07-19,249.589996,255.630005,247.380005,255.399994,254.810257,1058000
2022-07-20,255.589996,258.700012,253.399994,257.799988,257.204712,1008700
2022-07-21,258.079987,262.829987,256.739990,262.570007,261.963715,1239000
2022-07-22,263.339996,265.799988,257.940002,260.100006,259.499420,800900
2022-07-25,259.839996,261.049988,254.029999,258.690002,258.092651,586400
2022-07-26,255.389999,255.929993,250.690002,251.820007,251.238541,970700
