Date,Open,High,Low,Close,Adj Close,Volume
2021-10-11,160.470001,161.800003,159.710007,159.820007,156.750824,507500
2021-10-12,159.490005,160.100006,158.699997,159.240005,156.181946,552500
2021-10-13,159.779999,160.169998,156.860001,158.669998,155.622910,520800
2021-10-14,160.190002,163.089996,160.000000,162.740005,159.614746,601200
2021-10-15,164.440002,166.529999,163.710007,164.750000,161.586136,692200
2021-10-18,164.000000,164.600006,163.020004,163.979996,160.830917,557000
2021-10-19,165.100006,165.539993,163.699997,164.610001,161.448837,584700
2021-10-20,165.509995,168.839996,165.009995,166.559998,163.361374,611100
2021-10-21,166.330002,166.610001,163.929993,165.770004,162.586548,540300
2021-10-22,170.009995,172.509995,167.449997,168.479996,165.244507,906300
2021-10-25,169.940002,171.979996,167.750000,171.410004,168.118240,631400
2021-10-26,172.100006,173.929993,171.320007,171.509995,168.216324,645700
2021-10-27,170.410004,170.520004,163.460007,163.580002,160.438599,691000
2021-10-28,164.070007,166.589996,164.070007,165.470001,162.292313,542600
2021-10-29,164.570007,165.330002,160.550003,161.509995,159.062027,843500
2021-11-01,161.809998,163.570007,161.119995,161.509995,159.062027,846200
2021-11-02,162.509995,166.669998,161.789993,166.130005,163.612015,804300
2021-11-03,165.339996,167.960007,165.339996,166.600006,164.074890,627800
2021-11-04,166.880005,167.759995,165.619995,166.820007,164.291565,695400
2021-11-05,167.949997,170.919998,166.979996,169.399994,166.832443,680400
2021-11-08,170.690002,172.440002,169.779999,169.990005,167.413513,677500
2021-11-09,169.660004,173.899994,169.639999,172.910004,170.289230,810400
2021-11-10,172.910004,174.050003,168.419998,168.960007,166.399109,739500
2021-11-11,169.449997,171.559998,168.610001,170.550003,167.965012,844900
2021-11-12,172.039993,172.179993,170.059998,170.130005,167.551376,895500
2021-11-15,170.369995,171.250000,166.050003,167.419998,164.882462,1053200
2021-11-16,167.320007,169.250000,166.869995,168.630005,166.074112,612800
2021-11-17,168.160004,168.690002,166.589996,166.899994,164.370316,457400
2021-11-18,167.710007,168.690002,166.429993,167.460007,164.921844,453700
2021-11-19,166.880005,167.169998,164.080002,165.740005,163.227921,428400
2021-11-22,163.160004,168.389999,162.979996,166.000000,163.483978,697300
2021-11-23,166.750000,169.119995,165.320007,167.490005,164.951385,579600
2021-11-24,165.889999,167.970001,165.190002,165.960007,163.444580,546600
2021-11-26,161.000000,162.639999,159.050003,160.889999,158.451416,390800
2021-11-29,161.979996,162.320007,159.429993,159.789993,157.368088,1011800
2021-11-30,157.979996,158.919998,150.660004,151.360001,149.065872,1334200
2021-12-01,154.669998,156.009995,148.839996,148.940002,146.682556,870500
2021-12-02,149.740005,154.910004,148.529999,153.839996,151.508286,830100
2021-12-03,154.279999,157.350006,152.179993,153.419998,151.094650,681400
2021-12-06,156.020004,159.880005,155.070007,158.160004,155.762802,714700
2021-12-07,159.789993,161.660004,159.419998,159.850006,157.427200,1185400
2021-12-08,160.800003,161.179993,158.300003,159.820007,157.397644,681000
2021-12-09,158.580002,159.860001,157.679993,158.619995,156.215820,451700
2021-12-10,160.550003,161.350006,158.979996,160.919998,158.480972,604500
