Date,Open,High,Low,Close,Adj Close,Volume
2021-10-11,40.529999,41.020000,40.360001,40.480000,40.480000,1241100
2021-10-12,39.000000,39.099998,37.040001,37.150002,37.150002,11423500
2021-10-13,37.090000,37.389999,36.500000,37.200001,37.200001,5677400
2021-10-14,37.560001,37.959999,37.270000,37.540001,37.540001,3237200
2021-10-15,37.619999,38.400002,37.619999,38.349998,38.349998,2660400
2021-10-18,38.320000,38.740002,38.060001,38.560001,38.560001,2003300
2021-10-19,38.860001,39.070000,38.099998,38.230000,38.230000,2958500
2021-10-20,38.259998,39.000000,38.259998,38.580002,38.580002,3117300
2021-10-21,38.619999,38.779999,37.935001,38.770000,38.770000,3689500
2021-10-22,38.810001,38.849998,38.005001,38.419998,38.419998,3781400
2021-10-25,38.540001,38.540001,37.790001,37.900002,37.900002,3481100
2021-10-26,38.110001,38.150002,37.380001,37.700001,37.700001,2756300
2021-10-27,37.619999,37.730000,36.880001,36.930000,36.930000,5354600
2021-10-28,37.099998,38.314999,36.770000,38.299999,38.299999,5692200
2021-10-29,39.880001,41.310001,39.540001,40.380001,40.380001,7652600
2021-11-01,40.220001,40.810001,39.540001,39.560001,39.560001,6116300
2021-11-02,39.150002,40.619999,39.099998,39.830002,39.830002,5821900
2021-11-03,40.000000,40.060001,38.660000,39.439999,39.439999,6044200
2021-11-04,39.500000,39.750000,38.650002,38.910000,38.910000,3073800
2021-11-05,38.700001,38.855000,36.900002,38.180000,38.180000,5990500
2021-11-08,38.770000,39.130001,38.400002,38.970001,38.970001,4655700
2021-11-09,38.970001,39.490002,38.570000,39.099998,39.099998,3201900
2021-11-10,38.750000,39.195000,38.270000,38.320000,38.320000,3304500
2021-11-11,38.599998,38.669998,38.060001,38.529999,38.529999,3354300
2021-11-12,38.730000,38.900002,37.790001,38.029999,38.029999,3316600
2021-11-15,37.840000,39.040001,37.840000,38.490002,38.490002,3892800
2021-11-16,38.509998,39.730000,38.360001,39.560001,39.560001,3310800
2021-11-17,39.974998,39.974998,38.880001,39.189999,39.189999,2420400
2021-11-18,39.430000,39.580002,38.787998,39.279999,39.279999,2287400
2021-11-19,39.450001,39.980000,39.259998,39.660000,39.660000,3088900
2021-11-22,40.000000,40.330002,39.590000,39.939999,39.939999,3559000
2021-11-23,39.520000,40.035000,38.595001,39.110001,39.110001,3181300
2021-11-24,38.950001,39.660000,38.272999,39.619999,39.619999,3129800
2021-11-26,39.490002,40.750000,39.279999,39.619999,39.619999,2242200
2021-11-29,39.720001,40.255001,39.535000,39.779999,39.779999,2612400
2021-11-30,39.820000,40.720001,39.369999,39.480000,39.480000,4071400
2021-12-01,39.770000,39.915001,38.279999,38.290001,38.290001,3669900
2021-12-02,38.049999,39.130001,37.750000,38.889999,38.889999,3312000
2021-12-03,39.020000,39.320000,36.980000,38.270000,38.270000,3776700
2021-12-06,38.180000,38.380001,37.480000,38.130001,38.130001,2730600
2021-12-07,38.799999,39.990002,38.490002,39.509998,39.509998,3330700
2021-12-08,39.549999,40.005001,39.070000,39.950001,39.950001,3114300
2021-12-09,40.200001,40.770000,39.680000,39.689999,39.689999,2359500
2021-12-10,39.669998,39.939999,39.160000,39.349998,39.349998,2168300
2021-12-13,39.270000,39.610001,39.009998,39.189999,39.189999,2610000
2021-12-14,38.720001,39.070000,37.770000,38.330002,38.330002,3702700
2021-12-15,38.740002,39.805000,38.174999,39.750000,39.750000,6408800
2021-12-16,39.830002,40.345001,39.349998,39.520000,39.520000,5170900
2021-12-17,39.340000,40.450001,38.900002,39.900002,39.900002,7446700
2021-12-20,39.540001,39.970001,38.980000,39.500000,39.500000,5481600
2021-12-21,39.590000,41.105000,39.410000,40.950001,40.950001,7028800
2021-12-22,41.119999,41.639000,40.750000,41.099998,41.099998,3492100
2021-12-23,41.240002,41.459999,40.990002,41.250000,41.250000,2357500
2021-12-27,41.459999,42.040001,41.109001,41.959999,41.959999,1552300
2021-12-28,42.009998,42.110001,41.205002,41.340000,41.340000,2048800
2021-12-29,41.439999,41.840000,41.189999,41.740002,41.740002,1319000
2021-12-30,41.770000,42.415001,41.680000,42.009998,42.009998,1807500
2021-12-31,41.959999,42.480000,41.889999,42.139999,42.139999,2502500
2022-01-03,41.900002,41.985001,40.240002,40.560001,40.560001,3657300
2022-01-04,40.049999,40.200001,38.610001,39.169998,39.169998,4958300
2022-01-05,38.759998,39.240002,37.700001,37.880001,37.880001,3919600
2022-01-06,37.330002,38.299999,36.591000,37.669998,37.669998,4236700
2022-01-07,37.430000,37.680000,36.349998,36.610001,36.610001,4053400
2022-01-10,36.169998,38.310001,35.700001,38.279999,38.279999,7071700
2022-01-11,38.099998,38.619999,37.735001,38.310001,38.310001,3906600
2022-01-12,38.630001,39.369999,38.450001,39.200001,39.200001,7356400
2022-01-13,39.160000,39.540001,37.459999,37.500000,37.500000,4363200
2022-01-14,37.200001,37.730000,36.730000,37.709999,37.709999,3767600
2022-01-18,37.160000,37.709999,36.740002,36.930000,36.930000,4438500
2022-01-19,37.169998,37.889999,36.660000,37.150002,37.150002,3489400
2022-01-20,37.549999,37.960999,36.919998,36.930000,36.930000,2275700
2022-01-21,36.849998,37.040001,36.040001,36.080002,36.080002,4072600
2022-01-24,35.570000,36.709999,33.900002,36.570000,36.570000,5226800
2022-01-25,36.025002,36.360001,35.145000,35.270000,35.270000,3374000
2022-01-26,35.459999,36.134998,34.790001,35.029999,35.029999,3091400
2022-01-27,35.549999,36.029999,34.685001,34.740002,34.740002,3816700
2022-01-28,34.950001,36.299999,34.509998,36.299999,36.299999,3112600
2022-01-31,36.389999,37.410000,36.160000,37.330002,37.330002,4093200
2022-02-01,37.680000,38.165001,37.200001,38.009998,38.009998,4482100
2022-02-02,38.160000,38.830002,37.830002,38.259998,38.259998,5563400
2022-02-03,37.330002,38.360001,37.330002,37.770000,37.770000,4849600
2022-02-04,37.145000,37.759998,36.500000,37.139999,37.139999,4898400
2022-02-07,37.139999,37.330002,36.400002,36.410000,36.410000,4972400
2022-02-08,36.009998,37.115002,35.750000,36.869999,36.869999,3424800
2022-02-09,37.029999,37.770000,37.029999,37.700001,37.700001,3075900
2022-02-10,36.950001,38.040001,36.950001,37.459999,37.459999,2683900
2022-02-11,37.509998,37.830002,36.009998,36.180000,36.180000,4757400
2022-02-14,36.209999,36.560001,35.323002,35.360001,35.360001,4269400
2022-02-15,35.919998,36.470001,35.080002,35.279999,35.279999,5695400
2022-02-16,35.259998,35.580002,34.430000,35.480000,35.480000,4304300
2022-02-17,35.270000,35.330002,34.369999,34.400002,34.400002,3355000
2022-02-18,34.570000,34.840000,33.880001,34.000000,34.000000,2900200
2022-02-22,33.650002,34.279999,33.549999,33.669998,33.669998,2343800
2022-02-23,33.759998,34.345001,33.075001,33.090000,33.090000,3582200
2022-02-24,32.189999,34.595001,31.799999,34.419998,34.419998,3888600
2022-02-25,34.410000,35.525002,34.040001,35.389999,35.389999,2774100
2022-02-28,35.040001,35.240002,34.264999,34.689999,34.689999,4652000
2022-03-01,34.470001,34.834999,33.619999,34.220001,34.220001,4180500
2022-03-02,34.450001,35.119999,34.380001,34.880001,34.880001,4049900
2022-03-03,35.200001,35.349998,34.450001,34.660000,34.660000,3577700
2022-03-04,34.439999,34.709999,32.450001,33.110001,33.110001,6343100
2022-03-07,32.980000,33.115002,31.940001,32.560001,32.560001,6095200
2022-03-08,32.299999,33.590000,32.110001,33.009998,33.009998,6996900
2022-03-09,33.709999,34.380001,33.700001,33.860001,33.860001,3159000
2022-03-10,33.259998,34.209999,33.259998,34.070000,34.070000,2388100
2022-03-11,34.570000,34.770000,33.744999,33.880001,33.880001,2426200
2022-03-14,34.049999,34.930000,33.900002,34.060001,34.060001,3642700
2022-03-15,34.410000,34.700001,33.900002,34.500000,34.500000,5935900
2022-03-16,34.790001,35.389999,34.080002,34.900002,34.900002,3498100
2022-03-17,34.840000,35.220001,34.474998,34.919998,34.919998,5497000
2022-03-18,34.770000,35.209999,34.540001,35.139999,35.139999,7500900
2022-03-21,35.060001,35.160000,34.090000,34.490002,34.490002,4512700
2022-03-22,34.439999,34.875000,34.250000,34.720001,34.720001,6086000
2022-03-23,34.430000,34.619999,33.494999,33.560001,33.560001,4791600
2022-03-24,33.810001,33.980000,33.450001,33.810001,33.810001,3302400
2022-03-25,33.860001,34.049999,32.959999,33.570000,33.570000,3715800
2022-03-28,33.480000,34.200001,33.380001,34.189999,34.189999,3606800
2022-03-29,34.610001,34.834999,34.080002,34.500000,34.500000,3824800
2022-03-30,34.549999,34.660000,34.174999,34.369999,34.369999,3398900
2022-03-31,34.270000,34.660000,33.779999,33.820000,33.820000,4034100
2022-04-01,34.009998,34.320000,33.759998,34.189999,34.189999,2749100
2022-04-04,33.240002,33.660000,32.610001,32.750000,32.750000,9534900
2022-04-05,32.560001,32.859001,31.309999,31.620001,31.620001,15052500
2022-04-06,31.400000,32.115002,30.950001,32.049999,32.049999,7081700
2022-04-07,32.099998,32.695000,32.020000,32.349998,32.349998,5344300
2022-04-08,32.230000,32.529999,31.870001,32.060001,32.060001,3629000
2022-04-11,32.000000,32.009998,30.910000,30.990000,30.990000,5781000
2022-04-12,31.070000,31.389999,30.120001,30.360001,30.360001,7566100
2022-04-13,30.420000,31.809999,30.260000,31.799999,31.799999,6654300
2022-04-14,31.930000,32.110001,31.190001,31.459999,31.459999,7497900
2022-04-18,31.379999,31.709999,30.705000,31.010000,31.010000,5522900
2022-04-19,30.870001,31.764999,30.639999,31.670000,31.670000,4594500
2022-04-20,31.910000,32.930000,31.575001,32.730000,32.730000,5556700
2022-04-21,33.070000,33.119999,31.190001,31.320000,31.320000,3520500
2022-04-22,30.990000,31.139999,29.990000,30.020000,30.020000,6135600
2022-04-25,29.639999,30.440001,29.420000,30.389999,30.389999,6572100
2022-04-26,30.209999,30.320000,28.924999,29.389999,29.389999,6238100
2022-04-27,29.540001,30.000000,29.070000,29.420000,29.420000,9958800
2022-04-28,29.799999,29.975000,28.635000,29.790001,29.790001,10625200
2022-04-29,33.430000,34.369999,31.700001,31.879999,31.879999,14445400
2022-05-02,31.590000,32.080002,30.820000,31.440001,31.440001,5607600
2022-05-03,31.350000,32.369999,31.350000,31.590000,31.590000,5445500
2022-05-04,31.450001,32.200001,30.750000,32.000000,32.000000,5532900
2022-05-05,31.559999,31.799999,30.309999,30.719999,30.719999,6220600
2022-05-06,30.469999,31.155001,29.799999,31.090000,31.090000,4786100
2022-05-09,30.620001,30.790001,29.110001,29.370001,29.370001,5249200
2022-05-10,29.959999,30.469999,29.160000,30.120001,30.120001,5938100
2022-05-11,29.940001,30.805000,29.719999,29.840000,29.840000,6415000
2022-05-12,29.780001,30.510000,29.400000,29.879999,29.879999,4695200
2022-05-13,30.330000,31.270000,29.770000,30.049999,30.049999,11342400
2022-05-16,30.120001,30.905001,29.905001,30.639999,30.639999,5443700
2022-05-17,31.139999,31.485001,30.684999,31.330000,31.330000,3373400
2022-05-18,30.809999,31.100000,30.020000,30.190001,30.190001,5482100
2022-05-19,29.840000,31.270000,29.719999,31.110001,31.110001,5928500
2022-05-20,31.350000,31.490000,30.490000,31.219999,31.219999,4057500
2022-05-23,31.469999,31.719999,31.020000,31.530001,31.530001,3901700
2022-05-24,31.260000,31.535000,30.990000,31.400000,31.400000,3244200
2022-05-25,31.410000,31.690001,30.450001,30.750000,30.750000,3352900
2022-05-26,30.809999,31.855000,30.809999,31.770000,31.770000,5564000
2022-05-27,32.119999,33.270000,32.029999,32.980000,32.980000,4094100
2022-05-31,32.650002,32.756001,31.770000,32.040001,32.040001,5857200
2022-06-01,32.349998,32.700001,31.320000,31.930000,31.930000,3627600
2022-06-02,32.009998,33.480000,31.799999,33.380001,33.380001,5551500
2022-06-03,33.000000,33.459999,32.540001,32.680000,32.680000,4977500
2022-06-06,33.060001,33.259998,32.230000,32.299999,32.299999,3910300
2022-06-07,32.000000,32.915001,31.969999,32.860001,32.860001,3587400
2022-06-08,32.639999,32.849998,32.349998,32.529999,32.529999,1780200
2022-06-09,32.169998,32.474998,31.879999,31.930000,31.930000,2239700
2022-06-10,31.410000,31.549999,30.559999,30.760000,30.760000,2535400
2022-06-13,29.860001,30.100000,29.200001,29.350000,29.350000,3440700
2022-06-14,29.299999,30.030001,28.740000,29.719999,29.719999,4312200
2022-06-15,30.129999,31.215000,29.969999,30.610001,30.610001,7288900
2022-06-16,29.870001,30.059999,29.290001,29.700001,29.700001,6653700
2022-06-17,29.570000,30.240000,29.559999,29.840000,29.840000,8262600
2022-06-21,30.270000,30.540001,29.740000,29.840000,29.840000,5431000
2022-06-22,29.389999,30.635000,29.389999,30.370001,30.370001,3931100
2022-06-23,30.480000,31.360001,30.395000,31.280001,31.280001,3337800
2022-06-24,31.299999,31.830000,31.139999,31.600000,31.600000,7432900
2022-06-27,31.750000,32.029999,31.230000,31.990000,31.990000,3650400
2022-06-28,32.000000,32.160000,31.184999,31.620001,31.620001,4023600
2022-06-29,31.590000,31.750000,31.355000,31.500000,31.500000,2798100
2022-06-30,31.150000,31.629999,30.639999,31.100000,31.100000,4220200
2022-07-01,31.030001,31.620001,30.879999,31.610001,31.610001,4274600
2022-07-05,31.260000,31.645000,30.570000,31.500000,31.500000,2628500
2022-07-06,31.440001,31.745001,31.209999,31.450001,31.450001,5125000
2022-07-07,31.340000,31.910000,31.240000,31.570000,31.570000,3989100
2022-07-08,31.420000,31.600000,31.040001,31.410000,31.410000,2727200
2022-07-11,31.180000,31.525000,30.985001,31.190001,31.190001,2662200
2022-07-12,30.930000,31.250000,28.920000,29.360001,29.360001,8002300
2022-07-13,28.879999,29.330000,28.610001,28.719999,28.719999,4123000
