Date,Open,High,Low,Close,Adj Close,Volume
2021-10-11,30.750000,30.959999,30.510000,30.540001,30.540001,1327500
2021-10-12,30.459999,30.799999,30.440001,30.580000,30.580000,2505900
2021-10-13,30.840000,30.969999,30.615000,30.830000,30.830000,2393300
2021-10-14,31.000000,31.200001,30.860001,31.129999,31.129999,2246900
2021-10-15,31.450001,31.605000,31.205000,31.309999,31.309999,2215100
2021-10-18,31.040001,31.235001,30.799999,31.120001,31.120001,2335300
2021-10-19,31.190001,31.340000,30.860001,31.209999,31.209999,2570700
2021-10-20,31.200001,31.889999,31.049999,31.830000,31.830000,2676800
2021-10-21,31.750000,32.830002,31.605000,32.820000,32.820000,3920400
2021-10-22,32.849998,33.049999,32.634998,32.689999,32.689999,2424700
2021-10-25,32.849998,33.139999,32.410000,32.419998,32.419998,4049100
2021-10-26,32.500000,32.919998,31.500000,31.660000,31.660000,4264100
2021-10-27,31.549999,31.715000,31.055000,31.180000,31.180000,3104200
2021-10-28,31.200001,31.889999,31.200001,31.510000,31.510000,2561000
2021-10-29,31.430000,31.600000,30.885000,31.190001,31.190001,2390000
2021-11-01,31.219999,31.405001,31.049999,31.129999,31.129999,1902500
2021-11-02,31.170000,31.850000,31.170000,31.740000,31.740000,2145800
2021-11-03,31.719999,32.080002,31.620001,31.850000,31.850000,1759100
2021-11-04,31.980000,32.285000,31.725000,32.119999,32.119999,2032900
2021-11-05,32.349998,32.750000,32.169998,32.330002,32.330002,2760900
2021-11-08,32.560001,32.605000,31.950001,32.189999,32.189999,2499400
2021-11-09,32.110001,32.369999,32.080002,32.250000,32.250000,1246100
2021-11-10,32.189999,32.540001,32.099998,32.139999,32.139999,1294500
2021-11-11,32.259998,32.410000,32.180000,32.410000,32.410000,1310400
2021-11-12,32.599998,33.099998,32.529999,32.950001,32.950001,1887500
2021-11-15,32.900002,32.900002,32.555000,32.799999,32.799999,933000
2021-11-16,32.770000,33.419998,32.680000,33.080002,33.080002,2118500
2021-11-17,33.130001,33.314999,32.794998,33.230000,33.230000,1458900
2021-11-18,33.299999,33.400002,32.939999,33.340000,33.340000,1790800
2021-11-19,33.340000,33.630001,32.985001,33.299999,33.299999,3111800
2021-11-22,33.430000,33.500000,33.049999,33.209999,33.209999,1783000
2021-11-23,33.180000,33.400002,32.799999,32.849998,32.849998,1258300
2021-11-24,32.700001,32.830002,32.540001,32.560001,32.560001,959600
2021-11-26,31.620001,31.740000,30.969999,31.330000,31.330000,1080900
2021-11-29,31.490000,31.605000,30.889999,31.290001,31.290001,1631500
2021-11-30,31.030001,31.219999,30.270000,30.320000,30.320000,3175500
2021-12-01,30.799999,31.280001,30.110001,30.120001,30.120001,2062600
2021-12-02,30.260000,31.090000,30.219999,30.879999,30.879999,1504300
2021-12-03,30.990000,31.100000,30.459999,31.010000,31.010000,2261600
2021-12-06,31.490000,31.940001,31.260000,31.590000,31.590000,1316900
2021-12-07,31.860001,32.509998,31.770000,32.209999,32.209999,1032900
2021-12-08,32.360001,32.360001,32.060001,32.250000,32.250000,1589400
2021-12-09,32.060001,32.305000,31.920000,32.240002,32.240002,1465800
2021-12-10,32.610001,32.799999,32.160000,32.700001,32.700001,1561100
2021-12-13,32.720001,32.779999,32.224998,32.400002,32.400002,1554700
2021-12-14,32.270000,32.630001,32.020000,32.119999,32.119999,821700
2021-12-15,32.070000,32.290001,31.570000,32.230000,32.230000,1261000
2021-12-16,32.365002,32.970001,32.310001,32.509998,32.509998,1342000
2021-12-17,32.349998,32.415001,31.540001,31.680000,31.680000,2209600
2021-12-20,31.049999,31.180000,30.160000,30.520000,30.520000,2121400
2021-12-21,30.870001,31.350000,30.740000,31.309999,31.309999,1636700
2021-12-22,31.139999,31.660000,31.059999,31.530001,31.530001,1074300
2021-12-23,31.709999,31.980000,31.559999,31.820000,31.820000,646100
2021-12-27,31.860001,32.439999,31.770000,32.419998,32.419998,685400
2021-12-28,32.389999,32.825001,32.340000,32.799999,32.799999,745400
2021-12-29,32.869999,33.040001,32.755001,32.820000,32.820000,898600
2021-12-30,32.889999,33.000000,32.650002,32.680000,32.680000,952600
2021-12-31,32.549999,33.279999,32.549999,33.119999,33.119999,839300
2022-01-03,33.169998,33.410000,32.529999,32.830002,32.830002,1758700
2022-01-04,33.090000,33.889999,33.009998,33.520000,33.520000,1960300
2022-01-05,33.680000,34.119999,33.380001,33.419998,33.419998,2036100
2022-01-06,33.480000,33.680000,33.000000,33.110001,33.110001,1765700
2022-01-07,33.240002,33.310001,32.490002,32.500000,32.500000,1165000
2022-01-10,32.349998,32.490002,31.520000,31.969999,31.969999,1698700
2022-01-11,32.000000,32.599998,31.730000,32.590000,32.590000,1350800
2022-01-12,32.720001,32.994999,32.400002,32.900002,32.900002,2203100
2022-01-13,33.000000,33.410000,32.930000,33.220001,33.220001,1777900
2022-01-14,32.849998,33.160000,32.365002,32.740002,32.740002,2339000
2022-01-18,32.000000,32.119999,31.129999,31.910000,31.910000,3942300
2022-01-19,32.040001,32.070000,31.389999,31.389999,31.389999,1243200
2022-01-20,31.330000,31.650000,30.459999,30.490000,30.490000,2096100
2022-01-21,30.420000,30.889999,30.190001,30.299999,30.299999,2759700
2022-01-24,29.700001,30.155001,29.150000,30.020000,30.020000,2386200
2022-01-25,29.450001,29.719999,28.520000,29.440001,29.440001,2779200
2022-01-26,29.809999,30.105000,29.100000,29.280001,29.280001,2459400
2022-01-27,29.549999,29.760000,28.120001,28.740000,28.740000,4369600
2022-01-28,28.700001,28.910000,27.940001,28.900000,28.900000,2262700
2022-01-31,28.709999,29.639999,28.580000,29.610001,29.610001,2718000
2022-02-01,28.780001,29.650000,28.360001,29.110001,29.110001,7049200
2022-02-02,28.840000,29.690001,28.490000,29.379999,29.379999,3630300
2022-02-03,29.120001,29.590000,28.985001,29.049999,29.049999,2778600
2022-02-04,28.719999,29.070000,28.440001,28.450001,28.450001,3433700
2022-02-07,28.565001,28.775000,28.379999,28.420000,28.420000,2582300
2022-02-08,28.500000,28.980000,28.420000,28.900000,28.900000,2461900
2022-02-09,29.420000,30.180000,29.370001,29.900000,29.900000,3514000
2022-02-10,29.525000,30.309999,29.325001,29.410000,29.410000,2535600
2022-02-11,29.309999,29.514999,28.129999,28.200001,28.200001,3131600
2022-02-14,28.290001,28.549999,27.885000,28.110001,28.110001,2658700
2022-02-15,28.500000,28.990000,28.500000,28.820000,28.820000,2513400
2022-02-16,28.850000,29.045000,28.410000,28.910000,28.910000,1172000
2022-02-17,28.840000,29.030001,28.540001,28.629999,28.629999,1580400
2022-02-18,28.740000,29.120001,28.680000,28.910000,28.910000,1909600
2022-02-22,28.760000,28.900000,28.040001,28.320000,28.320000,1807900
2022-02-23,28.530001,28.570000,27.580000,27.660000,27.660000,1948100
2022-02-24,27.000000,27.219999,26.290001,26.770000,26.770000,5482400
2022-02-25,26.980000,27.840000,26.770000,27.780001,27.780001,2496400
2022-02-28,27.270000,27.379999,26.590000,27.040001,27.040001,2414700
2022-03-01,26.850000,27.000000,25.584999,25.750000,25.750000,3712600
2022-03-02,25.870001,26.500000,25.820000,26.170000,26.170000,2652400
