Date,Open,High,Low,Close,Adj Close,Volume
2021-10-11,216.199997,217.899994,213.839996,213.869995,208.753998,771800
2021-10-12,213.880005,215.639999,212.750000,213.600006,208.490463,871600
2021-10-13,214.289993,216.759995,213.199997,214.779999,209.642227,969500
2021-10-14,216.100006,221.779999,216.100006,221.429993,216.133163,1087100
2021-10-15,222.520004,224.520004,221.910004,223.470001,218.124359,956900
2021-10-18,221.899994,223.679993,220.830002,221.789993,216.484528,711700
2021-10-19,223.169998,224.119995,222.259995,223.240005,217.899857,542400
2021-10-20,223.479996,224.919998,223.139999,223.669998,218.319550,663400
2021-10-21,223.490005,224.570007,221.119995,224.529999,219.158997,521700
2021-10-22,225.529999,226.550003,224.429993,224.570007,219.198044,520400
2021-10-25,224.080002,226.339996,222.940002,225.509995,220.115555,605800
2021-10-26,225.869995,226.660004,223.559998,223.779999,218.426941,913600
2021-10-27,223.850006,224.350006,222.070007,222.199997,216.884720,759800
2021-10-28,221.500000,227.139999,218.710007,226.539993,221.120911,1122100
2021-10-29,225.850006,229.100006,225.539993,227.869995,222.419083,1480000
2021-11-01,228.210007,230.009995,225.419998,228.839996,223.365891,1122300
2021-11-02,229.500000,230.619995,227.240005,230.169998,224.664093,961800
2021-11-03,229.750000,229.919998,225.929993,229.279999,223.795364,882900
2021-11-04,229.880005,234.000000,229.880005,232.619995,227.055466,1183000
2021-11-05,234.610001,235.539993,233.309998,234.070007,228.470795,841100
2021-11-08,235.639999,236.389999,232.470001,233.449997,227.865616,683900
2021-11-09,232.889999,235.619995,231.779999,234.820007,229.202850,679200
2021-11-10,234.380005,236.429993,234.380005,234.710007,229.095490,645200
2021-11-11,234.149994,234.360001,232.440002,233.740005,228.148712,523000
2021-11-12,234.869995,238.750000,233.389999,238.589996,232.882660,1078500
2021-11-15,238.990005,241.610001,238.179993,239.020004,233.302383,756500
2021-11-16,240.050003,243.059998,239.860001,242.070007,236.279434,872600
2021-11-17,242.000000,243.270004,240.190002,242.639999,236.835785,957800
2021-11-18,242.509995,243.740005,240.139999,240.970001,235.205750,852400
2021-11-19,241.929993,243.080002,240.600006,241.940002,236.152527,1047800
2021-11-22,242.419998,244.300003,241.100006,242.110001,236.318466,801300
2021-11-23,242.919998,244.449997,241.839996,244.050003,238.212051,802700
2021-11-24,243.240005,244.050003,240.630005,241.759995,235.976822,888000
2021-11-26,237.529999,241.259995,234.160004,234.750000,229.134537,1061700
2021-11-29,236.649994,238.940002,235.220001,238.110001,232.414154,846400
2021-11-30,236.610001,236.720001,231.509995,232.149994,226.596710,2850700
2021-12-01,235.580002,237.679993,230.770004,230.809998,225.288788,1095100
2021-12-02,231.919998,236.100006,231.490005,235.119995,229.495667,989500
2021-12-03,235.619995,236.610001,232.839996,235.919998,230.276535,939100
2021-12-06,238.229996,241.850006,237.589996,239.270004,233.546402,969300
2021-12-07,240.600006,242.139999,238.839996,239.979996,234.239410,1090800
2021-12-08,240.869995,241.059998,236.460007,240.570007,234.815308,974300
2021-12-09,240.419998,243.619995,239.220001,241.610001,235.830429,662600
2021-12-10,242.770004,243.759995,240.899994,242.770004,236.962677,721600
2021-12-13,243.559998,244.740005,242.110001,243.429993,237.606873,1114300
2021-12-14,242.729996,243.809998,239.830002,241.699997,235.918289,860200
2021-12-15,243.059998,245.759995,241.330002,245.050003,239.188156,985800
2021-12-16,245.050003,246.619995,243.869995,245.389999,239.520004,1097100
2021-12-17,245.149994,245.740005,237.679993,238.179993,232.482468,1982100
2021-12-20,236.220001,236.600006,232.360001,235.559998,229.925156,1128500
2021-12-21,237.729996,238.339996,235.550003,236.690002,231.028122,889200
2021-12-22,237.020004,238.110001,236.139999,237.740005,232.053009,601700
2021-12-23,238.240005,241.460007,237.910004,240.500000,234.746979,614800
2021-12-27,241.929993,243.860001,240.539993,243.729996,237.899719,664300
2021-12-28,243.169998,245.880005,243.169998,245.710007,239.832367,635800
2021-12-29,246.000000,248.110001,244.899994,247.070007,241.159821,1038500
2021-12-30,246.389999,246.979996,245.000000,245.410004,240.728210,555200
2021-12-31,245.720001,247.589996,245.070007,246.800003,242.091705,533900
2022-01-03,247.300003,247.600006,240.389999,243.479996,238.835037,839700
2022-01-04,245.000000,248.740005,244.199997,247.580002,242.856827,797700
2022-01-05,248.020004,249.809998,246.470001,246.630005,241.924942,1120900
2022-01-06,247.130005,248.259995,244.869995,246.600006,241.895523,732600
2022-01-07,245.899994,247.369995,245.449997,246.130005,241.434479,695500
2022-01-10,245.449997,245.449997,241.789993,243.839996,239.188171,815300
2022-01-11,244.800003,244.800003,240.250000,244.130005,239.472641,696200
2022-01-12,244.960007,247.110001,244.220001,246.240005,241.542389,783700
2022-01-13,246.899994,248.160004,245.750000,247.009995,242.297684,702400
2022-01-14,245.479996,245.479996,242.199997,243.839996,239.188171,1078300
2022-01-18,241.839996,244.179993,238.990005,244.050003,239.394165,1107400
2022-01-19,244.729996,246.589996,241.850006,242.229996,237.608887,1159000
2022-01-20,243.570007,243.889999,237.110001,237.669998,233.135880,1136100
2022-01-21,238.399994,240.479996,236.539993,237.449997,232.920059,1572000
2022-01-24,235.000000,238.360001,230.169998,237.910004,233.371307,1363600
2022-01-25,234.320007,237.020004,230.100006,233.929993,229.467209,1150200
2022-01-26,235.110001,237.360001,230.350006,233.020004,228.574585,1064300
2022-01-27,234.820007,235.250000,228.520004,230.570007,226.171326,1068600
2022-01-28,229.580002,231.910004,225.199997,231.750000,227.328796,1200900
2022-01-31,230.250000,234.240005,229.119995,233.919998,229.457413,1271800
2022-02-01,234.789993,235.220001,230.360001,233.039993,228.594208,1113200
2022-02-02,232.050003,236.440002,231.460007,235.970001,231.468307,1839500
2022-02-03,236.880005,247.000000,236.880005,241.449997,236.843765,1555600
2022-02-04,239.580002,241.089996,228.880005,228.919998,224.552795,1726000
2022-02-07,229.070007,230.220001,224.350006,224.820007,220.531021,904500
2022-02-08,224.830002,227.490005,224.309998,225.470001,221.168610,1140000
2022-02-09,226.320007,228.009995,225.940002,226.750000,222.424194,1255600
2022-02-10,223.740005,224.889999,218.270004,219.830002,215.636215,1483200
2022-02-11,219.669998,221.470001,216.779999,217.720001,213.566467,1304100
2022-02-14,218.860001,220.850006,216.839996,219.169998,214.988815,1394700
2022-02-15,221.320007,222.759995,219.029999,219.740005,215.547928,958300
2022-02-16,219.000000,221.190002,217.470001,220.080002,215.881439,778700
2022-02-17,218.100006,220.149994,216.649994,217.160004,213.017166,815500
2022-02-18,216.460007,218.389999,215.020004,215.809998,211.692902,933100
2022-02-22,216.350006,216.940002,213.490005,214.910004,210.810074,1276400
2022-02-23,215.330002,217.169998,212.949997,213.490005,209.417160,1466000
2022-02-24,211.389999,215.110001,209.300003,214.139999,210.054764,1936500
2022-02-25,214.860001,219.130005,214.470001,218.429993,214.262924,1160600
2022-02-28,215.660004,217.899994,213.860001,216.339996,212.212799,1876300
2022-03-01,216.580002,217.479996,209.679993,210.860001,206.837326,1439800
2022-03-02,212.550003,215.610001,212.360001,214.169998,210.084198,1202500
2022-03-03,216.059998,217.259995,213.539993,215.320007,211.212265,1079600
2022-03-04,212.169998,213.710007,209.550003,212.130005,208.083115,1353400
2022-03-07,211.770004,211.880005,206.449997,206.529999,202.589951,1442800
2022-03-08,207.800003,210.169998,202.800003,203.520004,199.637375,1547000
2022-03-09,207.830002,211.110001,207.429993,207.770004,203.806290,950400
2022-03-10,204.839996,207.350006,203.690002,206.199997,202.266235,790000
2022-03-11,207.639999,208.419998,203.710007,203.860001,199.970886,886400
2022-03-14,205.559998,208.050003,205.009995,206.149994,202.217194,1080200
2022-03-15,207.559998,208.940002,206.020004,208.449997,204.473312,663100
2022-03-16,209.479996,211.440002,207.279999,209.990005,205.983948,1019900
2022-03-17,208.850006,212.110001,208.619995,211.380005,207.347427,850600
2022-03-18,212.339996,213.619995,209.330002,212.330002,208.279312,1710600
2022-03-21,212.500000,213.580002,210.729996,211.990005,207.945786,1059200
2022-03-22,213.250000,213.940002,212.119995,212.500000,208.446045,750900
2022-03-23,211.789993,212.850006,209.330002,209.350006,205.356155,727600
2022-03-24,210.039993,210.869995,209.320007,210.690002,206.670593,945600
2022-03-25,211.570007,212.970001,210.720001,211.750000,207.710358,609400
2022-03-28,214.350006,214.449997,211.300003,214.309998,210.221512,960900
2022-03-29,216.639999,220.300003,216.169998,218.570007,214.400253,843500
2022-03-30,216.559998,217.860001,213.589996,214.660004,211.746765,865900
2022-03-31,213.509995,214.850006,209.360001,209.399994,206.558136,1507900
2022-04-01,210.699997,210.960007,206.869995,210.149994,207.297958,1015100
2022-04-04,208.580002,209.470001,205.589996,208.949997,206.114243,795000
2022-04-05,208.210007,209.759995,205.880005,206.429993,203.628448,712400
2022-04-06,203.679993,206.410004,202.679993,205.139999,202.355957,1086000
2022-04-07,203.529999,205.860001,201.860001,204.929993,202.148804,1066100
2022-04-08,205.070007,205.789993,202.919998,203.649994,200.886185,821700
2022-04-11,203.149994,204.610001,200.440002,200.809998,198.084717,760900
2022-04-12,201.360001,203.949997,198.789993,199.809998,197.098297,1009500
2022-04-13,199.500000,200.000000,198.660004,199.339996,196.634674,1021400
2022-04-14,199.500000,199.619995,196.000000,196.270004,193.606339,1540800
2022-04-18,195.960007,198.320007,195.250000,196.630005,193.961456,968800
2022-04-19,198.320007,203.570007,197.660004,203.389999,200.629715,956900
2022-04-20,205.639999,208.639999,205.210007,206.539993,203.736954,876700
2022-04-21,208.639999,210.589996,207.210007,208.289993,205.463196,1093000
2022-04-22,206.699997,207.589996,203.149994,203.350006,200.590256,906400
2022-04-25,203.179993,204.750000,199.330002,204.119995,201.349808,957900
2022-04-26,202.270004,204.000000,198.520004,198.600006,195.904724,1046700
2022-04-27,198.600006,201.710007,197.759995,198.309998,195.618652,1163700
2022-04-28,200.119995,204.039993,198.419998,202.720001,199.968796,1113000
2022-04-29,201.589996,203.539993,196.429993,197.110001,194.434937,1922900
2022-05-02,197.169998,201.660004,195.789993,200.009995,197.295578,1881900
2022-05-03,209.899994,213.839996,199.860001,204.199997,201.428711,1916700
2022-05-04,204.910004,213.720001,203.820007,213.009995,210.119156,1786000
2022-05-05,211.089996,212.660004,206.869995,208.169998,205.344849,1955300
2022-05-06,206.970001,210.279999,204.169998,209.270004,206.429916,1612600
2022-05-09,207.089996,211.929993,206.279999,209.440002,206.597610,1634100
2022-05-10,211.550003,211.919998,203.080002,203.559998,200.797409,1554500
2022-05-11,203.449997,206.460007,202.020004,203.830002,201.063751,1040100
2022-05-12,203.369995,207.839996,202.770004,207.589996,204.772705,1590800
2022-05-13,208.559998,209.240005,204.449997,207.639999,204.822037,1492000
2022-05-16,205.289993,207.979996,201.789993,207.070007,204.259781,921600
2022-05-17,209.740005,212.449997,208.080002,212.240005,209.359619,958500
2022-05-18,209.779999,210.229996,202.830002,203.389999,200.629715,1208800
2022-05-19,201.110001,203.649994,198.910004,200.800003,198.074860,1603500
2022-05-20,201.449997,202.089996,197.830002,201.770004,199.031693,1179300
2022-05-23,204.199997,204.279999,201.429993,202.490005,199.741928,1007400
2022-05-24,201.800003,204.309998,198.759995,203.220001,200.462021,1169800
2022-05-25,202.229996,203.179993,199.419998,201.929993,199.189514,870200
2022-05-26,203.660004,205.350006,202.979996,204.330002,201.556961,835400
2022-05-27,205.770004,206.830002,204.119995,206.740005,203.934250,792400
2022-05-31,204.350006,209.070007,202.580002,208.070007,205.246201,2172200
2022-06-01,209.419998,209.679993,203.589996,205.979996,203.184555,817800
2022-06-02,207.520004,209.460007,204.830002,209.259995,206.420044,483500
2022-06-03,207.570007,208.320007,206.580002,207.830002,205.009460,514300
2022-06-06,208.339996,209.470001,207.550003,208.169998,205.344849,458400
2022-06-07,207.470001,210.419998,204.320007,210.139999,207.288101,922600
2022-06-08,208.289993,209.130005,205.789993,206.339996,203.539673,677800
2022-06-09,205.710007,208.229996,203.160004,203.360001,200.600128,810600
2022-06-10,199.839996,200.289993,196.710007,196.770004,194.099564,1173500
2022-06-13,192.910004,194.350006,187.460007,188.619995,186.060150,1297400
2022-06-14,188.610001,189.820007,184.449997,185.929993,183.406662,1206600
2022-06-15,187.119995,189.070007,184.339996,186.410004,183.880157,1304300
2022-06-16,183.169998,183.169998,178.070007,179.169998,176.738403,1324000
2022-06-17,178.649994,180.460007,177.330002,178.250000,175.830902,2128600
2022-06-21,180.119995,182.259995,178.610001,181.279999,178.819778,1029300
2022-06-22,178.679993,182.699997,178.479996,181.380005,178.918427,1019900
2022-06-23,181.029999,182.979996,178.149994,180.100006,177.655792,695000
2022-06-24,181.429993,187.929993,180.990005,187.919998,185.369659,1507200
2022-06-27,188.889999,189.389999,185.820007,187.300003,184.758072,1381100
2022-06-28,188.199997,189.559998,182.619995,182.990005,180.506577,979300
2022-06-29,182.149994,182.179993,178.860001,180.789993,179.533371,749500
2022-06-30,178.979996,182.399994,177.770004,182.250000,180.983231,1486900
2022-07-01,182.949997,185.250000,180.259995,182.889999,181.618774,779400
2022-07-05,179.970001,183.080002,177.029999,182.660004,181.390381,1428400
2022-07-06,183.229996,183.720001,180.589996,182.229996,180.963364,937800
2022-07-07,182.990005,186.000000,181.179993,185.639999,184.349670,1220900
2022-07-08,184.000000,185.229996,181.960007,182.270004,181.003098,1149200
2022-07-11,181.570007,183.729996,181.279999,182.940002,181.668442,1127500
2022-07-12,182.669998,186.649994,182.160004,182.860001,181.588989,800700
2022-07-13,179.710007,180.570007,178.190002,178.300003,177.060684,1154100
2022-07-14,175.369995,176.240005,173.520004,175.970001,174.746887,1271300
2022-07-15,178.860001,181.169998,177.070007,180.619995,179.364548,858000
2022-07-18,181.119995,182.240005,179.669998,180.289993,179.036850,863900
2022-07-19,182.470001,187.729996,181.919998,187.460007,186.157028,1152100
2022-07-20,187.369995,188.869995,186.149994,188.320007,187.011047,765700
2022-07-21,188.059998,190.750000,186.779999,190.690002,189.364563,619200
2022-07-22,191.039993,192.770004,190.559998,191.559998,190.228516,743700
2022-07-25,190.960007,191.839996,190.070007,191.500000,190.168930,581300
2022-07-26,190.820007,194.100006,190.320007,193.759995,192.413223,894800
2022-07-27,194.000000,198.910004,192.770004,197.820007,196.445007,850500
2022-07-28,198.729996,203.860001,198.729996,203.500000,202.085526,1035200
2022-07-29,204.520004,208.389999,203.860001,207.759995,206.315903,1275900
2022-08-01,206.080002,208.259995,206.020004,207.350006,205.908768,1087000
2022-08-02,203.000000,213.210007,202.119995,204.899994,203.475784,2000300
2022-08-03,205.470001,209.539993,204.550003,208.539993,207.090485,1276200
2022-08-04,208.660004,210.449997,207.580002,209.419998,207.964371,1097000
2022-08-05,207.610001,210.869995,206.690002,210.759995,209.295059,1058700
2022-08-08,212.699997,213.449997,208.550003,209.320007,207.865082,707500
2022-08-09,209.009995,210.199997,208.179993,209.020004,207.567154,902300
2022-08-10,212.809998,213.789993,211.800003,213.449997,211.966370,725800
2022-08-11,215.380005,216.160004,212.770004,213.169998,211.688309,649800
2022-08-12,214.309998,217.600006,213.020004,217.460007,215.948502,595300
2022-08-15,213.500000,215.750000,212.529999,213.990005,212.502625,2414900
2022-08-16,213.399994,217.910004,212.589996,217.059998,215.551270,818600
2022-08-17,215.050003,216.850006,213.520004,215.970001,214.468857,652200
2022-08-18,216.759995,216.779999,215.029999,216.600006,215.094482,453300
2022-08-19,215.750000,216.029999,212.929993,213.699997,212.214630,1030800
2022-08-22,210.770004,210.779999,205.699997,206.429993,204.995148,1138900
2022-08-23,205.429993,207.789993,204.880005,205.399994,203.972305,742600
2022-08-24,205.869995,206.059998,204.570007,205.619995,204.190781,654000
2022-08-25,206.250000,207.830002,205.529999,207.820007,206.375504,618200
2022-08-26,208.639999,208.639999,199.199997,199.470001,198.083542,860900
2022-08-29,198.279999,198.539993,196.059998,196.539993,195.173889,1297700
2022-08-30,197.100006,197.449997,193.970001,196.160004,194.796555,1466000
2022-08-31,197.460007,197.460007,194.110001,194.830002,193.475784,1321500
2022-09-01,194.009995,197.470001,193.059998,197.240005,195.869049,1159200
2022-09-02,198.279999,199.880005,194.080002,195.399994,194.041824,1303000
2022-09-06,195.529999,197.789993,193.440002,197.550003,196.176880,1786900
2022-09-07,197.809998,203.149994,197.089996,202.789993,201.380447,1417300
2022-09-08,201.860001,204.550003,200.039993,203.960007,202.542328,1160400
2022-09-09,204.539993,207.509995,204.490005,206.509995,205.074600,1026500
2022-09-12,207.110001,209.330002,206.009995,207.580002,206.137161,1270600
2022-09-13,203.070007,204.990005,199.520004,200.429993,199.036850,1064800
2022-09-14,200.539993,201.139999,196.460007,198.630005,197.249374,1632000
2022-09-15,199.210007,200.179993,194.350006,194.789993,193.436066,1103200
2022-09-16,193.270004,195.289993,191.199997,194.059998,192.711136,2016700
2022-09-19,192.600006,197.580002,192.490005,197.449997,196.077576,727400
2022-09-20,195.559998,195.559998,192.729996,194.839996,193.485718,891200
2022-09-21,196.779999,199.050003,192.649994,192.720001,191.380463,1078200
2022-09-22,192.550003,192.740005,188.380005,188.889999,187.577072,815900
2022-09-23,187.529999,188.199997,184.679993,187.729996,186.425140,1092700
2022-09-26,187.179993,189.910004,186.289993,187.240005,185.938553,1499600
2022-09-27,188.479996,189.460007,182.039993,183.509995,182.234467,1317600
2022-09-28,185.210007,189.929993,184.050003,188.470001,187.159988,1153000
2022-09-29,184.720001,186.279999,182.250000,183.880005,183.880005,1297500
2022-09-30,184.720001,185.539993,180.270004,180.649994,180.649994,1450800
2022-10-03,182.550003,188.419998,181.369995,186.949997,186.949997,977400
2022-10-04,189.660004,193.399994,189.259995,193.229996,193.229996,773700
2022-10-05,191.020004,194.500000,190.149994,192.809998,192.809998,906900
2022-10-06,193.250000,194.059998,191.029999,191.899994,191.899994,1478900
2022-10-07,190.259995,190.380005,186.479996,187.410004,187.410004,815800
2022-10-10,189.250000,189.250000,184.529999,186.130005,186.130005,1092700
