Date,Open,High,Low,Close,Adj Close,Volume
2021-10-11,67.169998,67.940002,65.889999,65.889999,64.297791,173600
2021-10-12,65.660004,66.389999,65.290001,66.269997,64.668610,181600
2021-10-13,66.349998,66.440002,64.919998,66.169998,64.571022,215900
2021-10-14,66.480003,67.419998,65.540001,66.750000,65.137016,176800
2021-10-15,67.059998,67.330002,66.110001,66.139999,64.541748,181200
2021-10-18,65.690002,65.709999,65.040001,65.250000,63.673260,148000
2021-10-19,64.300003,65.639999,64.300003,64.800003,63.234135,214300
2021-10-20,64.800003,65.529999,64.379997,65.349998,63.770840,110300
2021-10-21,64.949997,67.000000,64.760002,66.980003,65.361450,213300
2021-10-22,67.000000,68.410004,66.830002,68.360001,66.708115,226400
2021-10-25,68.510002,68.889999,67.959999,68.610001,66.952065,176200
2021-10-26,68.940002,69.589996,68.510002,69.199997,67.527809,141300
2021-10-27,69.349998,70.279999,68.339996,68.949997,67.283844,322900
2021-10-28,69.110001,70.650002,69.029999,70.559998,68.854942,241200
2021-10-29,69.620003,69.620003,62.820000,63.480000,61.946030,1155300
2021-11-01,61.889999,64.150002,59.650002,63.959999,62.414429,830000
2021-11-02,63.810001,64.309998,63.119999,64.019997,62.472973,365900
2021-11-03,63.779999,65.059998,63.240002,64.839996,63.273155,283800
2021-11-04,64.900002,64.900002,62.119999,62.340000,60.833580,315400
2021-11-05,62.759998,63.910000,62.599998,63.759998,62.219261,183600
2021-11-08,63.740002,64.010002,62.560001,62.970001,61.448357,262700
2021-11-09,62.680000,62.700001,61.529999,61.750000,60.257832,152100
2021-11-10,61.419998,61.889999,61.099998,61.369999,59.887016,172900
2021-11-11,61.230000,61.520000,60.180000,60.930000,59.457653,174100
2021-11-12,60.630001,61.430000,60.009998,61.340000,60.163841,147200
2021-11-15,61.509998,61.650002,60.099998,60.480000,59.320332,167100
2021-11-16,60.389999,60.959999,59.759998,60.009998,58.859341,358200
2021-11-17,59.939999,60.169998,58.740002,59.459999,58.319893,384700
2021-11-18,59.630001,59.730000,58.419998,59.259998,58.123722,252200
2021-11-19,58.480000,59.310001,57.900002,58.020000,56.907501,630200
2021-11-22,58.610001,59.930000,58.189999,59.240002,58.104111,158400
2021-11-23,59.169998,59.689999,59.040001,59.299999,58.162956,210400
2021-11-24,59.150002,59.150002,57.849998,58.619999,57.495995,212200
2021-11-26,56.860001,58.689999,56.759998,58.310001,57.191944,176400
2021-11-29,58.830002,58.830002,56.410000,56.790001,55.701088,416700
2021-11-30,56.330002,56.330002,54.889999,55.320000,54.259274,558500
