Date,Open,High,Low,Close,Adj Close,Volume
2021-10-11,5.130000,5.310000,5.040000,5.060000,5.060000,15684500
2021-10-12,5.020000,5.070000,4.890000,4.980000,4.980000,15446600
2021-10-13,4.950000,5.140000,4.860000,5.120000,5.120000,15583100
2021-10-14,5.220000,5.300000,5.110000,5.170000,5.170000,18005700
2021-10-15,5.250000,5.270000,5.100000,5.110000,5.110000,12076700
2021-10-18,5.180000,5.300000,4.850000,4.860000,4.860000,25544300
2021-10-19,4.870000,5.050000,4.840000,4.970000,4.970000,12645400
2021-10-20,4.890000,5.200000,4.850000,5.190000,5.190000,13895200
2021-10-21,5.190000,5.210000,4.890000,4.940000,4.940000,21345700
2021-10-22,4.960000,5.090000,4.890000,5.010000,5.010000,17828500
2021-10-25,5.100000,5.390000,5.090000,5.380000,5.380000,20466700
2021-10-26,5.280000,5.380000,5.230000,5.270000,5.270000,11921900
2021-10-27,5.210000,5.410000,5.070000,5.100000,5.100000,22722000
2021-10-28,5.080000,5.220000,5.010000,5.160000,5.160000,16279200
2021-10-29,5.090000,5.180000,4.880000,4.880000,4.880000,16354900
2021-11-01,4.950000,5.140000,4.910000,5.020000,5.020000,16372100
2021-11-02,5.020000,5.130000,4.950000,5.050000,5.050000,14273300
2021-11-03,4.970000,5.150000,4.940000,5.060000,5.060000,16814900
2021-11-04,5.050000,5.280000,4.830000,4.890000,4.890000,25807100
2021-11-05,4.980000,5.100000,4.890000,4.970000,4.970000,17437100
2021-11-08,5.000000,5.100000,4.940000,5.090000,5.090000,17050300
2021-11-09,5.020000,5.120000,4.750000,4.880000,4.880000,20405600
2021-11-10,4.830000,4.960000,4.700000,4.820000,4.820000,21424300
2021-11-11,4.890000,5.370000,4.840000,5.260000,5.260000,31841900
2021-11-12,5.140000,5.340000,5.140000,5.210000,5.210000,17749700
2021-11-15,5.280000,5.420000,5.160000,5.340000,5.340000,18243200
2021-11-16,5.370000,5.420000,5.180000,5.270000,5.270000,19134800
2021-11-17,5.180000,5.400000,5.150000,5.210000,5.210000,28618700
2021-11-18,5.240000,5.310000,4.950000,5.160000,5.160000,19641500
2021-11-19,5.000000,5.030000,4.750000,4.810000,4.810000,27213900
2021-11-22,4.780000,5.010000,4.780000,4.870000,4.870000,21899000
2021-11-23,4.980000,5.120000,4.900000,4.940000,4.940000,18546900
2021-11-24,4.910000,5.030000,4.870000,4.970000,4.970000,10796200
2021-11-26,4.740000,4.970000,4.720000,4.960000,4.960000,15256100
2021-11-29,4.920000,4.960000,4.730000,4.800000,4.800000,21871100
2021-11-30,4.700000,4.780000,4.390000,4.480000,4.480000,32971700
2021-12-01,4.610000,4.650000,4.250000,4.250000,4.250000,24061400
2021-12-02,4.200000,4.510000,4.190000,4.490000,4.490000,20909200
2021-12-03,4.600000,4.670000,4.410000,4.570000,4.570000,20666000
2021-12-06,4.640000,4.990000,4.540000,4.910000,4.910000,43788800
2021-12-07,4.970000,5.190000,4.910000,5.040000,5.040000,31279100
2021-12-08,5.050000,5.360000,5.050000,5.300000,5.300000,30971000
2021-12-09,5.230000,5.450000,5.190000,5.330000,5.330000,26327600
2021-12-10,5.410000,5.510000,5.310000,5.500000,5.500000,25110100
2021-12-13,5.100000,5.150000,4.910000,5.000000,5.000000,77452100
2021-12-14,4.910000,5.040000,4.730000,4.740000,4.740000,30530600
2021-12-15,4.810000,4.840000,4.620000,4.760000,4.760000,26800100
2021-12-16,4.830000,5.010000,4.510000,4.550000,4.550000,33114400
2021-12-17,4.550000,4.610000,4.380000,4.510000,4.510000,143285100
2021-12-20,4.400000,4.430000,4.230000,4.360000,4.360000,27961000
2021-12-21,4.400000,4.570000,4.400000,4.490000,4.490000,18868600
2021-12-22,4.530000,4.610000,4.440000,4.530000,4.530000,17378200
2021-12-23,4.520000,4.660000,4.520000,4.650000,4.650000,13970200
2021-12-27,4.660000,4.940000,4.570000,4.930000,4.930000,16200100
2021-12-28,4.940000,5.010000,4.900000,4.920000,4.920000,10892900
2021-12-29,4.900000,5.100000,4.850000,5.090000,5.090000,15070600
2021-12-30,5.080000,5.130000,4.790000,4.800000,4.800000,14341700
2021-12-31,4.790000,4.820000,4.600000,4.660000,4.660000,15201700
2022-01-03,4.640000,4.790000,4.610000,4.690000,4.690000,15541500
2022-01-04,4.720000,4.880000,4.680000,4.810000,4.810000,16931300
2022-01-05,4.880000,4.900000,4.450000,4.460000,4.460000,23646100
2022-01-06,4.540000,4.580000,4.390000,4.440000,4.440000,17313500
2022-01-07,4.490000,4.540000,4.420000,4.450000,4.450000,14116600
2022-01-10,4.400000,4.610000,4.370000,4.610000,4.610000,17217200
2022-01-11,4.620000,4.840000,4.550000,4.750000,4.750000,20764200
2022-01-12,4.850000,5.120000,4.800000,5.040000,5.040000,32581600
2022-01-13,4.950000,5.030000,4.780000,4.800000,4.800000,17974600
2022-01-14,4.700000,4.930000,4.700000,4.930000,4.930000,12925000
2022-01-18,4.970000,5.010000,4.620000,4.650000,4.650000,15989800
2022-01-19,4.660000,4.710000,4.520000,4.570000,4.570000,14187200
2022-01-20,4.520000,4.620000,4.230000,4.240000,4.240000,22128800
2022-01-21,4.180000,4.250000,3.990000,4.030000,4.030000,27366300
2022-01-24,3.930000,4.170000,3.810000,4.160000,4.160000,20628500
2022-01-25,4.080000,4.200000,3.960000,4.160000,4.160000,19236900
2022-01-26,4.250000,4.390000,4.100000,4.180000,4.180000,21809300
2022-01-27,4.250000,4.270000,3.930000,4.160000,4.160000,26714800
2022-01-28,4.250000,4.380000,4.140000,4.310000,4.310000,21745400
2022-01-31,4.310000,4.490000,4.220000,4.400000,4.400000,16299700
2022-02-01,4.320000,4.690000,4.310000,4.600000,4.600000,18094300
2022-02-02,4.680000,4.820000,4.560000,4.770000,4.770000,25829600
2022-02-03,4.630000,4.740000,4.530000,4.550000,4.550000,20295700
2022-02-04,4.550000,4.820000,4.550000,4.670000,4.670000,23157300
2022-02-07,4.590000,4.670000,4.450000,4.580000,4.580000,17026800
2022-02-08,4.600000,4.610000,4.380000,4.430000,4.430000,13962500
2022-02-09,4.430000,4.630000,4.410000,4.560000,4.560000,25481600
2022-02-10,4.490000,4.790000,4.490000,4.690000,4.690000,24943200
2022-02-11,4.710000,4.850000,4.690000,4.830000,4.830000,18716000
2022-02-14,4.800000,4.820000,4.620000,4.680000,4.680000,24408400
2022-02-15,4.600000,4.830000,4.570000,4.780000,4.780000,19379400
2022-02-16,4.800000,4.910000,4.690000,4.720000,4.720000,16189500
2022-02-17,4.700000,4.860000,4.670000,4.750000,4.750000,23424900
2022-02-18,4.700000,4.770000,4.590000,4.660000,4.660000,18567600
