Date,Open,High,Low,Close,Adj Close,Volume
2021-10-11,9.360000,9.550000,8.960000,9.000000,8.906240,2719900
2021-10-12,9.000000,9.140000,8.810000,8.820000,8.728114,2876400
2021-10-13,8.700000,8.990000,8.460000,8.960000,8.866655,7039900
2021-10-14,9.160000,9.190000,8.900000,8.980000,8.886447,3896200
2021-10-15,9.240000,9.280000,9.020000,9.080000,8.985404,3364000
2021-10-18,9.190000,9.610000,9.180000,9.430000,9.331760,3209700
2021-10-19,9.410000,9.460000,9.000000,9.260000,9.163530,3578800
2021-10-20,9.190000,9.490000,9.050000,9.410000,9.311968,6320700
2021-10-21,9.410000,9.470000,9.040000,9.210000,9.114051,4372500
2021-10-22,9.130000,9.300000,8.940000,9.140000,9.044782,2300200
2021-10-25,9.370000,9.620000,9.230000,9.450000,9.351551,4144900
2021-10-26,9.470000,9.920000,9.360000,9.840000,9.737488,9335500
2021-10-27,9.500000,9.610000,8.960000,9.090000,8.995301,4954000
2021-10-28,8.850000,9.230000,8.740000,9.090000,8.995301,4285800
2021-10-29,9.130000,9.170000,8.420000,8.560000,8.470824,4143700
2021-11-01,8.720000,9.000000,8.650000,8.840000,8.747906,2110300
2021-11-02,9.060000,9.080000,8.850000,9.010000,8.916135,2383700
2021-11-03,8.740000,9.370000,8.590000,9.130000,9.034885,2569500
2021-11-04,9.390000,9.660000,8.880000,9.100000,9.005197,3598500
2021-11-05,9.240000,9.510000,9.240000,9.360000,9.262489,2176600
2021-11-08,9.460000,9.790000,9.280000,9.380000,9.282281,2673700
2021-11-09,9.290000,9.670000,9.110000,9.650000,9.549467,1661000
2021-11-10,9.340000,9.590000,9.030000,9.080000,8.985404,2551100
2021-11-11,9.080000,9.220000,8.980000,9.010000,8.916135,2238200
2021-11-12,8.840000,9.000000,8.560000,8.650000,8.559884,2231300
2021-11-15,8.590000,8.690000,8.360000,8.480000,8.391656,2158200
2021-11-16,8.510000,8.710000,8.340000,8.710000,8.619260,2248800
2021-11-17,8.520000,8.700000,8.260000,8.330000,8.243218,2915500
2021-11-18,8.330000,8.430000,7.940000,8.030000,7.946344,3424400
2021-11-19,7.680000,7.860000,7.300000,7.360000,7.283324,4411900
2021-11-22,7.340000,7.590000,7.250000,7.250000,7.174470,2983600
2021-11-23,7.460000,7.810000,7.460000,7.630000,7.550511,3570800
2021-11-24,7.530000,7.720000,7.500000,7.540000,7.461449,1329000
2021-11-26,7.000000,7.200000,6.800000,7.160000,7.085408,2345500
2021-11-29,7.440000,7.470000,7.060000,7.180000,7.105199,2326000
2021-11-30,6.920000,7.100000,6.760000,7.060000,6.986450,3506200
2021-12-01,7.350000,7.440000,6.820000,6.940000,6.887211,4413100
2021-12-02,6.820000,7.310000,6.710000,7.290000,7.234548,2880700
2021-12-03,7.130000,7.690000,7.130000,7.480000,7.423103,3072300
2021-12-06,7.580000,7.850000,7.360000,7.680000,7.621582,3199900
2021-12-07,8.320000,8.410000,8.000000,8.060000,7.998692,2434800
2021-12-08,8.020000,8.540000,8.010000,8.470000,8.405572,2372400
2021-12-09,8.300000,8.540000,8.190000,8.450000,8.385725,2605000
2021-12-10,8.700000,9.130000,8.530000,9.060000,8.991085,3326800
2021-12-13,8.880000,8.910000,8.450000,8.490000,8.425421,3171100
2021-12-14,8.340000,8.660000,8.160000,8.190000,8.127702,1979100
2021-12-15,8.030000,8.390000,7.900000,8.290000,8.226942,3123700
2021-12-16,8.370000,8.600000,8.180000,8.280000,8.217017,2601800
2021-12-17,8.200000,8.560000,7.820000,8.010000,7.949072,11234400
2021-12-20,7.650000,7.800000,7.480000,7.740000,7.681125,2331700
2021-12-21,8.130000,8.750000,8.090000,8.720000,8.653671,2973000
2021-12-22,8.660000,8.830000,8.510000,8.800000,8.733063,1593800
2021-12-23,8.850000,8.910000,8.680000,8.750000,8.683443,1367800
2021-12-27,8.760000,8.990000,8.550000,8.940000,8.871997,1392600
2021-12-28,8.970000,9.050000,8.670000,8.780000,8.713214,1517000
2021-12-29,8.730000,8.850000,8.490000,8.530000,8.465117,1549900
2021-12-30,8.510000,8.740000,8.480000,8.500000,8.435345,1121100
2021-12-31,8.420000,8.610000,8.310000,8.450000,8.385725,1732100
2022-01-03,8.450000,9.090000,8.440000,9.070000,9.001008,2368100
2022-01-04,9.160000,9.680000,9.160000,9.570000,9.497205,4659900
2022-01-05,9.770000,9.800000,9.010000,9.020000,8.951389,3066200
2022-01-06,9.300000,9.740000,9.250000,9.690000,9.616292,3229800
2022-01-07,9.680000,9.850000,9.590000,9.640000,9.566674,2180000
2022-01-10,9.650000,9.990000,9.520000,9.980000,9.904086,3416200
2022-01-11,10.000000,10.390000,9.970000,10.260000,10.181957,2809300
2022-01-12,10.420000,10.420000,9.950000,9.980000,9.904086,2751200
2022-01-13,10.080000,10.260000,9.890000,9.920000,9.844543,1415700
2022-01-14,9.870000,10.400000,9.870000,10.310000,10.231577,3229000
2022-01-18,10.500000,10.540000,10.040000,10.200000,10.122413,2289500
2022-01-19,10.400000,10.410000,9.980000,10.100000,10.023173,2115700
2022-01-20,10.000000,10.310000,9.780000,9.800000,9.725456,2384700
2022-01-21,9.570000,9.790000,9.330000,9.400000,9.328499,2505100
