Date,Open,High,Low,Close,Adj Close,Volume
2021-10-11,446.989990,452.059998,445.070007,445.519989,441.723846,97500
2021-10-12,449.019989,451.100006,439.239990,440.859985,437.103546,198900
2021-10-13,443.230011,446.570007,439.350006,440.369995,436.617737,180000
2021-10-14,441.929993,453.279999,439.220001,452.869995,449.011230,254400
2021-10-15,453.690002,460.209991,452.160004,453.220001,449.358215,182200
2021-10-18,451.000000,461.040009,450.019989,460.459991,456.536560,168100
2021-10-19,463.989990,467.380005,460.470001,464.510010,460.552032,148200
2021-10-20,467.450012,469.420013,460.910004,463.839996,459.887787,200700
2021-10-21,462.600006,500.209991,461.510010,499.329987,495.075317,393000
2021-10-22,501.299988,514.960022,497.420013,503.079987,498.793396,317500
2021-10-25,503.230011,517.020020,502.119995,508.619995,504.286194,182500
2021-10-26,509.859985,510.269989,499.250000,503.619995,499.328827,227200
2021-10-27,503.329987,508.929993,499.059998,499.779999,495.521545,150700
2021-10-28,501.000000,514.119995,501.000000,506.640015,502.323090,162600
2021-10-29,505.200012,519.010010,505.200012,515.159973,510.770477,206900
2021-11-01,516.010010,520.109985,510.059998,514.950012,510.562317,212100
2021-11-02,517.890015,521.510010,512.150024,515.409973,511.018280,235600
2021-11-03,516.940002,519.000000,509.230011,516.429993,512.029724,236300
2021-11-04,519.979980,524.270020,518.090027,522.169983,517.720764,155500
2021-11-05,524.150024,528.750000,516.809998,517.969971,513.556519,175300
2021-11-08,521.630005,521.630005,515.039978,520.580017,516.144287,167900
2021-11-09,519.960022,528.179993,515.890015,526.309998,522.628601,199900
2021-11-10,524.340027,529.090027,519.570007,526.520020,522.837158,246300
2021-11-11,532.729980,554.890015,532.729980,553.919983,550.045410,399200
2021-11-12,555.169983,572.309998,550.640015,571.280029,567.284119,270200
2021-11-15,568.679993,577.659973,567.510010,569.880005,565.893860,211900
2021-11-16,568.270020,581.750000,568.270020,573.729980,569.716980,279300
2021-11-17,575.369995,578.929993,567.239990,573.000000,568.992004,189700
2021-11-18,573.909973,580.020020,573.000000,577.849976,573.808044,164000
2021-11-19,581.820007,582.270020,576.380005,577.000000,572.964050,203200
2021-11-22,577.000000,579.130005,557.539978,559.219971,555.308411,238100
2021-11-23,557.309998,563.210022,554.409973,561.570007,557.641968,200400
2021-11-24,559.260010,570.130005,557.869995,568.460022,564.483765,129200
2021-11-26,566.380005,570.000000,557.390015,559.190002,555.278687,88900
2021-11-29,564.380005,569.570007,555.969971,560.099976,556.182251,180800
2021-11-30,556.979980,562.330017,545.960022,554.119995,550.244019,487000
2021-12-01,560.010010,572.760010,551.640015,552.219971,548.357300,313500
2021-12-02,553.179993,559.950012,550.989990,556.700012,552.806091,204600
2021-12-03,557.729980,557.729980,538.409973,544.840027,541.029053,213900
2021-12-06,549.020020,549.630005,537.500000,547.950012,544.117310,229100
2021-12-07,555.150024,564.169983,550.880005,563.169983,559.230774,219100
2021-12-08,563.500000,566.039978,552.530029,564.770020,560.819641,158300
2021-12-09,564.770020,566.059998,547.640015,549.390015,545.547180,166000
2021-12-10,552.960022,567.750000,552.590027,562.669983,558.734253,205000
2021-12-13,561.770020,566.159973,556.039978,562.200012,558.267578,209200
2021-12-14,556.979980,561.400024,553.000000,558.700012,554.791992,287300
2021-12-15,559.080017,568.409973,550.590027,567.549988,563.580139,424300
2021-12-16,570.109985,571.450012,542.020020,551.559998,547.701965,348100
2021-12-17,551.630005,553.320007,536.250000,540.640015,536.858398,604900
2021-12-20,536.159973,540.679993,522.460022,538.270020,534.504944,440800
2021-12-21,543.739990,547.210022,529.869995,541.460022,537.672668,404300
2021-12-22,543.799988,549.590027,539.039978,549.130005,545.289063,221200
2021-12-23,546.489990,558.150024,546.489990,549.650024,545.805420,246600
2021-12-27,553.000000,561.510010,547.960022,560.909973,556.986572,327900
2021-12-28,562.510010,565.580017,550.109985,561.210022,557.284546,264600
2021-12-29,563.739990,569.000000,558.789978,567.630005,563.659607,180500
2021-12-30,566.640015,569.460022,552.869995,560.809998,556.887268,208500
2021-12-31,560.809998,569.210022,557.479980,566.000000,562.041016,145000
2022-01-03,566.000000,566.000000,540.239990,550.250000,546.401123,286000
2022-01-04,552.140015,555.640015,546.809998,549.890015,546.043701,200800
2022-01-05,546.030029,551.760010,528.210022,529.380005,525.677185,278400
2022-01-06,524.419983,532.760010,510.760010,520.520020,516.879150,280900
2022-01-07,517.820007,519.469971,502.190002,503.170013,499.650482,316000
2022-01-10,497.029999,497.250000,485.290009,496.309998,492.838440,544400
2022-01-11,496.309998,505.820007,488.440002,502.059998,498.548248,386100
2022-01-12,505.000000,520.599976,505.000000,512.809998,509.223053,469200
2022-01-13,513.469971,514.770020,502.570007,507.230011,503.682068,434900
2022-01-14,501.119995,503.829987,483.000000,494.100006,490.643921,332100
2022-01-18,484.489990,497.579987,477.130005,493.910004,490.455261,353900
2022-01-19,497.359985,504.350006,490.380005,490.660004,487.227966,244300
2022-01-20,493.799988,502.700012,475.929993,476.429993,473.097504,277400
2022-01-21,476.459991,484.250000,469.019989,470.880005,467.586334,337100
2022-01-24,465.000000,479.799988,449.559998,477.619995,474.279175,632600
2022-01-25,468.500000,474.739990,455.380005,459.989990,456.772491,409600
2022-01-26,465.459991,473.140015,447.779999,451.260010,448.103607,319000
2022-01-27,458.609985,462.779999,449.950012,451.750000,448.590149,322800
2022-01-28,452.820007,459.760010,441.149994,459.720001,456.504395,285600
2022-01-31,458.970001,477.100006,458.049988,476.250000,472.918762,303000
2022-02-01,475.779999,482.750000,465.470001,473.730011,470.416412,348900
2022-02-02,474.799988,479.559998,469.260010,471.269989,467.973602,253700
2022-02-03,463.619995,469.290009,457.100006,458.049988,454.846039,314500
2022-02-04,455.929993,457.709991,447.470001,448.619995,445.482056,370200
2022-02-07,451.769989,455.600006,445.239990,449.100006,445.958679,356800
2022-02-08,448.420013,456.019989,441.750000,452.170013,449.007233,313200
2022-02-09,461.130005,470.549988,459.149994,465.040009,461.787170,246000
2022-02-10,455.019989,465.029999,450.700012,453.679993,450.506622,207500
2022-02-11,454.600006,458.839996,440.549988,446.549988,443.426483,246800
2022-02-14,445.739990,453.369995,444.709991,450.940002,447.785828,366400
2022-02-15,456.040009,467.049988,451.640015,459.570007,456.355438,299700
2022-02-16,459.500000,460.769989,454.690002,460.179993,456.961182,464900
2022-02-17,465.000000,467.519989,444.769989,445.920013,442.800934,820800
2022-02-18,447.820007,469.790009,446.980011,454.829987,451.648590,678400
2022-02-22,452.500000,456.940002,427.390015,430.119995,427.111450,579200
2022-02-23,430.920013,433.440002,413.570007,415.420013,412.514252,442600
2022-02-24,401.989990,436.660004,401.510010,436.070007,433.019836,498700
2022-02-25,436.070007,452.309998,433.109985,449.390015,446.246674,443300
2022-02-28,441.200012,460.350006,441.200012,458.579987,455.372345,610900
2022-03-01,456.640015,465.540009,456.640015,462.510010,459.274902,447200
2022-03-02,463.250000,480.929993,462.920013,475.480011,472.154144,447600
2022-03-03,477.609985,483.429993,465.140015,469.450012,466.166321,387600
2022-03-04,469.000000,469.450012,451.549988,465.809998,462.551788,387200
2022-03-07,465.959991,465.959991,450.010010,451.549988,448.391510,393700
2022-03-08,451.489990,462.290009,436.160004,437.000000,433.943329,377000
2022-03-09,445.739990,462.920013,441.489990,456.739990,454.377045,360700
2022-03-10,449.899994,455.980011,442.579987,452.079987,449.741119,212800
2022-03-11,457.869995,457.869995,441.600006,442.100006,439.812775,220500
2022-03-14,444.040009,447.850006,436.589996,441.079987,438.798035,230800
2022-03-15,445.660004,454.640015,440.269989,452.809998,450.467377,185000
2022-03-16,456.320007,469.279999,455.209991,467.709991,465.290253,348400
2022-03-17,468.000000,475.420013,464.040009,475.149994,472.691803,216200
2022-03-18,471.730011,488.750000,467.850006,487.410004,484.888367,471000
2022-03-21,485.329987,488.470001,470.839996,475.820007,473.358337,234400
2022-03-22,476.600006,482.190002,471.350006,476.880005,474.412842,285300
2022-03-23,472.429993,475.000000,456.709991,460.130005,457.749512,307300
2022-03-24,461.000000,461.880005,445.670013,450.519989,448.189209,326600
