Date,Open,High,Low,Close,Adj Close,Volume
2021-10-11,24.650000,24.760000,24.379999,24.469999,22.545851,1290300
2021-10-12,24.559999,24.660000,24.400000,24.469999,22.545851,1568400
2021-10-13,24.410000,24.420000,23.850000,24.170000,22.269440,1412000
2021-10-14,24.270000,24.549999,24.200001,24.340000,22.426073,2779000
2021-10-15,24.670000,24.860001,24.580000,24.639999,22.702484,1840700
2021-10-18,24.500000,24.590000,24.280001,24.459999,22.536636,1320600
2021-10-19,24.639999,24.750000,24.559999,24.740000,22.794617,771100
2021-10-20,24.740000,25.200001,24.700001,25.070000,23.098669,923100
2021-10-21,25.059999,25.150000,24.670000,24.820000,22.868328,1065700
2021-10-22,24.860001,25.120001,24.820000,25.040001,23.071030,2746100
2021-10-25,25.059999,25.139999,24.860001,25.040001,23.071030,1480500
2021-10-26,25.090000,25.100000,24.680000,24.700001,22.757765,1522600
2021-10-27,24.680000,24.730000,23.940001,23.959999,22.075951,1967400
2021-10-28,23.969999,26.200001,23.969999,26.040001,23.992395,3139200
2021-10-29,26.020000,26.290001,25.760000,25.830000,23.798908,4405500
2021-11-01,26.240000,26.530001,26.160000,26.340000,24.268805,2306500
2021-11-02,26.430000,26.430000,25.889999,25.940001,23.900261,2042800
2021-11-03,25.950001,26.410000,25.840000,26.260000,24.195097,1496800
2021-11-04,26.299999,26.299999,25.400000,25.650000,23.633062,1225200
2021-11-05,25.820000,26.120001,25.650000,25.799999,23.771269,1479800
2021-11-08,26.000000,26.080000,25.570000,25.610001,23.596209,1167500
2021-11-09,25.410000,25.620001,25.320000,25.580000,23.568569,1065800
2021-11-10,25.650000,25.740000,25.299999,25.450001,23.448788,1301500
2021-11-11,25.480000,25.690001,25.330000,25.650000,23.633062,846400
2021-11-12,25.740000,25.969999,25.580000,25.900000,23.863403,877800
2021-11-15,26.000000,26.049999,25.730000,25.799999,23.771269,677200
2021-11-16,25.799999,26.020000,25.750000,25.760000,23.734413,742500
2021-11-17,25.650000,25.750000,25.309999,25.709999,23.688343,1107800
2021-11-18,25.639999,25.750000,25.389999,25.590000,23.577782,819800
2021-11-19,25.410000,25.559999,25.190001,25.469999,23.467215,896400
2021-11-22,25.530001,26.020000,25.370001,25.830000,23.798908,1229000
2021-11-23,25.969999,26.059999,25.830000,26.000000,23.955542,1091600
2021-11-24,25.969999,25.969999,25.790001,25.850000,23.817335,772700
2021-11-26,25.120001,25.340000,24.809999,25.129999,23.153950,1079600
2021-11-29,25.420000,25.459999,24.809999,24.900000,22.942036,1190200
2021-11-30,24.690001,24.690001,23.920000,23.959999,22.075951,3175000
2021-12-01,24.299999,24.559999,23.570000,23.580000,21.725834,2076200
2021-12-02,23.770000,24.510000,23.719999,24.320000,22.407642,1206100
2021-12-03,24.100000,24.180000,23.629999,23.750000,22.082222,1289800
2021-12-06,24.070000,24.590000,24.070000,24.360001,22.649387,1891200
2021-12-07,24.480000,24.750000,24.370001,24.530001,22.807449,1369700
2021-12-08,24.570000,24.730000,24.420000,24.590000,22.863237,981800
2021-12-09,24.410000,24.610001,24.340000,24.389999,22.677280,892800
2021-12-10,24.570000,24.799999,24.389999,24.719999,22.984106,1243200
2021-12-13,24.740000,24.820000,24.500000,24.620001,22.891130,1338200
2021-12-14,24.639999,24.980000,24.500000,24.670000,22.937618,1349600
2021-12-15,24.719999,25.100000,24.580000,25.020000,23.263042,1336100
2021-12-16,25.049999,25.260000,24.750000,24.809999,23.067787,1621000
2021-12-17,24.709999,24.709999,24.040001,24.110001,22.416943,4567200
2021-12-20,23.780001,23.889999,23.000000,23.240000,21.608036,1963000
2021-12-21,23.510000,24.010000,23.490000,23.870001,22.193798,1185500
2021-12-22,23.790001,24.000000,23.639999,23.940001,22.258881,1027700
2021-12-23,24.010000,24.160000,23.950001,24.080000,22.389051,688900
2021-12-27,24.040001,24.420000,23.889999,24.420000,22.705173,1144800
2021-12-28,24.350000,24.680000,24.350000,24.500000,22.779556,1136300
2021-12-29,24.469999,24.730000,24.450001,24.670000,22.937618,676900
2021-12-30,24.709999,24.900000,24.559999,24.600000,22.872536,810900
2021-12-31,24.540001,24.799999,24.540001,24.580000,22.853939,610600
2022-01-03,24.709999,24.830000,24.219999,24.320000,22.612196,1407000
2022-01-04,24.540001,24.980000,24.530001,24.830000,23.086384,1488500
2022-01-05,24.969999,25.049999,24.450001,24.480000,22.760960,2097600
2022-01-06,24.790001,25.040001,24.680000,24.930000,23.179361,1301600
2022-01-07,24.950001,25.559999,24.750000,25.490000,23.700037,1375600
2022-01-10,25.680000,25.750000,25.190001,25.450001,23.662846,1292300
2022-01-11,25.590000,25.670000,25.180000,25.650000,23.848799,1359200
2022-01-12,25.700001,25.790001,25.379999,25.570000,23.774418,921500
2022-01-13,25.629999,25.969999,25.610001,25.780001,23.969671,991800
2022-01-14,25.719999,26.070000,25.559999,26.070000,24.239305,1146900
2022-01-18,25.920000,26.049999,25.430000,25.580000,23.783716,1311000
2022-01-19,25.670000,25.670000,24.930000,24.950001,23.197956,1647000
2022-01-20,25.010000,25.430000,24.600000,24.660000,22.928320,1376500
2022-01-21,24.510000,24.730000,24.209999,24.250000,22.547112,1618600
2022-01-24,23.980000,24.730000,23.570000,24.650000,22.919024,2594200
2022-01-25,24.430000,25.080000,24.000000,24.870001,23.123573,1852100
2022-01-26,25.110001,25.440001,24.639999,24.950001,23.197956,2383600
2022-01-27,25.120001,26.260000,25.040001,25.209999,23.439699,1876500
2022-01-28,25.200001,25.629999,25.049999,25.620001,23.820908,2229800
2022-01-31,25.360001,25.639999,25.230000,25.629999,23.830204,3831900
2022-02-01,25.760000,26.180000,25.660000,26.110001,24.276499,2143600
2022-02-02,26.020000,26.240000,25.930000,26.129999,24.295094,1975400
2022-02-03,26.170000,26.469999,25.920000,26.230000,24.388071,1626500
2022-02-04,26.190001,26.559999,26.049999,26.240000,24.397369,1837000
2022-02-07,26.260000,26.410000,26.049999,26.100000,24.267202,1302800
2022-02-08,26.080000,26.730000,26.059999,26.590000,24.722792,1368600
2022-02-09,26.620001,26.820000,26.420000,26.480000,24.620516,1063200
2022-02-10,26.459999,26.780001,26.139999,26.260000,24.415964,1321100
2022-02-11,26.340000,26.780001,26.150000,26.440001,24.583324,2093200
2022-02-14,26.410000,26.740000,26.049999,26.290001,24.443861,1587400
2022-02-15,26.450001,26.850000,26.389999,26.809999,24.927343,1535100
2022-02-16,26.680000,27.190001,26.680000,26.910000,25.020321,1485100
2022-02-17,26.750000,26.830000,26.150000,26.230000,24.388071,1704200
2022-02-18,26.100000,26.490000,26.059999,26.309999,24.462454,3526500
2022-02-22,26.250000,26.450001,25.840000,26.010000,24.183521,1793700
2022-02-23,26.190001,26.340000,25.860001,25.889999,24.071947,2206000
2022-02-24,25.059999,25.340000,24.700001,25.290001,23.514082,2840300
2022-02-25,25.469999,26.580000,25.469999,26.490000,24.629814,2084400
2022-02-28,25.750000,26.379999,25.750000,26.350000,24.499645,1938100
2022-03-01,26.110001,26.250000,25.520000,25.730000,23.923183,2335000
2022-03-02,26.049999,26.850000,26.049999,26.680000,24.806471,1806200
2022-03-03,26.709999,26.930000,26.590000,26.790001,24.908747,1790600
2022-03-04,26.100000,26.469999,25.820000,26.400000,24.758694,1691200
2022-03-07,26.139999,26.139999,25.459999,25.469999,23.886511,1880100
2022-03-08,25.690001,25.889999,25.000000,25.030001,23.473869,2928200
2022-03-09,25.700001,25.959999,25.469999,25.620001,24.027187,4231800
2022-03-10,25.420000,25.660000,25.240000,25.490000,23.905270,2721700
2022-03-11,25.760000,26.049999,25.600000,25.709999,24.111591,2410800
2022-03-14,26.070000,26.150000,25.040001,25.250000,23.680189,4352000
2022-03-15,25.350000,25.580000,25.230000,25.570000,23.980295,3015600
2022-03-16,25.790001,25.950001,25.379999,25.940001,24.327293,3005200
2022-03-17,25.820000,26.040001,25.719999,25.860001,24.252266,2212800
2022-03-18,25.799999,26.090000,25.370001,25.920000,24.308537,4216900
2022-03-21,26.000000,26.530001,25.969999,26.309999,24.674290,1880800
2022-03-22,26.490000,26.629999,26.260000,26.340000,24.702425,1789500
2022-03-23,26.340000,26.379999,25.879999,25.910000,24.299158,1508500
2022-03-24,25.969999,26.129999,25.830000,25.969999,24.355427,1184600
2022-03-25,25.980000,26.360001,25.910000,26.290001,24.655535,1523700
2022-03-28,26.299999,26.430000,26.090000,26.290001,24.655535,1134800
2022-03-29,26.480000,26.590000,26.170000,26.379999,24.739937,1352500
2022-03-30,26.500000,26.540001,26.240000,26.350000,24.711803,1661100
2022-03-31,26.309999,26.629999,25.870001,25.870001,24.261644,1496800
2022-04-01,26.110001,26.330000,25.780001,26.320000,24.683668,3386000
2022-04-04,26.160000,26.160000,25.030001,25.139999,23.577028,3711300
2022-04-05,25.150000,25.340000,25.040001,25.049999,23.492622,2086200
2022-04-06,25.030001,25.219999,24.809999,24.840000,23.295681,2222900
2022-04-07,24.879999,24.969999,24.270000,24.410000,22.892414,2164700
2022-04-08,24.340000,24.490000,23.440001,24.120001,22.620443,4588300
2022-04-11,24.110001,24.629999,24.010000,24.209999,22.704847,3112000
2022-04-12,24.389999,24.469999,24.030001,24.170000,22.667336,2405000
2022-04-13,24.059999,24.260000,23.830000,24.160000,22.657955,1537500
2022-04-14,24.150000,24.240000,23.950001,24.010000,22.517282,1323500
2022-04-18,23.920000,24.170000,23.889999,24.090000,22.592310,1361100
2022-04-19,24.180000,24.430000,24.090000,24.370001,22.854900,1369000
2022-04-20,24.590000,24.820000,24.459999,24.730000,23.192518,1626800
2022-04-21,24.940001,25.000000,24.350000,24.400000,22.883036,1906400
2022-04-22,24.290001,24.320000,23.780001,23.799999,22.320337,1773400
2022-04-25,23.750000,24.049999,23.309999,24.010000,22.517282,2007500
2022-04-26,23.799999,24.049999,23.660000,23.680000,22.207800,2038200
2022-04-27,23.700001,23.990000,23.620001,23.879999,22.395365,2453400
2022-04-28,23.820000,23.820000,22.750000,23.070000,21.635723,2990700
2022-04-29,22.500000,22.590000,21.940001,22.010000,20.641623,6672900
2022-05-02,22.160000,22.370001,21.500000,21.840000,20.482191,3052700
2022-05-03,22.090000,22.799999,22.000000,22.540001,21.138674,2614600
2022-05-04,22.500000,23.510000,22.480000,23.490000,22.029612,2570700
2022-05-05,23.270000,23.389999,22.520000,22.730000,21.316860,2240600
2022-05-06,22.660000,22.809999,22.400000,22.670000,21.260592,1801700
2022-05-09,22.440001,22.840000,22.350000,22.570000,21.166809,2201200
2022-05-10,22.580000,22.680000,21.959999,22.240000,20.857323,3178400
2022-05-11,22.240000,22.520000,22.010000,22.020000,20.651001,2855800
2022-05-12,22.000000,22.400000,21.870001,22.389999,20.997997,1968300
2022-05-13,22.600000,22.750000,22.379999,22.700001,21.288727,1512000
2022-05-16,22.750000,22.920000,22.459999,22.750000,21.335617,1194300
2022-05-17,23.049999,23.549999,23.040001,23.530001,22.067123,1606600
2022-05-18,23.350000,23.459999,22.850000,22.889999,21.466913,1697000
2022-05-19,22.690001,22.910000,22.379999,22.660000,21.251213,1902500
2022-05-20,22.760000,22.870001,22.080000,22.530001,21.129295,1841100
2022-05-23,22.900000,23.080000,22.580000,22.920000,21.495049,2112500
2022-05-24,22.969999,23.010000,22.370001,22.940001,21.513805,1411000
2022-05-25,22.879999,23.370001,22.820000,23.290001,21.842047,1319900
2022-05-26,23.490000,23.639999,23.379999,23.400000,21.945206,1800200
2022-05-27,23.469999,23.700001,23.400000,23.700001,22.226557,1510400
2022-05-31,23.719999,23.980000,23.389999,23.920000,22.432877,2143500
2022-06-01,23.950001,23.990000,23.240000,23.620001,22.151529,1450600
2022-06-02,23.469999,23.620001,23.160000,23.600000,22.350409,1715100
2022-06-03,23.520000,23.570000,23.260000,23.330000,22.094706,1131400
2022-06-06,23.570000,23.750000,23.389999,23.600000,22.350409,1064400
2022-06-07,23.510000,23.809999,23.400000,23.799999,22.539818,1324500
2022-06-08,23.580000,23.719999,23.389999,23.530001,22.284117,2029100
2022-06-09,23.440001,23.549999,23.160000,23.170000,21.943176,1658600
2022-06-10,22.750000,22.860001,22.500000,22.580000,21.384417,1820300
2022-06-13,22.299999,22.540001,22.020000,22.129999,20.958242,2248600
2022-06-14,22.129999,22.410000,21.950001,22.120001,20.948774,1681900
2022-06-15,22.280001,22.350000,21.690001,21.900000,20.740421,2577400
2022-06-16,21.510000,21.709999,21.049999,21.270000,20.143780,2679500
2022-06-17,21.320000,21.459999,20.930000,21.040001,19.925959,5163300
2022-06-21,21.400000,21.549999,21.120001,21.430000,20.295307,1507700
2022-06-22,21.209999,21.570000,21.209999,21.370001,20.238485,1522800
2022-06-23,21.389999,21.530001,21.059999,21.270000,20.143780,1914500
2022-06-24,21.480000,22.469999,21.450001,22.360001,21.176065,3467300
2022-06-27,22.389999,22.570000,22.240000,22.330000,21.147654,1276700
2022-06-28,22.530001,22.700001,22.120001,22.150000,20.977184,1265300
2022-06-29,22.209999,22.250000,21.990000,22.120001,20.948774,1340400
2022-06-30,21.910000,22.440001,21.740000,22.360001,21.176065,1516200
2022-07-01,22.309999,22.629999,22.030001,22.620001,21.422300,1695200
2022-07-05,22.299999,22.350000,21.840000,22.330000,21.147654,2060500
2022-07-06,22.350000,22.820000,22.250000,22.580000,21.384417,2254300
2022-07-07,22.730000,22.940001,22.670000,22.700001,21.498064,1731400
2022-07-08,22.850000,22.889999,22.370001,22.389999,21.204477,1090800
2022-07-11,22.299999,22.620001,22.299999,22.440001,21.251829,1517400
2022-07-12,22.420000,22.850000,22.320000,22.469999,21.280241,1606900
2022-07-13,22.350000,22.440001,22.100000,22.309999,21.128712,1414700
2022-07-14,22.100000,22.100000,21.580000,21.750000,20.598364,1276700
2022-07-15,21.930000,22.120001,21.780001,21.860001,20.702541,1491500
2022-07-18,21.910000,22.110001,21.780001,21.959999,20.797245,1874900
2022-07-19,22.250000,22.549999,22.190001,22.400000,21.213947,1605600
2022-07-20,22.400000,22.510000,22.150000,22.430000,21.242359,1122300
2022-07-21,22.309999,22.370001,22.040001,22.350000,21.166595,1174300
2022-07-22,22.360001,22.620001,22.280001,22.430000,21.242359,968400
2022-07-25,22.580000,22.959999,22.500000,22.709999,21.507532,1381300
2022-07-26,22.629999,22.830000,22.610001,22.780001,21.573828,879200
2022-07-27,22.799999,22.940001,22.570000,22.809999,21.602238,1299300
2022-07-28,22.770000,22.990000,22.570000,22.900000,21.687473,1819200
2022-07-29,23.120001,23.410000,23.080000,23.270000,22.037882,3488700
2022-08-01,23.180000,23.280001,22.850000,23.090000,21.867413,1662500
2022-08-02,23.120001,23.150000,22.760000,22.840000,21.630650,1888100
2022-08-03,22.850000,22.990000,22.360001,22.480000,21.289711,1439200
2022-08-04,22.500000,22.629999,22.350000,22.400000,21.213947,1608300
2022-08-05,22.389999,22.680000,22.330000,22.559999,21.365475,1250200
2022-08-08,22.629999,22.770000,22.469999,22.469999,21.280241,1130800
2022-08-09,22.549999,22.740000,22.530001,22.639999,21.441238,923000
2022-08-10,22.870001,23.150000,22.850000,23.100000,21.876884,1441500
2022-08-11,23.260000,23.459999,23.219999,23.280001,22.047354,897300
2022-08-12,23.340000,23.660000,23.340000,23.660000,22.407232,783900
2022-08-15,23.520000,23.799999,23.340000,23.660000,22.407232,877000
2022-08-16,23.580000,23.730000,23.540001,23.700001,22.445114,1327400
2022-08-17,23.540001,23.660000,23.430000,23.530001,22.284117,1054200
2022-08-18,23.520000,23.790001,23.510000,23.770000,22.511408,1017700
2022-08-19,24.000000,24.780001,23.940001,24.610001,23.306931,3028700
2022-08-22,24.400000,24.450001,23.990000,24.090000,22.814465,2394200
2022-08-23,24.170000,24.350000,24.000000,24.240000,22.956522,1681700
2022-08-24,24.250000,24.270000,23.750000,24.120001,22.842876,1576800
2022-08-25,24.150000,24.430000,24.040001,24.309999,23.022816,1032700
2022-08-26,24.360001,24.400000,24.020000,24.020000,22.748171,1208900
2022-08-29,23.900000,24.080000,23.600000,23.740000,22.482996,1754800
2022-08-30,23.680000,23.690001,23.200001,23.230000,22.000000,1931800
2022-08-31,22.150000,22.200001,21.799999,21.840000,21.840000,1807100
2022-09-01,21.740000,22.059999,21.620001,22.000000,22.000000,1591900
2022-09-02,22.190001,22.440001,21.879999,21.969999,21.969999,1782100
2022-09-06,22.059999,22.129999,21.590000,21.730000,21.730000,1762800
2022-09-07,21.600000,22.059999,21.549999,22.049999,22.049999,1346000
2022-09-08,21.950001,22.240000,21.809999,22.200001,22.200001,1371900
2022-09-09,22.230000,22.510000,22.209999,22.440001,22.440001,1180700
2022-09-12,22.490000,22.760000,22.430000,22.480000,22.480000,1989200
2022-09-13,22.219999,22.440001,21.840000,21.889999,21.889999,1515000
2022-09-14,21.959999,21.959999,21.100000,21.270000,21.270000,2488800
2022-09-15,21.600000,22.180000,21.340000,22.010000,22.010000,3579500
2022-09-16,21.870001,22.209999,21.709999,21.830000,21.830000,5800000
2022-09-19,21.660000,22.260000,21.580000,22.200001,22.200001,1468700
2022-09-20,22.010000,22.080000,21.730000,21.969999,21.969999,1541800
2022-09-21,22.070000,22.180000,21.559999,21.559999,21.559999,1352500
2022-09-22,21.639999,21.700001,21.139999,21.160000,21.160000,1436200
2022-09-23,21.000000,21.040001,20.709999,20.969999,20.969999,1822900
2022-09-26,20.799999,20.940001,20.270000,20.420000,20.420000,2130800
2022-09-27,20.580000,20.799999,20.330000,20.600000,20.600000,2228500
2022-09-28,20.670000,21.180000,20.610001,21.020000,21.020000,1726900
2022-09-29,20.889999,21.170000,20.709999,21.080000,21.080000,1714500
2022-09-30,21.000000,21.350000,20.900000,20.930000,20.930000,1937700
2022-10-03,21.090000,21.510000,20.750000,21.400000,21.400000,1654100
2022-10-04,21.600000,22.500000,21.590000,22.500000,22.500000,2281800
2022-10-05,22.250000,22.510000,22.139999,22.190001,22.190001,1735400
2022-10-06,22.020000,22.200001,21.959999,22.040001,22.040001,1703300
2022-10-07,21.959999,21.980000,21.660000,21.750000,21.750000,1401400
2022-10-10,21.860001,22.240000,21.840000,22.100000,22.100000,1581700
