Date,Open,High,Low,Close,Adj Close,Volume
2021-10-11,24.809999,24.990000,24.750000,24.950001,24.154421,1373200
2021-10-12,25.000000,25.510000,24.889999,25.070000,24.270596,1925300
2021-10-13,25.080000,25.480000,24.969999,25.410000,24.599754,1749800
2021-10-14,25.450001,25.549999,25.209999,25.299999,24.493261,900300
2021-10-15,25.290001,25.379999,24.900000,24.969999,24.173784,2013800
2021-10-18,24.870001,25.070000,24.780001,24.879999,24.086653,751800
2021-10-19,24.879999,24.889999,24.639999,24.840000,24.047932,911400
2021-10-20,24.860001,25.160000,24.860001,25.080000,24.280275,780700
2021-10-21,25.100000,25.200001,24.950001,25.010000,24.212511,479800
2021-10-22,24.959999,25.160000,24.940001,25.070000,24.270596,591500
2021-10-25,25.049999,25.250000,24.860001,25.190001,24.386768,2047900
2021-10-26,25.200001,25.420000,25.129999,25.160000,24.357725,1071100
2021-10-27,25.250000,25.320000,24.530001,24.650000,23.863989,768100
2021-10-28,24.690001,24.889999,24.580000,24.870001,24.076975,633900
2021-10-29,24.850000,24.990000,24.740000,24.750000,23.960798,911400
2021-11-01,24.799999,24.940001,24.690001,24.930000,24.135059,734200
2021-11-02,24.980000,25.170000,24.840000,25.160000,24.357725,650700
2021-11-03,25.100000,25.500000,25.100000,25.500000,24.686884,803700
2021-11-04,25.530001,25.750000,25.160000,25.270000,24.464218,1044600
2021-11-05,25.330000,25.469999,25.209999,25.240000,24.435175,783400
2021-11-08,25.340000,25.459999,25.059999,25.299999,24.493261,713700
2021-11-09,25.360001,25.590000,25.209999,25.520000,24.706247,1019900
2021-11-10,25.570000,25.629999,25.250000,25.490000,24.677204,1287300
2021-11-11,25.320000,25.530001,25.139999,25.500000,24.686884,1506100
2021-11-12,26.450001,26.730000,25.770000,26.080000,25.248390,1974700
2021-11-15,26.389999,27.620001,26.290001,27.040001,26.177780,2784400
2021-11-16,27.090000,27.150000,26.639999,26.850000,25.993837,1468400
2021-11-17,26.730000,26.930000,26.570000,26.870001,26.013201,1549200
2021-11-18,26.930000,26.930000,26.570000,26.690001,25.838940,1337700
2021-11-19,26.820000,27.049999,26.719999,26.799999,25.945431,1730200
