Date,Open,High,Low,Close,Adj Close,Volume
2021-10-11,154.539993,156.729996,153.020004,156.020004,156.020004,585500
2021-10-12,158.690002,159.089996,155.610001,158.929993,158.929993,620000
2021-10-13,160.000000,160.860001,153.190002,153.929993,153.929993,624100
2021-10-14,156.000000,161.550003,153.580002,153.729996,153.729996,650800
2021-10-15,153.990005,154.570007,150.585007,152.270004,152.270004,398700
2021-10-18,151.679993,154.630005,149.149994,154.089996,154.089996,392400
2021-10-19,155.000000,160.960007,154.839996,160.740005,160.740005,544200
2021-10-20,160.619995,162.589996,158.610001,161.610001,161.610001,548600
2021-10-21,162.990005,164.389999,160.800003,163.850006,163.850006,319100
2021-10-22,162.949997,164.100006,159.414993,164.029999,164.029999,429900
2021-10-25,164.570007,169.315002,163.505005,168.750000,168.750000,474600
2021-10-26,169.710007,170.470001,164.699997,165.630005,165.630005,463900
2021-10-27,163.179993,165.934998,158.750000,158.940002,158.940002,420100
2021-10-28,159.690002,165.460007,159.259995,164.429993,164.429993,341900
2021-10-29,163.889999,163.889999,159.809998,161.270004,161.270004,420600
2021-11-01,161.520004,165.289993,160.000000,163.699997,163.699997,514900
2021-11-02,163.139999,163.505005,159.276993,162.000000,162.000000,529400
2021-11-03,160.750000,165.399994,158.639999,164.160004,164.160004,741900
2021-11-04,175.000000,187.850006,167.214996,182.589996,182.589996,1418800
2021-11-05,179.119995,181.304001,173.720001,177.979996,177.979996,673700
2021-11-08,176.169998,179.889999,173.759995,174.419998,174.419998,468000
2021-11-09,174.729996,175.289993,167.110001,168.190002,168.190002,421600
2021-11-10,167.630005,170.210007,165.639999,167.020004,167.020004,644100
2021-11-11,170.229996,173.973007,166.860001,167.899994,167.899994,424600
2021-11-12,168.339996,168.570007,162.479996,166.630005,166.630005,399400
2021-11-15,167.119995,167.490005,157.660004,158.000000,158.000000,534500
2021-11-16,158.190002,160.589996,156.470001,160.580002,160.580002,476300
2021-11-17,160.600006,160.919998,153.169998,160.270004,160.270004,726600
2021-11-18,160.800003,160.800003,147.009995,149.740005,149.740005,658500
