Date,Open,High,Low,Close,Adj Close,Volume
2021-10-11,36.290001,36.860001,36.130001,36.799999,35.734955,349100
2021-10-12,36.889999,37.400002,36.669998,36.799999,35.734955,317200
2021-10-13,36.630001,37.230000,36.549999,37.119999,36.045692,244800
2021-10-14,37.340000,37.689999,37.080002,37.660000,36.570065,332300
2021-10-15,37.930000,37.959999,37.110001,37.169998,36.094242,390100
2021-10-18,37.119999,37.410000,36.919998,37.060001,35.987431,220600
2021-10-19,37.200001,37.759998,36.630001,36.630001,35.569878,309600
2021-10-20,36.500000,37.099998,36.480000,36.970001,35.900036,309100
2021-10-21,37.130001,37.130001,36.759998,37.110001,36.035984,240600
2021-10-22,37.110001,38.490002,37.110001,38.360001,37.249809,526100
2021-10-25,38.410000,39.220001,38.189999,38.889999,37.764465,537700
2021-10-26,39.060001,39.480000,38.209999,38.270000,37.162411,483000
2021-10-27,38.310001,38.349998,37.389999,37.439999,36.356434,285900
2021-10-28,37.459999,37.880001,37.389999,37.860001,36.764275,302100
2021-10-29,37.790001,37.970001,37.200001,37.330002,36.249619,491800
2021-11-01,37.330002,38.400002,37.330002,37.990002,36.890518,376900
2021-11-02,38.009998,38.009998,37.450001,37.669998,36.579773,283300
2021-11-03,37.520000,39.599998,37.520000,39.400002,38.259708,773600
2021-11-04,39.750000,40.770000,38.889999,39.299999,38.162601,672300
2021-11-05,39.720001,40.340000,38.810001,38.930000,37.803310,548000
2021-11-08,39.080002,39.680000,38.939999,39.490002,38.347107,400100
2021-11-09,39.750000,39.779999,39.029999,39.200001,38.065498,236500
2021-11-10,39.000000,39.250000,38.270000,38.419998,37.308067,294500
2021-11-11,38.500000,38.500000,37.980000,38.139999,37.036175,415200
2021-11-12,38.369999,38.529999,38.049999,38.230000,37.123569,271800
2021-11-15,38.500000,39.220001,38.400002,39.139999,38.007233,438900
2021-11-16,39.270000,40.220001,39.090000,40.139999,38.978291,819100
2021-11-17,40.080002,40.939999,39.790001,40.799999,39.619186,837200
2021-11-18,40.900002,41.090000,40.169998,40.610001,39.434689,600400
2021-11-19,40.639999,40.950001,39.970001,39.990002,38.832634,1027200
2021-11-22,40.160000,40.779999,39.849998,39.869999,38.716106,395800
2021-11-23,39.459999,39.990002,39.259998,39.270000,38.133472,292700
