Date,Open,High,Low,Close,Adj Close,Volume
2021-10-11,72.760002,73.919998,72.389999,72.410004,72.410004,655900
2021-10-12,72.550003,73.790001,72.209999,73.139999,73.139999,563100
2021-10-13,73.800003,74.220001,71.839996,72.669998,72.669998,1011600
2021-10-14,73.910004,74.699997,73.199997,74.129997,74.129997,944100
2021-10-15,74.610001,75.379997,73.989998,74.260002,74.260002,835600
2021-10-18,74.230003,77.160004,74.019997,75.660004,75.660004,1121300
2021-10-19,76.160004,78.410004,75.629997,77.360001,77.360001,977700
2021-10-20,76.910004,78.300003,76.830002,77.339996,77.339996,752400
2021-10-21,77.089996,77.570000,75.309998,76.629997,76.629997,761300
2021-10-22,76.790001,78.519997,76.580002,78.519997,78.519997,738200
2021-10-25,79.169998,81.000000,79.110001,79.760002,79.760002,1048900
2021-10-26,80.500000,81.400002,79.339996,79.410004,79.410004,874800
2021-10-27,79.760002,80.519997,78.570000,79.300003,79.300003,998100
2021-10-28,79.900002,84.190002,79.419998,84.059998,84.059998,1711800
2021-10-29,83.559998,85.279999,82.860001,84.519997,84.519997,1597300
2021-11-01,85.080002,85.980003,84.250000,85.339996,85.339996,1039600
2021-11-02,85.000000,85.620003,81.910004,82.690002,82.690002,762100
2021-11-03,82.470001,84.080002,81.529999,83.879997,83.879997,858000
2021-11-04,84.180000,84.510002,82.610001,83.769997,83.769997,625200
2021-11-05,84.709999,85.540001,84.150002,84.800003,84.800003,679500
2021-11-08,85.150002,85.879997,83.150002,83.440002,83.440002,958000
2021-11-09,83.389999,83.809998,80.620003,81.879997,81.879997,1488900
2021-11-10,81.010002,82.230003,77.529999,78.169998,78.169998,1884000
2021-11-11,78.970001,80.500000,78.440002,79.029999,79.029999,1014100
2021-11-12,78.650002,79.029999,75.690002,76.620003,76.620003,1391500
2021-11-15,76.669998,77.709999,76.160004,77.690002,77.690002,1146300
2021-11-16,77.919998,78.089996,75.739998,75.809998,75.809998,1074600
2021-11-17,75.199997,77.000000,73.980003,74.000000,74.000000,1046400
2021-11-18,74.339996,74.720001,72.320000,73.080002,73.080002,1325900
2021-11-19,72.709999,73.190002,71.139999,71.440002,71.440002,1374600
2021-11-22,71.519997,73.669998,71.330002,72.769997,72.769997,1215500
2021-11-23,72.019997,74.260002,72.019997,74.129997,74.129997,1082900
