Date,Open,High,Low,Close,Adj Close,Volume
2021-10-11,60.090000,60.439999,59.090000,59.130001,58.322048,225800
2021-10-12,59.139999,59.860001,59.029999,59.459999,58.647537,325800
2021-10-13,59.599998,60.299999,59.020000,59.660000,58.844807,333300
2021-10-14,60.340000,61.310001,60.110001,61.270000,60.432808,355400
2021-10-15,61.830002,62.200001,61.580002,61.599998,60.758293,427800
2021-10-18,61.310001,61.849998,61.119999,61.529999,60.689251,311500
2021-10-19,61.849998,62.599998,61.639999,62.470001,61.616413,372500
2021-10-20,62.660000,63.209999,62.349998,63.040001,62.178623,380800
2021-10-21,63.360001,64.809998,63.330002,63.540001,62.671791,633500
2021-10-22,63.680000,64.410004,63.580002,64.269997,63.391811,343000
2021-10-25,64.279999,64.470001,63.779999,63.990002,63.115643,348600
2021-10-26,64.349998,64.779999,63.889999,63.889999,63.017006,440900
2021-10-27,63.560001,63.889999,62.119999,62.220001,61.369823,438800
2021-10-28,62.270000,63.020000,62.090000,62.560001,61.705177,414200
2021-10-29,62.470001,63.619999,62.250000,63.040001,62.178623,592800
2021-11-01,63.439999,64.379997,63.240002,64.379997,63.500309,321900
2021-11-02,64.089996,64.559998,62.320000,62.509998,61.655857,451700
2021-11-03,62.500000,63.470001,62.410000,63.169998,62.306839,304000
2021-11-04,63.230000,63.509998,62.599998,63.340000,62.474522,474300
2021-11-05,63.779999,64.730003,63.770000,64.330002,63.450996,380900
2021-11-08,64.470001,64.680000,63.900002,64.519997,63.638393,307200
2021-11-09,64.400002,64.650002,63.340000,64.290001,63.411541,370600
2021-11-10,64.239998,64.570000,64.010002,64.389999,63.510170,284100
2021-11-11,64.680000,64.800003,64.230003,64.290001,63.411541,269000
2021-11-12,64.419998,64.730003,64.199997,64.680000,63.796207,215100
2021-11-15,64.650002,64.769997,63.880001,64.129997,63.253723,369100
2021-11-16,64.059998,65.220001,63.990002,64.889999,64.003342,536000
2021-11-17,65.000000,65.199997,63.779999,64.750000,63.865257,638000
2021-11-18,64.980003,64.980003,63.810001,64.349998,63.470718,425700
2021-11-19,64.160004,64.360001,63.290001,63.410000,62.543564,359000
2021-11-22,63.590000,64.180000,62.970001,63.360001,62.494247,345500
2021-11-23,63.099998,64.129997,62.610001,63.980000,63.105774,410000
2021-11-24,63.730000,63.930000,63.250000,63.580002,62.711243,347700
2021-11-26,62.139999,62.200001,60.689999,60.919998,60.087585,360000
2021-11-29,61.450001,61.750000,60.779999,61.520000,60.679390,656300
2021-11-30,60.910000,61.369999,59.340000,59.630001,58.815212,969100
2021-12-01,60.750000,61.200001,58.509998,58.509998,57.710518,473800
2021-12-02,58.680000,61.110001,58.680000,60.779999,59.949501,509900
2021-12-03,60.770000,60.950001,59.200001,59.900002,59.081524,571900
2021-12-06,60.740002,61.639999,60.090000,61.150002,60.314445,625500
2021-12-07,61.439999,62.360001,61.150002,61.439999,60.600479,423300
2021-12-08,61.680000,61.970001,61.029999,61.810001,60.965427,366700
2021-12-09,61.369999,61.680000,60.750000,60.950001,60.117176,503200
2021-12-10,61.240002,61.709999,59.650002,60.459999,59.633873,629200
2021-12-13,60.869999,62.049999,60.480000,61.020000,60.186222,679900
2021-12-14,60.740002,62.220001,60.360001,61.820000,60.975288,646200
2021-12-15,61.869999,62.759998,61.150002,62.349998,61.498047,1160700
2021-12-16,62.810001,63.299999,62.290001,62.360001,61.507912,1146700
2021-12-17,62.000000,63.270000,60.279999,60.320000,59.495789,2054300
2021-12-20,58.820000,59.029999,57.720001,58.310001,57.897186,1120200
2021-12-21,58.880001,60.900002,58.240002,60.380001,59.952530,1437900
2021-12-22,60.470001,61.000000,60.169998,60.439999,60.012104,418300
2021-12-23,60.939999,61.570000,60.709999,60.779999,60.349697,397700
2021-12-27,60.880001,62.020000,60.849998,62.000000,61.561062,368900
2021-12-28,62.119999,63.439999,62.009998,63.160000,62.712849,675200
2021-12-29,62.450001,62.959999,61.480000,61.689999,61.253254,2411300
2021-12-30,61.740002,62.220001,61.270000,61.330002,60.895805,748900
2021-12-31,61.330002,61.750000,60.880001,60.939999,60.508564,600700
2022-01-03,61.299999,61.580002,60.720001,61.150002,60.717079,435400
2022-01-04,61.959999,63.230000,61.959999,62.919998,62.474545,608100
2022-01-05,63.520000,64.010002,62.270000,62.360001,61.918514,478400
2022-01-06,62.799999,63.459999,62.500000,63.270000,62.822071,479900
2022-01-07,63.459999,63.700001,62.560001,63.330002,62.881645,437900
2022-01-10,63.450001,63.450001,62.049999,63.090000,62.643345,551000
2022-01-11,63.150002,63.779999,62.750000,63.590000,63.139805,454600
2022-01-12,63.470001,63.869999,62.610001,63.430000,62.980938,394000
2022-01-13,63.759998,64.290001,62.990002,63.110001,62.663204,499500
2022-01-14,62.290001,62.669998,61.720001,62.650002,62.206459,401900
2022-01-18,61.990002,62.020000,61.080002,61.290001,60.856087,339200
2022-01-19,61.740002,61.740002,59.880001,59.919998,59.495785,338600
2022-01-20,60.250000,60.919998,59.160000,59.310001,58.890106,584900
2022-01-21,58.970001,59.070000,57.650002,57.730000,57.321289,445800
2022-01-24,56.610001,58.580002,55.860001,58.480000,58.065983,719900
2022-01-25,57.880001,58.680000,56.500000,57.849998,57.440441,730700
2022-01-26,58.470001,59.169998,56.970001,57.450001,57.043274,923900
2022-01-27,54.029999,57.220001,54.029999,55.770000,55.375168,990100
2022-01-28,55.459999,57.650002,55.369999,57.599998,57.192211,872700
2022-01-31,57.419998,58.750000,57.360001,58.610001,58.195061,1238800
2022-02-01,58.439999,59.209999,58.029999,59.070000,58.651806,572900
2022-02-02,59.080002,59.610001,58.340000,59.520000,59.098618,518400
2022-02-03,59.330002,59.500000,58.849998,59.000000,58.582298,487000
2022-02-04,58.869999,60.160000,58.740002,59.560001,59.138336,593800
2022-02-07,59.599998,60.150002,59.270000,59.790001,59.366707,607400
2022-02-08,59.980000,61.230000,59.930000,60.750000,60.319912,618100
2022-02-09,61.299999,61.500000,60.509998,60.630001,60.200760,551000
2022-02-10,60.230000,61.509998,59.580002,59.830002,59.406425,446800
2022-02-11,59.779999,60.430000,58.529999,59.360001,58.939751,532500
2022-02-14,59.369999,60.160000,58.869999,59.400002,58.979469,877900
2022-02-15,59.880001,60.549999,59.380001,59.950001,59.525574,578500
2022-02-16,59.849998,60.720001,59.849998,60.549999,60.121326,517100
2022-02-17,59.910000,60.139999,58.900002,58.939999,58.522724,654100
2022-02-18,58.970001,59.509998,58.759998,59.070000,58.651806,832000
2022-02-22,58.700001,59.150002,57.849998,58.389999,57.976620,621100
2022-02-23,58.709999,58.959999,56.650002,56.840000,56.437592,930300
2022-02-24,54.990002,57.480000,54.450001,57.220001,56.814903,2441900
2022-02-25,57.520000,58.810001,57.150002,58.790001,58.373787,785500
2022-02-28,57.799999,58.730000,57.730000,58.580002,58.165276,694600
2022-03-01,58.000000,58.310001,56.619999,57.000000,56.596458,680700
2022-03-02,57.240002,58.099998,57.110001,57.650002,57.241859,537000
2022-03-03,58.090000,59.110001,57.639999,58.770000,58.353928,596700
2022-03-04,57.980000,58.500000,57.459999,57.980000,57.569519,597000
2022-03-07,57.860001,57.889999,55.790001,55.849998,55.454601,624300
2022-03-08,56.209999,57.029999,55.380001,55.389999,54.997856,661600
2022-03-09,56.830002,57.490002,56.509998,57.130001,56.725540,558200
2022-03-10,56.130001,57.259998,55.840000,56.389999,55.990776,518700
2022-03-11,56.759998,57.240002,55.740002,55.779999,55.385094,535100
2022-03-14,56.230000,57.049999,56.200001,56.959999,56.556740,518500
2022-03-15,57.189999,58.040001,57.080002,57.889999,57.480156,521900
2022-03-16,58.380001,59.570000,58.160000,59.259998,58.840458,686500
2022-03-17,59.020000,59.200001,58.360001,59.000000,58.582298,480400
2022-03-18,58.880001,60.380001,58.270000,60.090000,59.664585,917000
2022-03-21,60.119999,60.680000,59.770000,60.150002,59.724159,754700
2022-03-22,60.910000,62.130001,60.310001,60.810001,60.379486,1158700
2022-03-23,60.619999,60.820000,59.180000,59.250000,58.830528,2107700
2022-03-24,59.410000,60.389999,58.970001,60.279999,59.853237,524700
2022-03-25,59.919998,60.529999,58.720001,60.490002,60.061752,818200
2022-03-28,59.790001,60.779999,59.529999,60.639999,60.210690,505600
2022-03-29,61.400002,61.689999,60.590000,61.630001,61.193680,510800
2022-03-30,61.529999,61.939999,60.910000,61.290001,60.856087,407900
2022-03-31,61.299999,61.639999,60.209999,60.209999,59.783733,569300
2022-04-01,60.759998,61.330002,60.580002,61.180000,60.746868,577600
2022-04-04,61.009998,61.430000,60.349998,60.840000,60.409275,358200
2022-04-05,60.619999,60.750000,59.020000,59.660000,59.237629,660400
2022-04-06,59.270000,61.080002,58.070000,58.360001,57.946831,786300
2022-04-07,58.240002,59.000000,57.529999,58.189999,57.778034,571300
2022-04-08,58.560001,58.939999,57.680000,58.540001,58.125557,394600
2022-04-11,58.270000,59.020000,58.009998,58.310001,57.897186,432700
2022-04-12,58.450001,59.330002,57.750000,57.930000,57.519875,488100
2022-04-13,57.580002,58.220001,57.299999,57.860001,57.450371,445500
2022-04-14,57.759998,58.180000,57.389999,57.610001,57.202141,503600
2022-04-18,57.230000,57.720001,57.070000,57.529999,57.122707,522400
2022-04-19,57.759998,59.169998,57.580002,59.119999,58.701450,481000
2022-04-20,59.470001,59.930000,59.160000,59.250000,58.830528,503400
2022-04-21,59.419998,59.869999,56.790001,57.040001,56.636177,764200
2022-04-22,56.709999,57.799999,56.490002,56.860001,56.457451,910800
2022-04-25,56.490002,56.970001,55.380001,56.900002,56.497169,876400
2022-04-26,56.580002,57.529999,56.250000,56.889999,56.487236,760400
2022-04-27,57.049999,57.669998,56.040001,56.950001,56.546814,630600
2022-04-28,57.520000,57.880001,56.680000,57.799999,57.390797,538200
2022-04-29,57.349998,57.720001,55.580002,55.720001,55.325523,1005800
2022-05-02,55.970001,56.520000,54.820000,56.270000,55.871628,929000
2022-05-03,56.130001,57.389999,55.849998,56.779999,56.378017,877700
2022-05-04,56.919998,57.869999,55.970001,57.869999,57.460300,570900
2022-05-05,57.509998,57.610001,55.720001,56.189999,55.792194,557400
2022-05-06,55.939999,56.410000,55.130001,55.490002,55.097153,665600
2022-05-09,54.830002,55.410000,54.380001,54.860001,54.471611,863400
2022-05-10,55.540001,56.000000,53.900002,54.669998,54.282951,787400
2022-05-11,54.299999,55.810001,53.349998,53.419998,53.041801,571400
2022-05-12,53.490002,54.389999,52.840000,53.889999,53.508476,758400
2022-05-13,54.349998,55.299999,54.000000,54.840000,54.451752,416900
2022-05-16,54.799999,55.029999,53.740002,54.619999,54.233307,639100
2022-05-17,55.299999,56.270000,53.869999,56.240002,55.841843,531200
2022-05-18,55.750000,56.000000,54.939999,55.110001,54.719841,558500
2022-05-19,54.580002,55.410000,54.259998,55.160000,54.769485,732100
2022-05-20,55.730000,56.060001,54.099998,55.070000,54.680122,1802500
2022-05-23,55.639999,56.220001,55.209999,55.439999,55.047501,1012000
2022-05-24,55.029999,56.490002,54.470001,56.119999,55.722687,1099400
2022-05-25,55.580002,56.060001,54.150002,55.950001,55.553894,2803800
2022-05-26,56.490002,57.639999,56.060001,57.340000,56.934052,498500
2022-05-27,57.470001,58.480000,57.470001,58.450001,58.036194,359200
2022-05-31,58.270000,58.709999,57.549999,58.430000,58.016335,1030800
2022-06-01,58.509998,58.560001,56.770000,57.639999,57.231926,557100
2022-06-02,57.650002,58.590000,57.369999,58.560001,58.145416,415300
2022-06-03,58.090000,58.369999,57.779999,57.900002,57.490089,712600
2022-06-06,58.340000,58.580002,57.570000,57.599998,57.192211,328700
2022-06-07,57.060001,58.299999,57.060001,58.290001,57.877327,595000
2022-06-08,58.090000,58.180000,57.090000,57.450001,57.043274,604400
2022-06-09,57.349998,57.540001,56.490002,56.500000,56.099998,378300
2022-06-10,55.400002,55.730000,54.619999,54.990002,54.990002,741300
2022-06-13,53.900002,54.680000,52.619999,52.970001,52.970001,967000
2022-06-14,53.090000,53.520000,52.470001,52.860001,52.860001,794800
2022-06-15,53.320000,53.849998,52.369999,52.889999,52.889999,624800
2022-06-16,52.389999,52.889999,51.340000,51.730000,51.730000,712100
2022-06-17,52.189999,52.630001,51.520000,52.110001,52.110001,1121600
2022-06-21,52.860001,53.119999,51.970001,52.799999,52.799999,758700
2022-06-22,52.380001,52.970001,52.230000,52.669998,52.669998,542600
2022-06-23,52.790001,53.560001,52.540001,53.330002,53.330002,595900
2022-06-24,53.889999,55.410000,53.740002,55.380001,55.380001,718800
2022-06-27,55.450001,55.680000,55.009998,55.320000,55.320000,593800
2022-06-28,55.660000,55.919998,54.419998,54.560001,54.560001,558400
2022-06-29,54.680000,54.889999,54.040001,54.410000,54.410000,507100
2022-06-30,53.950001,54.639999,53.110001,54.020000,54.020000,695600
2022-07-01,53.580002,54.599998,53.099998,54.310001,54.310001,490800
2022-07-05,53.480000,54.549999,52.980000,54.540001,54.540001,462600
2022-07-06,54.369999,54.650002,53.410000,53.790001,53.790001,662400
2022-07-07,54.240002,54.810001,54.240002,54.560001,54.560001,521600
2022-07-08,54.500000,54.939999,54.200001,54.639999,54.639999,419500
2022-07-11,54.349998,54.540001,53.700001,53.930000,53.930000,360500
2022-07-12,53.270000,54.459999,53.049999,53.230000,53.230000,623600
2022-07-13,52.660000,52.750000,52.080002,52.310001,52.310001,390500
2022-07-14,51.709999,51.810001,51.070000,51.560001,51.560001,650600
2022-07-15,51.919998,53.200001,51.810001,52.990002,52.990002,682500
2022-07-18,53.340000,53.709999,52.240002,52.450001,52.450001,403600
2022-07-19,53.209999,54.110001,53.209999,54.020000,54.020000,456600
2022-07-20,54.200001,54.560001,53.410000,54.369999,54.369999,629100
2022-07-21,53.029999,54.939999,52.419998,54.900002,54.900002,1006100
2022-07-22,55.250000,55.700001,53.700001,54.389999,54.389999,569400
2022-07-25,54.480000,54.939999,53.830002,54.240002,54.240002,569300
2022-07-26,54.099998,54.389999,53.279999,53.660000,53.660000,517500
2022-07-27,53.919998,54.189999,53.240002,53.900002,53.900002,494500
2022-07-28,53.860001,54.709999,53.250000,54.430000,54.430000,431700
2022-07-29,54.540001,55.549999,54.540001,55.360001,55.360001,783800
2022-08-01,55.060001,55.430000,54.639999,55.180000,55.180000,418700
2022-08-02,54.740002,55.590000,54.349998,55.049999,55.049999,522500
2022-08-03,55.400002,56.240002,55.290001,56.020000,56.020000,498200
2022-08-04,55.889999,56.180000,55.400002,55.630001,55.630001,458900
2022-08-05,55.400002,55.820000,54.700001,55.630001,55.630001,426400
2022-08-08,56.000000,56.310001,55.730000,55.889999,55.889999,339500
2022-08-09,55.820000,55.889999,55.290001,55.700001,55.700001,393200
2022-08-10,56.150002,57.290001,56.150002,57.029999,57.029999,465300
2022-08-11,57.480000,57.639999,56.779999,57.070000,57.070000,362300
2022-08-12,57.250000,58.110001,57.020000,58.110001,58.110001,396500
2022-08-15,57.950001,58.439999,57.340000,58.340000,58.340000,532200
2022-08-16,58.119999,58.959999,58.110001,58.610001,58.610001,474800
2022-08-17,58.150002,58.439999,57.869999,58.389999,58.389999,530700
2022-08-18,58.310001,58.599998,58.099998,58.529999,58.529999,414400
2022-08-19,58.459999,58.459999,57.369999,57.700001,57.700001,477300
2022-08-22,57.369999,58.040001,56.119999,56.330002,56.330002,487100
2022-08-23,56.259998,56.419998,55.680000,55.869999,55.869999,581800
2022-08-24,55.639999,56.290001,55.639999,55.919998,55.919998,334700
2022-08-25,56.009998,56.639999,55.990002,56.130001,56.130001,388600
2022-08-26,56.130001,56.340000,54.500000,54.529999,54.529999,638200
