Date,Open,High,Low,Close,Adj Close,Volume
2021-10-11,205.559998,205.759995,203.630005,203.750000,200.021088,816900
2021-10-12,204.070007,204.639999,203.009995,203.839996,200.109436,1132600
2021-10-13,205.169998,205.759995,202.250000,205.190002,201.434738,1129800
2021-10-14,206.360001,208.949997,206.210007,208.520004,204.703812,1361900
2021-10-15,210.000000,213.050003,209.139999,212.979996,209.082169,1747200
2021-10-18,211.570007,213.649994,210.500000,212.570007,208.679688,1310700
2021-10-19,213.250000,214.080002,211.729996,213.979996,210.063858,834300
2021-10-20,214.990005,215.309998,212.500000,213.050003,209.150909,1048700
2021-10-21,213.080002,215.000000,212.070007,214.710007,210.780518,939700
2021-10-22,215.500000,218.759995,215.169998,217.750000,213.764862,1361400
2021-10-25,217.839996,219.259995,217.309998,218.070007,214.079025,863300
2021-10-26,218.149994,220.139999,217.820007,218.800003,214.795654,1819500
2021-10-27,223.160004,224.759995,220.539993,221.949997,217.888000,2043500
2021-10-28,222.380005,223.789993,221.149994,222.940002,218.859894,1428700
2021-10-29,222.089996,225.000000,222.089996,224.490005,220.381531,1609700
2021-11-01,224.110001,224.619995,221.059998,222.139999,218.074524,1173000
2021-11-02,223.240005,225.240005,222.119995,225.169998,221.049072,1249000
2021-11-03,222.330002,226.089996,222.160004,225.750000,221.618469,1079300
2021-11-04,225.669998,227.309998,225.070007,226.190002,222.050415,1190400
2021-11-05,229.259995,230.119995,227.779999,229.600006,225.398010,1394700
2021-11-08,230.199997,230.199997,226.699997,227.490005,223.326630,1366200
2021-11-09,228.039993,229.509995,225.690002,229.199997,225.005325,1093100
2021-11-10,229.949997,231.699997,228.369995,229.639999,225.437256,1081000
2021-11-11,228.839996,229.729996,227.679993,228.550003,224.367218,709700
2021-11-12,229.600006,231.869995,228.679993,230.929993,226.703659,1207600
2021-11-15,231.800003,233.240005,229.770004,233.059998,228.794678,1028800
2021-11-16,234.029999,237.059998,234.000000,235.250000,230.944595,1454500
2021-11-17,234.119995,237.149994,233.600006,236.880005,232.544769,1080300
2021-11-18,236.960007,238.250000,235.020004,237.949997,233.595200,1151000
2021-11-19,239.080002,239.259995,236.929993,237.910004,233.555923,1301700
2021-11-22,237.479996,241.179993,235.929993,236.820007,232.485870,1080600
2021-11-23,235.619995,236.529999,234.089996,236.139999,231.818314,1456800
2021-11-24,234.960007,235.800003,232.470001,234.369995,230.080704,1511100
2021-11-26,233.740005,234.300003,229.070007,229.619995,225.417633,1366700
2021-11-29,231.110001,237.179993,230.110001,235.899994,231.582703,2094300
2021-11-30,236.509995,236.550003,229.330002,230.889999,226.664398,4374200
2021-12-01,229.910004,232.229996,224.550003,226.869995,222.717972,2391600
2021-12-02,228.389999,234.100006,228.389999,232.429993,228.176208,2121700
