Date,Open,High,Low,Close,Adj Close,Volume
2021-10-11,177.479996,178.699997,169.639999,169.779999,168.510956,171100
2021-10-12,170.660004,171.660004,168.119995,169.000000,167.736786,167200
2021-10-13,169.800003,170.369995,167.690002,169.279999,168.014694,78400
2021-10-14,171.070007,174.589996,170.080002,174.020004,172.719269,93000
2021-10-15,176.419998,178.000000,174.750000,177.050003,175.726608,198300
2021-10-18,176.190002,179.940002,175.710007,179.619995,178.277405,74200
2021-10-19,180.600006,183.009995,179.490005,181.529999,180.173126,132700
2021-10-20,182.250000,183.270004,180.750000,182.429993,181.066391,76100
2021-10-21,182.229996,185.190002,180.880005,184.990005,183.607254,72100
2021-10-22,185.750000,187.770004,185.429993,186.190002,184.798309,84500
2021-10-25,185.509995,187.179993,184.809998,186.610001,185.215164,92700
2021-10-26,186.899994,186.899994,182.160004,184.119995,182.743759,120500
2021-10-27,184.500000,186.979996,182.720001,183.059998,181.691681,97200
2021-10-28,183.699997,187.300003,183.699997,187.050003,185.651871,86900
2021-10-29,187.009995,190.690002,185.789993,190.020004,188.599670,110500
2021-11-01,191.229996,192.919998,189.169998,192.679993,191.239777,95100
2021-11-02,193.149994,195.600006,192.490005,195.600006,194.137970,105300
2021-11-03,195.130005,196.000000,191.300003,192.070007,190.634369,177600
2021-11-04,198.669998,202.419998,195.690002,200.759995,199.259399,197400
2021-11-05,201.750000,207.009995,201.190002,206.809998,205.264160,134200
2021-11-08,208.589996,209.369995,205.789993,207.789993,206.236847,120600
2021-11-09,207.789993,208.949997,204.500000,208.820007,207.259155,90700
2021-11-10,208.399994,210.639999,207.820007,210.220001,208.648697,112600
2021-11-11,210.289993,212.000000,204.679993,205.600006,204.063217,117000
2021-11-12,206.619995,206.619995,203.229996,203.990005,202.465256,142400
2021-11-15,204.449997,204.449997,201.399994,202.699997,201.184891,96900
2021-11-16,202.699997,205.539993,201.919998,202.970001,201.452896,108100
2021-11-17,202.580002,204.770004,200.429993,204.639999,203.110397,164700
2021-11-18,204.600006,206.960007,203.369995,205.820007,204.281586,115600
2021-11-19,204.419998,204.520004,200.679993,202.229996,200.718414,126900
2021-11-22,203.210007,207.669998,202.500000,203.259995,201.740707,106300
